net_receive	memory%	memory_rss%	name	timestamp	sensor_count	memory_active_anon%	container_cpu%	host_moving_avg_cpu	host_cpu	net_send
191.545	15.58	14.51	kafka-001	2019-04-23T22:40:21.017407009Z	1	14.51	32.25	nan	0	268.919
36.7	15.6	14.52	kafka-001	2019-04-23T22:40:28.027468744Z	6	14.52	11.11	nan	32.25	31.578
55.68	15.75	14.66	kafka-001	2019-04-23T22:40:35.036226309Z	9	14.66	27.72	nan	11.11	40.921
74.05	15.78	14.7	kafka-001	2019-04-23T22:40:42.047115706Z	13	14.7	32.28	nan	27.72	83.466
87.687	15.8	14.71	kafka-001	2019-04-23T22:40:49.056732922Z	16	14.71	13.77	nan	32.28	77.204
106.022	15.81	14.72	kafka-001	2019-04-23T22:40:56.069876603Z	19	14.72	32.21	19.52	13.77	128.162
113.767	15.94	14.85	kafka-001	2019-04-23T22:41:03.084862121Z	22	14.85	76.18	24.89	32.21	100.287
127.374	15.91	14.82	kafka-001	2019-04-23T22:41:10.097174824Z	25	14.82	49.9	32.21	76.18	156.254
137.181	15.92	14.83	kafka-001	2019-04-23T22:41:17.108943115Z	28	14.83	30.11	38.68	49.9	118.364
146.425	15.92	14.83	kafka-001	2019-04-23T22:41:24.125049221Z	30	14.83	17.18	39.08	30.11	127.768
159.714	15.93	14.84	kafka-001	2019-04-23T22:41:31.139742263Z	33	14.84	24.39	36.56	17.18	189.224
166.575	15.94	14.84	kafka-001	2019-04-23T22:41:38.157671627Z	35	14.84	15.54	38.33	24.39	142.156
182.136	16.26	15.16	kafka-001	2019-04-23T22:41:45.176097627Z	37	15.16	23.25	35.55	15.54	221.786
185.789	16.26	15.16	kafka-001	2019-04-23T22:41:52.190399807Z	39	15.16	15.81	26.73	23.25	160.124
190.621	16.26	15.16	kafka-001	2019-04-23T22:41:59.206326092Z	41	15.16	38.47	21.05	15.81	157.046
207.106	16.28	15.18	kafka-001	2019-04-23T22:42:06.218256769Z	43	15.18	61.62	22.44	38.47	252.11
209.229	16.35	15.24	kafka-001	2019-04-23T22:42:13.230304465Z	45	15.24	17.69	29.85	61.62	178.734
224.854	16.3	15.19	kafka-001	2019-04-23T22:42:20.24327765Z	47	15.19	27.02	28.73	17.69	275.283
229.721	16.31	15.19	kafka-001	2019-04-23T22:42:27.256963763Z	49	15.19	18.6	30.64	27.02	194.353
236.244	16.32	15.19	kafka-001	2019-04-23T22:42:34.270358792Z	51	15.19	18.88	29.87	18.6	194.929
251.297	16.32	15.19	kafka-001	2019-04-23T22:42:41.282640766Z	53	15.19	22.39	30.38	18.88	301.974
254.183	16.32	15.19	kafka-001	2019-04-23T22:42:48.291231283Z	55	15.19	16.44	27.7	22.39	209.945
265.492	16.33	15.2	kafka-001	2019-04-23T22:42:55.301999763Z	56	15.2	25.13	20.17	16.44	314.825
265.065	16.33	15.2	kafka-001	2019-04-23T22:43:02.312074343Z	58	15.2	17.67	21.41	25.13	223.38
268.919	16.33	15.19	kafka-001	2019-04-23T22:43:09.32908484Z	60	15.19	21.04	19.85	17.67	224.9
279.318	16.34	15.2	kafka-001	2019-04-23T22:43:16.339219573Z	62	15.2	16.78	20.26	21.04	344.198
289.115	16.34	15.2	kafka-001	2019-04-23T22:43:23.350068651Z	63	15.2	19.99	19.91	16.78	240.316
301.696	16.34	15.19	kafka-001	2019-04-23T22:43:30.359319872Z	65	15.19	24.21	19.51	19.99	363.734
301.41	16.35	15.19	kafka-001	2019-04-23T22:43:37.370714733Z	66	15.19	22.72	20.8	24.21	250.91
308.336	16.35	15.19	kafka-001	2019-04-23T22:43:44.380325444Z	68	15.19	26.72	20.4	22.72	254.392
318.11	16.36	15.19	kafka-001	2019-04-23T22:43:51.393837719Z	69	15.19	28.4	21.91	26.72	387.824
319.363	16.36	15.19	kafka-001	2019-04-23T22:43:58.40225238Z	71	15.19	31.05	23.14	28.4	261.764
331.22	16.36	15.19	kafka-001	2019-04-23T22:44:05.415853355Z	72	15.19	27.68	25.52	31.05	396.733
333.961	16.37	15.2	kafka-001	2019-04-23T22:44:12.425986476Z	74	15.2	50.81	26.8	27.68	277.871
334.027	16.38	15.19	kafka-001	2019-04-23T22:44:19.440123221Z	75	15.19	22.32	31.23	50.81	270.682
338.066	16.38	15.19	kafka-001	2019-04-23T22:44:26.452304106Z	77	15.19	28.01	31.16	22.32	408.36
335.36	16.38	15.19	kafka-001	2019-04-23T22:44:33.464915301Z	78	15.19	22.64	31.38	28.01	279.22
352.388	16.79	15.6	kafka-001	2019-04-23T22:44:40.472562043Z	79	15.6	23.77	30.42	22.64	425.332
358.18	17.11	15.91	kafka-001	2019-04-23T22:44:47.484699575Z	81	15.91	23.46	29.2	23.77	290.88
362.741	17.11	15.91	kafka-001	2019-04-23T22:44:54.492474163Z	82	15.91	26.24	28.5	23.46	296.39
370.662	17.12	15.91	kafka-001	2019-04-23T22:45:01.504009932Z	84	15.91	22.97	24.41	26.24	447.8
374.372	17.12	15.91	kafka-001	2019-04-23T22:45:08.515400435Z	85	15.91	26.22	24.52	22.97	305.856
380.757	17.13	15.91	kafka-001	2019-04-23T22:45:15.529295072Z	86	15.91	26.32	24.22	26.22	456.112
388.479	17.13	15.91	kafka-001	2019-04-23T22:45:22.540024254Z	88	15.91	29.07	24.83	26.32	321.96
396.103	17.18	15.95	kafka-001	2019-04-23T22:45:29.550691662Z	89	15.95	28.18	25.71	29.07	325.986
405.318	17.18	15.95	kafka-001	2019-04-23T22:45:36.563299308Z	90	15.95	34.81	26.5	28.18	492.193
416.572	17.2	15.96	kafka-001	2019-04-23T22:45:43.577302965Z	92	15.96	67.12	27.93	34.81	348.19
419.002	17.21	15.96	kafka-001	2019-04-23T22:45:50.592626488Z	93	15.96	36.22	35.29	67.12	508.064
415.782	17.21	15.96	kafka-001	2019-04-23T22:45:57.606319685Z	94	15.96	25.43	36.95	36.22	339.51
