memory_rss%	timestamp	net_receive	container_cpu%	memory_active_anon%	sensor_count	host_moving_avg_cpu	name	host_cpu	net_send	memory%
30.36	2019-04-23T23:48:12.758855299Z	24925363.416	3.19	30.36	2	nan	kafka-001	0	524137.055	89.26
30.36	2019-04-23T23:48:19.769726391Z	43.681	4.58	30.36	7	nan	kafka-001	3.19	42.188	89.14
30.36	2019-04-23T23:48:26.778915953Z	67.324	6.09	30.36	10	nan	kafka-001	4.58	78.519	89.14
30.36	2019-04-23T23:48:33.793073777Z	76.813	6.36	30.36	14	nan	kafka-001	6.09	70.666	89.15
30.36	2019-04-23T23:48:40.805630004Z	94.94	10.31	30.36	17	nan	kafka-001	6.36	114.003	89.15
30.36	2019-04-23T23:48:47.817814132Z	102.149	8.07	30.36	19	5.09	kafka-001	10.31	91.294	89.14
30.36	2019-04-23T23:48:54.829266124Z	112.411	8.95	30.36	22	6.43	kafka-001	8.07	98.024	89.04
30.36	2019-04-23T23:49:01.842521529Z	131.042	10.36	30.36	25	7.39	kafka-001	8.95	155.195	89.04
30.36	2019-04-23T23:49:08.856981802Z	139.171	10.51	30.36	28	8.36	kafka-001	10.36	119.124	89.04
30.36	2019-04-23T23:49:15.869135787Z	154.372	13.49	30.36	30	9.09	kafka-001	10.51	185.883	89.04
30.36	2019-04-23T23:49:22.877760042Z	160.541	10.57	30.36	32	10.28	kafka-001	13.49	136.508	89.05
30.36	2019-04-23T23:49:29.891076385Z	168.765	11.78	30.36	35	10.32	kafka-001	10.57	142.006	89.05
30.36	2019-04-23T23:49:36.900470125Z	181.678	10.97	30.36	37	10.94	kafka-001	11.78	217.433	89.05
30.36	2019-04-23T23:49:43.915008534Z	185.269	11.73	30.36	39	11.28	kafka-001	10.97	156.989	89.05
30.36	2019-04-23T23:49:50.924223596Z	193.686	15.16	30.36	41	11.51	kafka-001	11.73	231.91	89.06
30.36	2019-04-23T23:49:57.935374555Z	201.689	11.02	30.36	43	12.28	kafka-001	15.16	171.019	89.06
30.36	2019-04-23T23:50:04.944729898Z	206.081	13.21	30.36	45	11.87	kafka-001	11.02	175.938	89.06
30.36	2019-04-23T23:50:11.958577143Z	219.988	14.77	30.36	47	12.31	kafka-001	13.21	267.038	89.07
30.36	2019-04-23T23:50:18.967262612Z	228.243	13.64	30.36	49	12.81	kafka-001	14.77	188.88	89.07
30.36	2019-04-23T23:50:25.979104565Z	238.62	18.21	30.36	50	13.26	kafka-001	13.64	286.443	89.08
30.36	2019-04-23T23:50:32.991289354Z	241.153	16.37	30.36	52	14.34	kafka-001	18.21	202.903	89.08
30.36	2019-04-23T23:50:40.006220091Z	251.622	16.32	30.36	54	14.54	kafka-001	16.37	210.627	89.08
30.36	2019-04-23T23:50:47.019317397Z	259.403	16.87	30.36	56	15.42	kafka-001	16.32	315.093	89.09
30.36	2019-04-23T23:50:54.031748448Z	264.533	17.94	30.36	58	16.03	kafka-001	16.87	220.225	89.09
30.36	2019-04-23T23:51:01.042686805Z	276.032	17.12	30.36	59	16.56	kafka-001	17.94	334.46	89.1
30.36	2019-04-23T23:51:08.054812903Z	279.815	17.02	30.36	61	17.14	kafka-001	17.12	230.42	89.1
30.36	2019-04-23T23:51:15.069149449Z	296.038	21.79	30.36	62	16.94	kafka-001	17.02	353.222	89.1
30.36	2019-04-23T23:51:22.08490545Z	294.031	17.38	30.36	64	17.84	kafka-001	21.79	242.736	89.1
30.36	2019-04-23T23:51:29.094406125Z	299.215	16.7	30.36	66	18.02	kafka-001	17.38	244.104	89.1
30.36	2019-04-23T23:51:36.108145215Z	313.164	18.96	30.36	67	17.99	kafka-001	16.7	377.33	89.11
30.36	2019-04-23T23:51:43.117875209Z	316.167	20.94	30.36	69	18.16	kafka-001	18.96	256.844	89.12
30.36	2019-04-23T23:51:50.131845686Z	328.17	20.9	30.36	70	18.8	kafka-001	20.94	390.926	89.12
30.36	2019-04-23T23:51:57.141668344Z	323.517	19.01	30.36	72	19.45	kafka-001	20.9	263.81	89.12
30.36	2019-04-23T23:52:04.155273275Z	330.751	21.42	30.36	73	18.98	kafka-001	19.01	272.032	89.12
30.36	2019-04-23T23:52:11.166688646Z	346.332	22.6	30.36	75	19.66	kafka-001	21.42	415.082	89.14
30.36	2019-04-23T23:52:18.180967668Z	343.979	20.87	30.36	76	20.64	kafka-001	22.6	281.058	89.14
30.36	2019-04-23T23:52:25.196097929Z	352.226	24.57	30.36	77	20.96	kafka-001	20.87	430.262	89.14
