net_send	name	memory_active_anon%	net_receive	timestamp	memory_rss%	host_cpu	host_moving_avg_cpu	memory%	sensor_count	container_cpu%
212.897	kafka-001	14.73	167.152	2019-04-24T02:20:29.251591834Z	14.73	0	nan	15.84	2	16.33
50.584	kafka-001	14.74	44.951	2019-04-24T02:20:36.266657744Z	14.74	16.33	nan	15.86	6	16.84
50.017	kafka-001	14.75	55.993	2019-04-24T02:20:43.280087718Z	14.76	16.84	nan	15.87	10	18.06
84.798	kafka-001	14.77	72.266	2019-04-24T02:20:50.292395565Z	14.77	18.06	nan	15.89	13	30.55
74.523	kafka-001	14.98	83.995	2019-04-24T02:20:57.303358183Z	14.98	30.55	nan	16.1	16	25.0
87.777	kafka-001	14.88	100.403	2019-04-24T02:21:04.313418909Z	14.88	25.0	17.8	16.0	19	14.09
129.879	kafka-001	14.89	110.072	2019-04-24T02:21:11.325578332Z	14.89	14.09	20.14	16.01	22	28.57
103.545	kafka-001	14.89	120.911	2019-04-24T02:21:18.340243386Z	14.89	28.57	22.18	16.01	25	31.55
159.892	kafka-001	14.89	133.315	2019-04-24T02:21:25.353409076Z	14.89	31.55	24.64	16.02	28	23.17
118.9	kafka-001	14.9	142.222	2019-04-24T02:21:32.371954285Z	14.9	23.17	25.49	16.02	30	22.59
128.426	kafka-001	14.9	152.209	2019-04-24T02:21:39.383674529Z	14.9	22.59	24.16	16.03	33	23.77
193.452	kafka-001	14.9	156.758	2019-04-24T02:21:46.389832074Z	14.9	23.77	23.96	16.03	35	16.69
143.182	kafka-001	14.91	165.655	2019-04-24T02:21:53.404166214Z	14.91	16.69	24.39	16.04	37	17.5
222.29	kafka-001	14.94	179.878	2019-04-24T02:22:00.417064494Z	14.94	17.5	22.54	16.08	39	20.14
160.2	kafka-001	14.94	189.021	2019-04-24T02:22:07.432434368Z	14.94	20.14	20.64	16.08	41	25.08
166.092	kafka-001	15.11	198.231	2019-04-24T02:22:14.44503805Z	15.11	25.08	20.96	16.25	43	90.37
250.182	kafka-001	15.07	206.38	2019-04-24T02:22:21.456314811Z	15.07	90.37	32.26	16.21	45	22.27
181.992	kafka-001	15.02	215.179	2019-04-24T02:22:28.469465813Z	15.02	22.27	32.01	16.16	47	34.95
263.049	kafka-001	15.02	221.566	2019-04-24T02:22:35.485192206Z	15.02	34.95	35.05	16.17	49	22.02
192.454	kafka-001	15.04	230.457	2019-04-24T02:22:42.500269809Z	15.04	22.02	35.81	16.2	51	18.91
203.102	kafka-001	15.05	244.327	2019-04-24T02:22:49.515935348Z	15.05	18.91	35.6	16.21	53	23.21
307.464	kafka-001	15.05	253.21	2019-04-24T02:22:56.53385657Z	15.05	23.21	35.29	16.21	55	33.08
216.456	kafka-001	15.22	256.255	2019-04-24T02:23:03.551947495Z	15.27	33.08	25.74	16.43	57	18.9
331.476	kafka-001	15.28	272.328	2019-04-24T02:23:10.568040891Z	15.28	18.9	25.18	16.44	59	22.84
227.118	kafka-001	15.32	276.797	2019-04-24T02:23:17.582913333Z	15.32	22.84	23.16	16.49	60	22.87
234.668	kafka-001	15.32	285.053	2019-04-24T02:23:24.596489648Z	15.32	22.87	23.3	16.49	62	18.33
356.612	kafka-001	15.32	295.9	2019-04-24T02:23:31.609037523Z	15.32	18.33	23.21	16.5	64	23.26
242.218	kafka-001	15.32	297.757	2019-04-24T02:23:38.625026709Z	15.32	23.26	23.21	16.5	65	38.83
374.78	kafka-001	15.32	306.276	2019-04-24T02:23:45.637609218Z	15.32	38.83	24.17	16.5	67	25.09
255.126	kafka-001	15.32	310.869	2019-04-24T02:23:52.650010121Z	15.32	25.09	25.2	16.51	68	24.93
259.422	kafka-001	15.32	316.737	2019-04-24T02:23:59.664678138Z	15.32	24.93	25.55	16.51	70	27.56
394.45	kafka-001	15.32	331.496	2019-04-24T02:24:06.677500476Z	15.32	27.56	26.33	16.52	71	25.93
270.992	kafka-001	15.33	332.823	2019-04-24T02:24:13.689846205Z	15.33	25.93	27.6	16.53	73	25.46
415.906	kafka-001	15.33	348.524	2019-04-24T02:24:20.706798082Z	15.48	25.46	27.97	16.69	74	50.79
280.102	kafka-001	15.48	346.773	2019-04-24T02:24:27.719426911Z	15.48	50.79	29.96	16.69	76	23.48
284.338	kafka-001	15.48	350.911	2019-04-24T02:24:34.731971319Z	15.48	23.48	29.69	16.7	77	26.12
435.79	kafka-001	15.48	363.718	2019-04-24T02:24:41.744664496Z	15.48	26.12	29.89	16.7	79	28.21
294.5	kafka-001	15.83	360.263	2019-04-24T02:24:48.754833359Z	15.93	28.21	30.0	17.16	80	23.99
