memory_active_anon%	memory%	memory_rss%	timestamp	container_cpu%	net_send	sensor_count	name	net_receive	host_moving_avg_cpu	host_cpu
30.45	87.82	30.45	2019-04-24T03:10:21.241899661Z	3.99	339925.595	2	kafka-001	8039320.878	nan	0
30.45	87.82	30.45	2019-04-24T03:10:28.253623348Z	4.7	41.627	6	kafka-001	42.427	nan	3.99
30.45	87.83	30.45	2019-04-24T03:10:35.267431274Z	8.13	72.096	10	kafka-001	61.108	nan	4.7
30.45	87.83	30.45	2019-04-24T03:10:42.281540967Z	8.14	69.964	13	kafka-001	74.913	nan	8.13
30.46	87.83	30.46	2019-04-24T03:10:49.295590787Z	8.12	80.593	16	kafka-001	90.973	nan	8.14
30.46	87.83	30.46	2019-04-24T03:10:56.310682293Z	8.86	122.951	19	kafka-001	106.34	5.51	8.12
30.46	87.83	30.46	2019-04-24T03:11:03.32287496Z	9.36	100.938	22	kafka-001	116.779	6.99	8.86
30.46	87.83	30.46	2019-04-24T03:11:10.333724992Z	10.88	153.978	25	kafka-001	131.414	7.88	9.36
30.46	87.83	30.46	2019-04-24T03:11:17.345857033Z	11.72	118.504	28	kafka-001	140.765	8.91	10.88
30.46	87.84	30.46	2019-04-24T03:11:24.360559243Z	10.34	128.174	30	kafka-001	152.337	9.51	11.72
30.46	87.84	30.46	2019-04-24T03:11:31.373097523Z	12.5	198.454	33	kafka-001	165.868	9.88	10.34
30.46	87.84	30.46	2019-04-24T03:11:38.393834884Z	20.2	142.86	35	kafka-001	168.985	10.61	12.5
30.46	87.85	30.46	2019-04-24T03:11:45.407931084Z	17.45	222.68	37	kafka-001	181.6	12.5	20.2
30.46	87.85	30.46	2019-04-24T03:11:52.422105479Z	14.6	160.908	40	kafka-001	188.513	13.85	17.45
30.46	87.84	30.46	2019-04-24T03:11:59.437528022Z	14.97	165.64	42	kafka-001	196.909	14.47	14.6
30.46	87.85	30.46	2019-04-24T03:12:06.451458942Z	14.95	249.77	44	kafka-001	206.584	15.01	14.97
30.46	87.85	30.46	2019-04-24T03:12:13.460844233Z	15.2	180.395	46	kafka-001	212.059	15.78	14.95
30.46	87.85	30.46	2019-04-24T03:12:20.474219479Z	15.41	270.354	48	kafka-001	224.878	16.23	15.2
30.41	87.86	30.46	2019-04-24T03:12:27.48638015Z	17.36	194.048	49	kafka-001	230.669	15.43	15.41
30.49	87.89	30.49	2019-04-24T03:12:34.496879495Z	13.94	199.702	51	kafka-001	239.125	15.41	17.36
30.49	87.89	30.49	2019-04-24T03:12:41.508345095Z	18.39	305.232	53	kafka-001	252.038	15.3	13.94
30.49	87.9	30.49	2019-04-24T03:12:48.520460598Z	14.89	211.174	55	kafka-001	251.463	15.87	18.39
30.49	87.9	30.49	2019-04-24T03:12:55.53181063Z	22.53	320.304	57	kafka-001	260.459	15.86	14.89
30.49	87.9	30.49	2019-04-24T03:13:02.543612058Z	19.09	225.032	59	kafka-001	271.472	17.09	22.53
30.49	87.91	30.49	2019-04-24T03:13:09.55475685Z	18.56	229.924	60	kafka-001	279.429	17.7	19.09
30.54	87.96	30.54	2019-04-24T03:13:16.564538295Z	19.82	347.768	62	kafka-001	288.757	17.9	18.56
30.54	87.97	30.54	2019-04-24T03:13:23.57723193Z	20.11	241.622	64	kafka-001	292.045	18.88	19.82
30.54	87.97	30.54	2019-04-24T03:13:30.59035243Z	24.38	366.274	65	kafka-001	305.181	19.17	20.11
30.54	87.98	30.54	2019-04-24T03:13:37.608185221Z	20.77	248.07	67	kafka-001	305.027	20.75	24.38
30.54	87.98	30.54	2019-04-24T03:13:44.620617024Z	21.52	253.87	69	kafka-001	314.315	20.45	20.77
30.54	87.98	30.54	2019-04-24T03:13:51.634203242Z	18.23	391.912	70	kafka-001	323.795	20.86	21.52
30.54	87.99	30.54	2019-04-24T03:13:58.653452226Z	22.75	266.334	72	kafka-001	328.054	20.8	18.23
30.54	87.99	30.54	2019-04-24T03:14:05.669076029Z	26.54	407.75	73	kafka-001	337.611	21.29	22.75
30.54	88.0	30.54	2019-04-24T03:14:12.679838691Z	29.73	277.876	75	kafka-001	338.27	22.36	26.54
30.54	88.0	30.54	2019-04-24T03:14:19.692329052Z	23.37	280.164	76	kafka-001	343.011	23.26	29.73
30.54	88.01	30.54	2019-04-24T03:14:26.699842536Z	22.71	426.247	77	kafka-001	351.738	23.69	23.37
30.54	88.01	30.54	2019-04-24T03:14:33.714013788Z	24.33	290.82	79	kafka-001	355.681	23.89	22.71
30.54	88.01	30.54	2019-04-24T03:14:40.724978983Z	23.83	439.606	80	kafka-001	359.624	24.9	24.33
30.54	88.02	30.54	2019-04-24T03:14:47.740512232Z	26.34	301.644	81	kafka-001	370.531	25.08	23.83
30.54	88.02	30.54	2019-04-24T03:14:54.755489767Z	23.97	301.644	83	kafka-001	372.205	25.05	26.34
30.54	88.03	30.54	2019-04-24T03:15:01.768229755Z	27.35	461.699	84	kafka-001	385.53	24.09	23.97
30.54	88.03	30.54	2019-04-24T03:15:08.780983341Z	25.29	308.528	85	kafka-001	384.535	24.76	27.35
30.54	88.04	30.54	2019-04-24T03:15:15.797723651Z	31.18	471.668	87	kafka-001	393.726	25.18	25.29
30.54	88.05	30.54	2019-04-24T03:15:22.808754894Z	27.5	323.86	88	kafka-001	395.829	26.33	31.18
30.54	88.05	30.54	2019-04-24T03:15:29.822934364Z	17.51	324.576	89	kafka-001	402.155	26.94	27.5
30.54	88.05	30.54	2019-04-24T03:15:36.83031316Z	27.36	495.79	91	kafka-001	412.176	25.47	17.51
30.54	88.06	30.54	2019-04-24T03:15:43.842291015Z	26.33	335.238	92	kafka-001	411.055	26.03	27.36
30.54	88.06	30.54	2019-04-24T03:15:50.85146868Z	30.08	505.28	93	kafka-001	422.128	25.86	26.33
30.54	88.07	30.54	2019-04-24T03:15:57.860135232Z	34.82	342.359	94	kafka-001	420.356	26.66	30.08
30.54	88.08	30.54	2019-04-24T03:16:04.86981447Z	28.89	347.638	96	kafka-001	429.094	27.27	34.82
30.54	88.08	30.54	2019-04-24T03:16:11.88594911Z	28.44	522.314	97	kafka-001	434.789	27.5	28.89
30.54	88.09	30.54	2019-04-24T03:16:18.896272682Z	28.59	356.696	98	kafka-001	439.308	29.32	28.44
30.54	88.1	30.54	2019-04-24T03:16:25.908943049Z	34.3	530.554	99	kafka-001	442.156	29.53	28.59
30.54	88.1	30.54	2019-04-24T03:16:32.918833789Z	27.09	365.604	101	kafka-001	449.527	30.85	34.3
30.54	88.11	30.54	2019-04-24T03:16:39.932631489Z	26.11	364.834	102	kafka-001	453.913	30.36	27.09
30.54	88.11	30.54	2019-04-24T03:16:46.940953726Z	30.8	552.815	103	kafka-001	458.487	28.9	26.11
30.54	88.12	30.54	2019-04-24T03:16:53.95362751Z	27.2	377.812	104	kafka-001	464.954	29.22	30.8
30.54	88.12	30.54	2019-04-24T03:17:00.962303005Z	32.61	566.024	105	kafka-001	471.694	29.02	27.2
30.54	88.13	30.54	2019-04-24T03:17:07.971223883Z	31.23	384.742	107	kafka-001	474.162	29.69	32.61
30.54	88.14	30.54	2019-04-24T03:17:14.984701041Z	31.66	387.242	108	kafka-001	475.058	29.17	31.23
30.54	88.14	30.54	2019-04-24T03:17:21.996380301Z	25.75	587.304	109	kafka-001	489.098	29.94	31.66
30.54	88.15	30.54	2019-04-24T03:17:29.007098704Z	32.52	393.056	110	kafka-001	485.749	29.88	25.75
30.54	88.16	30.54	2019-04-24T03:17:36.018642503Z	31.0	596.14	111	kafka-001	492.175	30.16	32.52
30.54	88.16	30.54	2019-04-24T03:17:43.033102488Z	32.86	397.713	112	kafka-001	493.482	30.8	31.0
30.54	88.17	30.54	2019-04-24T03:17:50.046357895Z	34.38	410.422	113	kafka-001	506.65	30.84	32.86
30.54	88.18	30.54	2019-04-24T03:17:57.069890588Z	35.99	607.216	114	kafka-001	509.637	31.36	34.38
30.54	88.19	30.54	2019-04-24T03:18:04.083884807Z	31.71	412.516	115	kafka-001	512.289	32.08	35.99
30.54	88.19	30.54	2019-04-24T03:18:11.097101668Z	34.12	629.22	116	kafka-001	525.376	33.08	31.71
30.54	88.2	30.54	2019-04-24T03:18:18.114157447Z	33.57	420.78	118	kafka-001	526.943	33.34	34.12
30.54	88.21	30.54	2019-04-24T03:18:25.128627031Z	37.69	639.684	119	kafka-001	536.072	33.77	33.57
30.54	88.22	30.54	2019-04-24T03:18:32.139797695Z	33.54	428.658	120	kafka-001	534.039	34.58	37.69
30.54	88.22	30.54	2019-04-24T03:18:39.153650936Z	34.49	430.08	121	kafka-001	538.859	34.44	33.54
30.54	88.23	30.54	2019-04-24T03:18:46.168099323Z	41.5	657.133	122	kafka-001	547.675	34.19	34.49
30.54	88.24	30.54	2019-04-24T03:18:53.179947493Z	36.42	437.879	123	kafka-001	547.001	35.82	41.5
30.54	88.25	30.54	2019-04-24T03:19:00.192618744Z	40.61	666.512	124	kafka-001	559.455	36.2	36.42
