sensor_count	memory_active_anon%	memory%	name	net_receive	timestamp	net_send	container_cpu%	host_moving_avg_cpu	memory_rss%	host_cpu
2	18.8	19.9	kafka-001	18666.655	2019-04-24T15:01:52.151501831Z	26737.911	3.77	nan	18.8	0
6	18.8	19.9	kafka-001	42.039	2019-04-24T15:01:59.165062737Z	39.075	7.86	nan	18.8	3.77
10	18.81	19.91	kafka-001	63.788	2019-04-24T15:02:06.179757504Z	72.428	9.66	nan	18.81	7.86
13	18.81	19.91	kafka-001	73.605	2019-04-24T15:02:13.203378773Z	66.411	9.65	nan	18.81	9.66
17	18.81	19.91	kafka-001	92.586	2019-04-24T15:02:20.216417217Z	110.399	19.14	nan	18.81	9.65
20	18.81	19.92	kafka-001	103.525	2019-04-24T15:02:27.231115319Z	93.466	12.84	8.35	18.81	19.14
22	18.88	20.0	kafka-001	114.641	2019-04-24T15:02:34.245040125Z	99.564	12.6	10.49	18.88	12.84
25	18.81	19.93	kafka-001	134.748	2019-04-24T15:02:41.25983679Z	161.45	16.52	11.96	18.81	12.6
28	18.81	19.92	kafka-001	139.015	2019-04-24T15:02:48.272916952Z	119.368	13.91	13.4	18.81	16.52
30	18.81	19.93	kafka-001	153.542	2019-04-24T15:02:55.288930858Z	184.137	22.0	14.11	18.81	13.91
32	18.81	19.93	kafka-001	159.487	2019-04-24T15:03:02.308792835Z	137.042	24.77	16.17	18.81	22.0
35	18.81	19.94	kafka-001	168.843	2019-04-24T15:03:09.324186645Z	143.466	15.44	17.11	18.81	24.77
37	18.81	19.94	kafka-001	179.39	2019-04-24T15:03:16.341164393Z	213.332	16.82	17.54	18.81	15.44
39	18.81	19.94	kafka-001	183.445	2019-04-24T15:03:23.355117475Z	153.783	18.07	18.24	18.81	16.82
41	18.84	19.97	kafka-001	190.952	2019-04-24T15:03:30.36478125Z	229.481	39.38	18.5	18.84	18.07
43	18.85	19.98	kafka-001	197.131	2019-04-24T15:03:37.377632174Z	159.826	22.99	22.75	18.85	39.38
46	18.85	19.98	kafka-001	209.559	2019-04-24T15:03:44.390216183Z	174.819	19.3	22.91	18.85	22.99
48	18.85	19.99	kafka-001	216.828	2019-04-24T15:03:51.403007417Z	262.244	17.67	22.0	18.85	19.3
50	18.95	20.08	kafka-001	216.631	2019-04-24T15:03:58.415782248Z	183.612	18.05	22.37	18.95	17.67
51	18.85	20.0	kafka-001	240.402	2019-04-24T15:04:05.428002874Z	291.346	20.48	22.58	18.85	18.05
53	18.99	20.14	kafka-001	240.559	2019-04-24T15:04:12.449958048Z	204.434	19.12	22.98	18.99	20.48
55	18.99	20.14	kafka-001	252.369	2019-04-24T15:04:19.464190338Z	211.872	20.05	19.6	18.99	19.12
57	18.99	20.14	kafka-001	266.728	2019-04-24T15:04:26.480259204Z	321.208	19.29	19.11	18.99	20.05
59	18.99	20.15	kafka-001	268.465	2019-04-24T15:04:33.496294538Z	220.94	19.51	19.11	18.99	19.29
60	18.99	20.15	kafka-001	279.146	2019-04-24T15:04:40.508626812Z	339.47	26.17	19.42	18.99	19.51
62	18.99	20.16	kafka-001	283.211	2019-04-24T15:04:47.523857704Z	234.444	21.19	20.77	18.99	26.17
64	18.99	20.16	kafka-001	289.559	2019-04-24T15:04:54.537701243Z	241.62	24.98	20.89	18.99	21.19
66	18.99	20.16	kafka-001	301.85	2019-04-24T15:05:01.554824086Z	363.814	25.46	21.87	18.99	24.98
67	18.99	20.17	kafka-001	304.243	2019-04-24T15:05:08.572123699Z	251.666	23.02	22.77	18.99	25.46
69	18.99	20.17	kafka-001	314.114	2019-04-24T15:05:15.590256758Z	385.821	22.76	23.39	18.99	23.02
70	18.99	20.18	kafka-001	315.193	2019-04-24T15:05:22.606949377Z	261.678	23.13	23.93	18.99	22.76
72	19.0	20.18	kafka-001	319.229	2019-04-24T15:05:29.616759633Z	263.764	21.78	23.42	19.0	23.13
73	19.0	20.19	kafka-001	336.286	2019-04-24T15:05:36.629469893Z	408.006	23.39	23.52	19.0	21.78
75	19.0	20.19	kafka-001	336.927	2019-04-24T15:05:43.645673566Z	277.137	25.03	23.26	19.0	23.39
76	19.0	20.19	kafka-001	345.536	2019-04-24T15:05:50.659939175Z	418.541	33.35	23.19	19.0	25.03
78	19.0	20.2	kafka-001	348.621	2019-04-24T15:05:57.67255266Z	283.763	21.3	24.91	19.0	33.35
79	19.0	20.2	kafka-001	357.313	2019-04-24T15:06:04.685268824Z	291.689	24.9	24.66	19.0	21.3
80	19.0	20.21	kafka-001	372.024	2019-04-24T15:06:11.697605827Z	444.344	28.64	24.96	19.0	24.9
82	19.0	20.22	kafka-001	368.962	2019-04-24T15:06:18.71287256Z	299.12	26.18	26.1	19.0	28.64
83	19.0	20.22	kafka-001	382.015	2019-04-24T15:06:25.727913811Z	454.872	30.04	26.57	19.0	26.18
84	19.0	20.22	kafka-001	382.119	2019-04-24T15:06:32.741160732Z	310.296	27.08	27.4	19.0	30.04
86	19.0	20.23	kafka-001	384.055	2019-04-24T15:06:39.750482657Z	312.172	24.01	26.36	19.0	27.08
87	19.0	20.24	kafka-001	396.022	2019-04-24T15:06:46.761916334Z	477.872	26.62	26.81	19.0	24.01
88	19.0	20.24	kafka-001	396.427	2019-04-24T15:06:53.776782135Z	324.756	28.05	27.1	19.0	26.62
90	19.0	20.25	kafka-001	406.43	2019-04-24T15:07:00.788786447Z	488.889	29.68	27.0	19.0	28.05
91	19.0	20.25	kafka-001	401.419	2019-04-24T15:07:07.801510802Z	330.966	26.89	27.58	19.0	29.68
92	19.0	20.26	kafka-001	408.129	2019-04-24T15:07:14.814728314Z	332.578	27.72	27.06	19.0	26.89
93	19.0	20.26	kafka-001	425.238	2019-04-24T15:07:21.828816845Z	511.928	27.48	27.16	19.0	27.72
95	19.0	20.27	kafka-001	421.76	2019-04-24T15:07:28.845459945Z	342.598	27.29	27.74	19.0	27.48
96	19.0	20.27	kafka-001	430.247	2019-04-24T15:07:35.861250929Z	520.35	30.7	27.85	19.0	27.29
97	19.0	20.28	kafka-001	429.057	2019-04-24T15:07:42.872079759Z	349.536	30.65	28.29	19.0	30.7
98	19.0	20.28	kafka-001	439.369	2019-04-24T15:07:49.885281245Z	355.092	31.18	28.46	19.0	30.65
99	19.0	20.29	kafka-001	443.552	2019-04-24T15:07:56.89789872Z	539.344	31.03	29.17	19.0	31.18
101	19.0	20.3	kafka-001	443.801	2019-04-24T15:08:03.913901821Z	363.637	51.18	29.72	19.0	31.03
102	19.0	20.3	kafka-001	457.253	2019-04-24T15:08:10.928279853Z	552.501	38.2	33.67	19.0	51.18
