memory%	host_moving_avg_cpu	sensor_count	memory_active_anon%	net_send	memory_rss%	timestamp	net_receive	name	container_cpu%	host_cpu
88.1	nan	2	30.59	806226.794	30.59	2019-04-24T18:11:31.773195525Z	33180104.597	kafka-001	2.42	0
88.1	nan	7	30.59	16.031	30.59	2019-04-24T18:11:38.787378172Z	27.033	kafka-001	3.86	2.42
88.1	nan	11	30.59	48.688	30.59	2019-04-24T18:11:45.800761425Z	49.2	kafka-001	7.65	3.86
88.1	nan	15	30.59	45.38	30.59	2019-04-24T18:11:52.816196008Z	65.403	kafka-001	5.71	7.65
88.11	nan	19	30.59	58.145	30.59	2019-04-24T18:11:59.831937065Z	82.257	kafka-001	7.3	5.71
88.11	4.49	23	30.59	107.846	30.59	2019-04-24T18:12:06.846302077Z	99.866	kafka-001	8.1	7.3
88.11	5.84	27	30.59	85.27	30.59	2019-04-24T18:12:13.859417546Z	115.723	kafka-001	9.43	8.1
88.11	7.01	31	30.59	149.034	30.59	2019-04-24T18:12:20.874479878Z	133.538	kafka-001	12.54	9.43
88.11	8.46	34	30.59	110.206	30.59	2019-04-24T18:12:27.886941715Z	144.801	kafka-001	11.51	12.54
88.12	9.1	37	30.59	119.022	30.59	2019-04-24T18:12:34.902501884Z	160.165	kafka-001	11.21	11.51
88.12	10.01	41	30.59	198.392	30.59	2019-04-24T18:12:41.917146802Z	173.636	kafka-001	12.49	11.21
88.12	10.88	44	30.59	141.75	30.59	2019-04-24T18:12:48.933336231Z	186.273	kafka-001	12.84	12.49
88.13	11.67	47	30.59	234.97	30.59	2019-04-24T18:12:55.945969537Z	201.972	kafka-001	18.01	12.84
88.13	13.1	50	30.59	162.794	30.59	2019-04-24T18:13:02.958174518Z	210.669	kafka-001	12.59	18.01
88.13	13.11	53	30.59	172.652	30.59	2019-04-24T18:13:09.969534748Z	226.577	kafka-001	16.81	12.59
88.13	13.99	56	30.59	276.33	30.59	2019-04-24T18:13:16.981044937Z	238.147	kafka-001	16.3	16.81
88.14	14.84	59	30.59	192.548	30.59	2019-04-24T18:13:23.99525778Z	253.252	kafka-001	18.99	16.3
88.14	15.92	62	30.59	307.757	30.59	2019-04-24T18:13:31.008295429Z	266.36	kafka-001	21.65	18.99
88.15	17.39	65	30.59	212.78	30.59	2019-04-24T18:13:38.01904466Z	275.145	kafka-001	20.71	21.65
88.15	17.84	67	30.59	222.571	30.59	2019-04-24T18:13:45.028929993Z	288.136	kafka-001	20.47	20.71
88.16	19.16	70	30.59	347.401	30.59	2019-04-24T18:13:52.061100143Z	296.957	kafka-001	21.39	20.47
88.16	19.92	72	30.59	237.332	30.59	2019-04-24T18:13:59.071434803Z	309.947	kafka-001	22.6	21.39
88.16	20.97	75	30.59	374.79	30.59	2019-04-24T18:14:06.08402854Z	318.142	kafka-001	24.29	22.6
88.17	21.85	77	30.59	253.968	30.59	2019-04-24T18:14:13.098297812Z	328.451	kafka-001	22.15	24.29
88.17	21.94	80	30.59	401.609	30.59	2019-04-24T18:14:20.112016743Z	340.76	kafka-001	24.68	22.15
88.18	22.6	82	30.59	270.69	30.59	2019-04-24T18:14:27.125241624Z	348.677	kafka-001	23.14	24.68
88.18	23.04	84	30.59	276.382	30.59	2019-04-24T18:14:34.136312287Z	361.805	kafka-001	22.9	23.14
88.19	23.29	87	30.59	436.574	30.59	2019-04-24T18:14:41.144967269Z	371.341	kafka-001	25.59	22.9
88.19	23.79	89	30.59	294.38	30.59	2019-04-24T18:14:48.159001278Z	376.818	kafka-001	25.74	25.59
88.2	24.03	91	30.59	457.104	30.59	2019-04-24T18:14:55.171067214Z	388.031	kafka-001	28.92	25.74
88.2	25.16	93	30.59	307.96	30.59	2019-04-24T18:15:02.183344188Z	396.826	kafka-001	25.31	28.92
88.21	25.27	96	30.59	314.47	30.59	2019-04-24T18:15:09.199032098Z	405.407	kafka-001	27.08	25.31
88.22	25.92	98	30.59	491.08	30.59	2019-04-24T18:15:16.213890973Z	415.584	kafka-001	28.1	27.08
88.22	26.79	100	30.59	330.944	30.59	2019-04-24T18:15:23.223824529Z	424.611	kafka-001	29.73	28.1
88.23	27.48	102	30.59	515.2	30.59	2019-04-24T18:15:30.235295304Z	436.698	kafka-001	31.12	29.73
88.23	28.38	104	30.59	344.899	30.59	2019-04-24T18:15:37.242930449Z	438.883	kafka-001	28.12	31.12
88.24	28.24	107	30.59	348.808	30.59	2019-04-24T18:15:44.254445103Z	448.723	kafka-001	30.21	28.12
88.24	29.06	109	30.59	547.714	30.59	2019-04-24T18:15:51.262142362Z	464.304	kafka-001	31.23	30.21
88.25	29.75	111	30.59	368.115	30.59	2019-04-24T18:15:58.274856566Z	474.751	kafka-001	31.88	31.23
88.26	30.38	113	30.59	568.533	30.59	2019-04-24T18:16:05.284565126Z	486.786	kafka-001	33.65	31.88
88.26	31.04	115	30.59	381.554	30.59	2019-04-24T18:16:12.297557422Z	492.929	kafka-001	33.21	33.65
88.27	31.38	117	30.59	387.41	30.59	2019-04-24T18:16:19.307025422Z	498.859	kafka-001	34.03	33.21
88.28	32.37	119	30.59	600.024	30.59	2019-04-24T18:16:26.319712784Z	504.961	kafka-001	35.83	34.03
88.29	33.31	121	30.59	397.616	30.59	2019-04-24T18:16:33.329725842Z	512.398	kafka-001	33.77	35.83
88.3	33.73	123	30.59	621.217	30.59	2019-04-24T18:16:40.344600739Z	527.88	kafka-001	36.94	33.77
88.3	34.57	125	30.59	413.924	30.59	2019-04-24T18:16:47.352425897Z	532.121	kafka-001	36.43	36.94
88.31	35.04	127	30.59	419.366	30.59	2019-04-24T18:16:54.365694476Z	539.333	kafka-001	37.15	36.43
88.32	35.69	128	30.59	643.518	30.59	2019-04-24T18:17:01.374555551Z	549.516	kafka-001	38.05	37.15
88.35	36.36	130	30.62	433.513	30.62	2019-04-24T18:17:08.386615703Z	556.051	kafka-001	34.54	38.05
88.36	36.15	132	30.62	665.809	30.62	2019-04-24T18:17:15.3992896Z	565.814	kafka-001	37.62	34.54
88.36	36.79	134	30.62	444.446	30.62	2019-04-24T18:17:22.415007649Z	572.69	kafka-001	32.39	37.62
88.38	36.03	136	30.62	449.094	30.62	2019-04-24T18:17:29.42324495Z	572.732	kafka-001	38.8	32.39
88.38	36.43	138	30.62	698.363	30.62	2019-04-24T18:17:36.432863058Z	593.572	kafka-001	20.57	38.8
88.39	33.66	140	30.62	463.161	30.62	2019-04-24T18:17:43.448681555Z	589.496	kafka-001	41.56	20.57
88.4	34.25	141	30.62	714.147	30.62	2019-04-24T18:17:50.462137416Z	604.23	kafka-001	42.92	41.56
88.41	35.64	143	30.62	475.284	30.62	2019-04-24T18:17:57.476525297Z	611.442	kafka-001	37.47	42.92
88.42	35.62	145	30.62	480.144	30.62	2019-04-24T18:18:04.494111933Z	616.842	kafka-001	40.06	37.47
88.43	36.9	147	30.62	742.011	30.62	2019-04-24T18:18:11.510498223Z	627.969	kafka-001	43.92	40.06
88.44	37.75	148	30.62	489.791	30.62	2019-04-24T18:18:18.526338304Z	631.703	kafka-001	44.32	43.92
88.44	41.71	150	30.62	758.648	30.62	2019-04-24T18:18:25.539380931Z	640.664	kafka-001	46.47	44.32
88.45	42.53	152	30.62	505.678	30.62	2019-04-24T18:18:32.555311782Z	651.365	kafka-001	39.81	46.47
88.46	42.01	153	30.62	508.704	30.62	2019-04-24T18:18:39.572438861Z	654.203	kafka-001	43.19	39.81
87.58	42.96	155	30.62	783.633	30.62	2019-04-24T18:18:46.589411376Z	663.022	kafka-001	39.99	43.19
87.59	42.95	157	30.62	519.395	30.62	2019-04-24T18:18:53.603357057Z	670.931	kafka-001	46.35	39.99
87.6	43.36	158	30.62	803.554	30.62	2019-04-24T18:19:00.617027341Z	684.47	kafka-001	45.87	46.35
87.6	43.61	160	30.62	529.212	30.62	2019-04-24T18:19:07.63027287Z	686.345	kafka-001	46.35	45.87
87.62	43.59	162	30.62	537.184	30.62	2019-04-24T18:19:14.643360916Z	694.091	kafka-001	44.48	46.35
87.63	44.37	163	30.62	828.419	30.62	2019-04-24T18:19:21.656994645Z	699.108	kafka-001	47.03	44.48
87.64	45.01	165	30.62	541.614	30.62	2019-04-24T18:19:28.674322989Z	697.879	kafka-001	44.44	47.03
87.64	45.75	166	30.62	846.307	30.62	2019-04-24T18:19:35.687420216Z	710.49	kafka-001	50.13	44.44
87.66	46.38	168	30.62	558.977	30.62	2019-04-24T18:19:42.700849951Z	714.205	kafka-001	40.95	50.13
87.66	45.56	170	30.62	561.622	30.62	2019-04-24T18:19:49.714020529Z	719.124	kafka-001	47.94	40.95
87.68	45.83	171	30.62	863.684	30.62	2019-04-24T18:19:56.728699951Z	730.131	kafka-001	44.42	47.94
87.69	45.82	173	30.62	570.812	30.62	2019-04-24T18:20:03.740577374Z	725.463	kafka-001	50.07	44.42
87.7	46.33	174	30.62	885.317	30.62	2019-04-24T18:20:10.757129875Z	745.878	kafka-001	49.69	50.07
87.71	47.2	176	30.62	580.088	30.62	2019-04-24T18:20:17.772719053Z	741.146	kafka-001	50.36	49.69
87.72	47.24	177	30.62	583.342	30.62	2019-04-24T18:20:24.784185258Z	751.344	kafka-001	49.05	50.36
87.73	48.59	179	30.62	905.829	30.62	2019-04-24T18:20:31.797856095Z	763.834	kafka-001	51.25	49.05
87.74	49.14	180	30.62	595.25	30.62	2019-04-24T18:20:38.809704128Z	773.489	kafka-001	52.53	51.25
87.75	50.49	182	30.62	924.619	30.62	2019-04-24T18:20:45.833095829Z	781.112	kafka-001	55.77	52.53
87.76	51.44	183	30.62	607.068	30.62	2019-04-24T18:20:52.845918504Z	785.325	kafka-001	52.87	55.77
87.77	51.97	185	30.62	611.959	30.62	2019-04-24T18:20:59.856943565Z	789.705	kafka-001	53.03	52.87
87.78	52.42	186	30.62	946.907	30.62	2019-04-24T18:21:06.868661642Z	799.045	kafka-001	48.86	53.03
87.79	52.39	188	30.62	623.148	30.62	2019-04-24T18:21:13.882396311Z	801.876	kafka-001	53.86	48.86
87.8	52.82	189	30.62	958.856	30.62	2019-04-24T18:21:20.902017492Z	811.951	kafka-001	48.11	53.86
87.82	52.08	191	30.62	634.455	30.62	2019-04-24T18:21:27.917181966Z	809.997	kafka-001	56.33	48.11
87.83	52.18	192	30.62	636.069	30.62	2019-04-24T18:21:34.930792084Z	817.21	kafka-001	55.19	56.33
87.84	52.56	194	30.62	981.885	30.62	2019-04-24T18:21:41.942581328Z	827.89	kafka-001	54.18	55.19
87.86	52.76	195	30.62	647.126	30.62	2019-04-24T18:21:48.953724669Z	826.473	kafka-001	56.26	54.18
87.87	53.99	197	30.62	990.083	30.62	2019-04-24T18:21:55.966555797Z	835.863	kafka-001	59.44	56.26
87.87	54.92	198	30.62	657.795	30.62	2019-04-24T18:22:02.977948078Z	839.03	kafka-001	54.36	59.44
87.89	55.96	199	30.62	658.911	30.62	2019-04-24T18:22:09.996773889Z	851.763	kafka-001	56.88	54.36
87.9	56.05	201	30.62	1015.617	30.62	2019-04-24T18:22:17.008467552Z	860.52	kafka-001	56.24	56.88
87.91	56.23	203	30.62	674.22	30.62	2019-04-24T18:22:24.022269528Z	862.575	kafka-001	57.65	56.24
87.92	56.81	204	30.62	1040.268	30.62	2019-04-24T18:22:31.033535826Z	877.016	kafka-001	51.67	57.65
87.94	56.04	206	30.62	682.752	30.62	2019-04-24T18:22:38.047216236Z	878.713	kafka-001	59.62	51.67
87.95	56.07	208	30.62	688.347	30.62	2019-04-24T18:22:45.063359255Z	884.244	kafka-001	60.05	59.62
87.96	57.02	209	30.62	1058.985	30.62	2019-04-24T18:22:52.075712128Z	895.004	kafka-001	57.31	60.05
87.97	57.09	211	30.62	697.063	30.62	2019-04-24T18:22:59.088252643Z	898.444	kafka-001	48.87	57.31
87.99	55.86	213	30.62	1079.048	30.62	2019-04-24T18:23:06.101862987Z	910.71	kafka-001	61.78	48.87
88.0	56.55	214	30.62	714.71	30.62	2019-04-24T18:23:13.113930181Z	913.647	kafka-001	53.51	61.78
88.01	56.86	216	30.62	1089.364	30.62	2019-04-24T18:23:20.126223146Z	923.348	kafka-001	65.5	53.51
88.03	57.84	217	30.62	722.957	30.62	2019-04-24T18:23:27.144098811Z	931.981	kafka-001	53.25	65.5
88.04	56.7	219	30.62	723.602	30.62	2019-04-24T18:23:34.154667449Z	934.215	kafka-001	60.08	53.25
88.05	57.17	221	30.62	1120.384	30.62	2019-04-24T18:23:41.171041699Z	951.024	kafka-001	65.96	60.08
88.07	60.01	222	30.62	735.76	30.62	2019-04-24T18:23:48.186416521Z	948.842	kafka-001	64.03	65.96
88.08	60.39	224	30.62	1138.72	30.62	2019-04-24T18:23:55.199759616Z	957.3	kafka-001	64.85	64.03
88.09	62.28	225	30.62	750.492	30.62	2019-04-24T18:24:02.212025717Z	966.408	kafka-001	63.03	64.85
88.11	61.87	227	30.62	749.49	30.62	2019-04-24T18:24:09.221610755Z	965.127	kafka-001	62.68	63.03
88.12	63.44	229	30.62	1155.308	30.62	2019-04-24T18:24:16.230377005Z	976.156	kafka-001	62.38	62.68
88.13	63.82	230	30.62	764.881	30.62	2019-04-24T18:24:23.255120935Z	982.513	kafka-001	63.81	62.38
88.15	63.46	232	30.62	1166.204	30.62	2019-04-24T18:24:30.269956859Z	981.554	kafka-001	65.65	63.81
88.16	63.73	233	30.62	773.796	30.62	2019-04-24T18:24:37.282108635Z	985.234	kafka-001	60.27	65.65
88.17	62.97	235	30.62	779.212	30.62	2019-04-24T18:24:44.293666785Z	997.136	kafka-001	66.49	60.27
88.19	63.55	236	30.62	1197.616	30.62	2019-04-24T18:24:51.311469175Z	1004.6	kafka-001	61.16	66.49
