net_send	name	timestamp	host_moving_avg_cpu	net_receive	container_cpu%	sensor_count	memory_rss%	memory%	host_cpu	memory_active_anon%
1146391.678	kafka-001	2019-04-24T18:52:03.41246678Z	nan	48035477.022	3.43	2	30.63	86.52	0	30.63
25.021	kafka-001	2019-04-24T18:52:10.422585017Z	nan	28.748	6.81	7	30.63	86.52	3.43	30.63
31.961	kafka-001	2019-04-24T18:52:17.437081513Z	nan	46.779	4.6	11	30.63	86.52	6.81	30.63
44.225	kafka-001	2019-04-24T18:52:24.452707092Z	nan	65.053	5.6	15	30.63	86.52	4.6	30.63
88.492	kafka-001	2019-04-24T18:52:31.46748621Z	nan	84.386	7.46	19	30.63	86.52	5.6	30.63
72.064	kafka-001	2019-04-24T18:52:38.48083619Z	4.65	98.865	8.44	23	30.63	86.53	7.46	30.63
130.594	kafka-001	2019-04-24T18:52:45.494610022Z	6.06	117.364	11.9	27	30.63	86.53	8.44	30.63
96.886	kafka-001	2019-04-24T18:52:52.504006363Z	7.47	128.725	14.91	30	30.63	86.53	11.9	30.63
106.504	kafka-001	2019-04-24T18:52:59.517965683Z	8.82	143.311	10.71	34	30.63	86.53	14.91	30.63
180.746	kafka-001	2019-04-24T18:53:06.531940589Z	9.84	159.278	10.57	37	30.63	86.53	10.71	30.63
128.23	kafka-001	2019-04-24T18:53:13.54391059Z	10.66	169.437	13.04	40	30.63	86.54	10.57	30.63
213.12	kafka-001	2019-04-24T18:53:20.553967738Z	11.6	186.722	15.83	43	30.63	86.54	13.04	30.63
152.142	kafka-001	2019-04-24T18:53:27.571129073Z	12.83	196.081	14.22	46	30.63	86.54	15.83	30.63
160.186	kafka-001	2019-04-24T18:53:34.583943089Z	13.21	207.153	14.72	50	30.63	86.55	14.22	30.63
262.154	kafka-001	2019-04-24T18:53:41.595708069Z	13.18	224.032	15.58	53	30.63	86.55	14.72	30.63
181.17	kafka-001	2019-04-24T18:53:48.606831246Z	13.99	234.318	16.55	55	30.63	86.55	15.58	30.63
290.844	kafka-001	2019-04-24T18:53:55.620339338Z	14.99	249.035	19.99	58	30.63	86.56	16.55	30.63
194.572	kafka-001	2019-04-24T18:54:02.632348931Z	16.15	252.251	18.83	61	30.63	86.56	19.99	30.63
207.976	kafka-001	2019-04-24T18:54:09.650548967Z	16.65	269.651	19.77	64	30.63	86.56	18.83	30.63
330.364	kafka-001	2019-04-24T18:54:16.663095247Z	17.57	280.746	20.28	66	30.63	86.57	19.77	30.63
225.472	kafka-001	2019-04-24T18:54:23.675846Z	18.5	290.335	19.42	69	30.63	86.57	20.28	30.63
357.741	kafka-001	2019-04-24T18:54:30.687389607Z	19.14	305.013	25.38	72	30.63	86.57	19.42	30.63
243.663	kafka-001	2019-04-24T18:54:37.699311327Z	20.61	311.338	20.88	74	30.63	86.57	25.38	30.63
250.681	kafka-001	2019-04-24T18:54:44.710012327Z	20.76	325.832	23.18	77	30.63	86.58	20.88	30.63
399.57	kafka-001	2019-04-24T18:54:51.72474989Z	21.49	340.197	23.97	79	30.63	86.58	23.18	30.63
268.982	kafka-001	2019-04-24T18:54:58.734896558Z	22.18	345.205	23.96	82	30.63	86.59	23.97	30.63
