sensor_count	container_cpu%	net_receive	host_moving_avg_cpu	net_send	memory%	name	timestamp	memory_active_anon%	host_cpu	memory_rss%
2	2.43	60312898.369	nan	1470412.75	88.01	kafka-001	2019-04-24T19:30:52.013513316Z	30.63	0	30.63
7	3.75	25.041	nan	14.378	88.01	kafka-001	2019-04-24T19:30:59.026766928Z	30.63	2.43	30.63
11	6.47	45.986	nan	44.584	88.01	kafka-001	2019-04-24T19:31:06.037057826Z	30.63	3.75	30.63
15	5.71	60.149	nan	42.997	88.01	kafka-001	2019-04-24T19:31:13.05046453Z	30.63	6.47	30.63
19	8.11	79.884	nan	86.388	88.01	kafka-001	2019-04-24T19:31:20.060550123Z	30.63	5.71	30.63
22	7.64	95.911	4.41	71.461	88.01	kafka-001	2019-04-24T19:31:27.074131001Z	30.63	8.11	30.63
26	9.25	113.007	5.68	82.654	88.01	kafka-001	2019-04-24T19:31:34.083247757Z	30.63	7.64	30.63
30	10.72	126.724	6.82	143.522	88.02	kafka-001	2019-04-24T19:31:41.09694003Z	30.63	9.25	30.63
34	11.31	142.685	7.98	107.921	88.02	kafka-001	2019-04-24T19:31:48.109999359Z	30.63	10.72	30.63
37	12.38	157.598	8.79	182.493	88.02	kafka-001	2019-04-24T19:31:55.121133344Z	30.63	11.31	30.63
40	13.02	168.913	9.9	129.926	88.02	kafka-001	2019-04-24T19:32:02.141533116Z	30.63	12.38	30.63
43	11.51	183.789	10.72	139.508	88.03	kafka-001	2019-04-24T19:32:09.153678222Z	30.63	13.02	30.63
46	15.09	198.2	11.37	229.69	88.03	kafka-001	2019-04-24T19:32:16.162877991Z	30.63	11.51	30.63
50	14.28	209.379	12.34	160.426	88.03	kafka-001	2019-04-24T19:32:23.176451377Z	30.63	15.09	30.63
53	18.95	224.569	12.93	262.32	88.04	kafka-001	2019-04-24T19:32:30.198225883Z	30.63	14.28	30.63
55	15.91	235.786	14.21	181.948	88.04	kafka-001	2019-04-24T19:32:37.21072397Z	30.63	18.95	30.63
58	18.58	251.303	14.79	189.066	88.04	kafka-001	2019-04-24T19:32:44.224747405Z	30.63	15.91	30.63
61	17.88	262.189	15.72	303.54	88.05	kafka-001	2019-04-24T19:32:51.236715113Z	30.63	18.58	30.63
64	20.16	274.976	16.78	210.208	88.05	kafka-001	2019-04-24T19:32:58.251728211Z	30.63	17.88	30.63
67	22.15	289.88	17.63	334.648	88.05	kafka-001	2019-04-24T19:33:05.263476119Z	30.63	20.16	30.63
69	22.06	297.225	18.94	226.673	88.06	kafka-001	2019-04-24T19:33:12.274208521Z	30.63	22.15	30.63
72	21.35	307.839	19.46	233.433	88.06	kafka-001	2019-04-24T19:33:19.288119377Z	30.63	22.06	30.63
75	21.98	323.352	20.36	373.769	88.06	kafka-001	2019-04-24T19:33:26.301060457Z	30.63	21.35	30.63
77	23.39	328.809	20.93	253.462	88.07	kafka-001	2019-04-24T19:33:33.314456623Z	30.63	21.98	30.63
79	28.03	339.572	21.85	401.239	88.07	kafka-001	2019-04-24T19:33:40.328451336Z	30.63	23.39	30.63
82	24.48	350.881	23.16	270.547	88.08	kafka-001	2019-04-24T19:33:47.341664801Z	30.63	28.03	30.63
84	26.16	358.569	23.55	277.11	88.08	kafka-001	2019-04-24T19:33:54.355301959Z	30.63	24.48	30.63
87	25.39	374.274	24.23	437.044	88.09	kafka-001	2019-04-24T19:34:01.369238044Z	30.63	26.16	30.63
89	27.8	380.858	24.9	293.718	88.1	kafka-001	2019-04-24T19:34:08.384297273Z	30.63	25.39	30.63
92	30.36	386.439	25.88	461.942	88.1	kafka-001	2019-04-24T19:34:15.39729332Z	30.63	27.8	30.63
94	28.3	397.003	27.04	309.046	88.11	kafka-001	2019-04-24T19:34:22.41214155Z	30.63	30.36	30.63
96	23.83	407.245	27.08	313.308	88.11	kafka-001	2019-04-24T19:34:29.430099981Z	30.63	28.3	30.63
98	29.31	418.658	26.97	494.208	88.12	kafka-001	2019-04-24T19:34:36.444705992Z	30.63	23.83	30.63
100	26.32	425.371	27.5	332.414	88.12	kafka-001	2019-04-24T19:34:43.459834906Z	30.63	29.31	30.63
103	34.15	440.41	27.65	520.277	88.13	kafka-001	2019-04-24T19:34:50.47320008Z	30.64	26.32	30.64
105	29.85	444.447	28.71	344.244	88.14	kafka-001	2019-04-24T19:34:57.485833045Z	30.64	34.15	30.64
107	30.81	452.231	28.63	352.734	88.15	kafka-001	2019-04-24T19:35:04.498865822Z	30.64	29.85	30.64
109	30.36	469.144	29.05	550.61	88.15	kafka-001	2019-04-24T19:35:11.509243254Z	30.64	30.81	30.64
111	33.82	478.173	30.13	367.956	88.15	kafka-001	2019-04-24T19:35:18.523988054Z	30.64	30.36	30.64
114	34.45	489.292	30.89	579.809	88.16	kafka-001	2019-04-24T19:35:25.535893968Z	30.64	33.82	30.64
116	33.72	488.116	32.24	377.188	87.28	kafka-001	2019-04-24T19:35:32.548685242Z	30.64	34.45	30.64
118	31.99	498.688	32.17	386.318	87.28	kafka-001	2019-04-24T19:35:39.561037621Z	30.64	33.72	30.64
120	36.62	511.988	32.53	602.031	87.29	kafka-001	2019-04-24T19:35:46.572348133Z	30.64	31.99	30.64
122	36.84	521.923	33.49	399.828	87.29	kafka-001	2019-04-24T19:35:53.584572008Z	30.63	36.62	30.63
124	40.81	531.815	34.57	627.576	87.3	kafka-001	2019-04-24T19:36:00.603124283Z	30.63	36.84	30.63
125	34.73	533.702	35.74	416.924	87.31	kafka-001	2019-04-24T19:36:07.61576355Z	30.63	40.81	30.63
