memory_active_anon%	timestamp	container_cpu%	sensor_count	memory_rss%	memory%	name	net_send	host_moving_avg_cpu	net_receive	host_cpu
30.69	2019-04-24T20:29:58.85296222Z	3.17	2	30.69	87.22	kafka-001	1811451.648	nan	76673530.259	0
30.69	2019-04-24T20:30:05.866586393Z	6.89	6	30.69	87.23	kafka-001	23.775	nan	28.603	3.17
30.69	2019-04-24T20:30:12.879305636Z	5.3	11	30.69	87.22	kafka-001	30.319	nan	42.747	6.89
30.69	2019-04-24T20:30:19.891871346Z	5.8	15	30.69	87.23	kafka-001	41.725	nan	61.383	5.3
30.7	2019-04-24T20:30:26.905187902Z	7.06	19	30.7	87.23	kafka-001	83.178	nan	80.758	5.8
30.7	2019-04-24T20:30:33.920219813Z	7.13	22	30.7	87.23	kafka-001	69.314	4.7	94.735	7.06
30.7	2019-04-24T20:30:40.934094637Z	11.34	26	30.7	87.23	kafka-001	126.062	5.89	113.132	7.13
30.7	2019-04-24T20:30:47.947814987Z	8.7	30	30.7	87.23	kafka-001	94.42	7.25	126.541	11.34
30.7	2019-04-24T20:30:54.961330219Z	11.08	33	30.7	87.24	kafka-001	104.788	7.56	141.233	8.7
30.7	2019-04-24T20:31:01.973238686Z	12.4	36	30.7	87.24	kafka-001	176.944	8.52	157.786	11.08
30.7	2019-04-24T20:31:08.986526072Z	13.46	39	30.7	87.24	kafka-001	127.614	9.62	169.089	12.4
30.7	2019-04-24T20:31:16.000051698Z	17.08	43	30.7	87.24	kafka-001	210.744	10.68	184.428	13.46
30.7	2019-04-24T20:31:23.014452175Z	15.76	46	30.7	87.25	kafka-001	149.7	12.34	195.239	17.08
30.7	2019-04-24T20:31:30.033794775Z	15.17	49	30.7	87.25	kafka-001	158.846	13.08	208.256	15.76
30.7	2019-04-24T20:31:37.047498229Z	16.66	52	30.7	87.25	kafka-001	255.614	14.16	220.183	15.17
30.7	2019-04-24T20:31:44.0706863Z	16.64	55	30.7	87.26	kafka-001	177.688	15.09	231.216	16.66
30.7	2019-04-24T20:31:51.085318287Z	18.48	57	30.7	87.26	kafka-001	286.138	15.8	247.389	16.64
30.7	2019-04-24T20:31:58.098248546Z	17.39	60	30.7	87.26	kafka-001	190.288	16.63	246.763	18.48
30.7	2019-04-24T20:32:05.110588065Z	20.27	63	30.7	87.26	kafka-001	317.742	16.68	270.414	17.39
30.7	2019-04-24T20:32:12.122166209Z	19.91	66	30.7	87.27	kafka-001	216.296	17.43	279.637	20.27
30.7	2019-04-24T20:32:19.135924053Z	20.15	68	30.7	87.27	kafka-001	223.956	18.22	291.761	19.91
30.7	2019-04-24T20:32:26.149366972Z	18.56	71	30.7	87.28	kafka-001	355.0	18.81	303.868	20.15
30.7	2019-04-24T20:32:33.168284224Z	22.08	73	30.7	87.28	kafka-001	242.594	19.13	314.263	18.56
30.7	2019-04-24T20:32:40.182030528Z	23.76	76	30.7	87.28	kafka-001	381.482	19.73	327.622	22.08
30.7	2019-04-24T20:32:47.195300844Z	24.22	78	30.7	87.29	kafka-001	258.915	20.79	333.999	23.76
30.7	2019-04-24T20:32:54.207240327Z	25.18	81	30.7	87.3	kafka-001	266.758	21.45	345.301	24.22
30.7	2019-04-24T20:33:01.221482133Z	26.13	83	30.7	87.3	kafka-001	418.334	22.32	360.636	25.18
30.7	2019-04-24T20:33:08.240064947Z	27.88	86	30.7	87.31	kafka-001	283.722	23.32	366.327	26.13
30.7	2019-04-24T20:33:15.254519145Z	29.39	88	30.7	87.31	kafka-001	444.224	24.87	378.382	27.88
30.7	2019-04-24T20:33:22.266406383Z	27.31	90	30.7	87.31	kafka-001	297.432	26.09	385.38	29.39
30.7	2019-04-24T20:33:29.280032474Z	27.73	92	30.7	87.32	kafka-001	303.832	26.68	394.774	27.31
30.7	2019-04-24T20:33:36.295859039Z	29.21	95	30.7	87.33	kafka-001	475.814	27.27	406.626	27.73
30.7	2019-04-24T20:33:43.306863609Z	27.43	97	30.7	87.33	kafka-001	318.568	27.94	413.199	29.21
30.7	2019-04-24T20:33:50.316261281Z	30.41	99	30.7	87.34	kafka-001	498.612	28.16	418.41	27.43
30.7	2019-04-24T20:33:57.329302942Z	29.18	101	30.7	87.34	kafka-001	335.478	28.58	434.059	30.41
30.7	2019-04-24T20:34:04.337707659Z	28.62	103	30.7	87.35	kafka-001	341.38	28.55	442.097	29.18
30.75	2019-04-24T20:34:11.348449885Z	31.32	105	30.75	87.29	kafka-001	529.736	28.76	453.807	28.62
30.75	2019-04-24T20:34:18.359158197Z	31.26	108	30.75	87.3	kafka-001	355.674	29.36	455.593	31.32
30.75	2019-04-24T20:34:25.3716109Z	34.83	110	30.75	87.3	kafka-001	552.084	29.7	471.293	31.26
30.75	2019-04-24T20:34:32.380358086Z	31.55	112	30.75	87.31	kafka-001	371.548	30.94	480.043	34.83
30.75	2019-04-24T20:34:39.395296249Z	30.25	114	30.75	87.31	kafka-001	378.194	31.13	488.153	31.55
30.75	2019-04-24T20:34:46.408427283Z	33.02	116	30.75	87.32	kafka-001	585.812	31.31	496.322	30.25
30.75	2019-04-24T20:34:53.421993155Z	35.14	118	30.75	87.33	kafka-001	390.642	32.04	505.049	33.02
30.75	2019-04-24T20:35:00.433803824Z	37.55	120	30.75	87.34	kafka-001	605.469	32.68	516.703	35.14
30.75	2019-04-24T20:35:07.445778959Z	33.88	122	30.75	87.35	kafka-001	404.347	33.72	519.03	37.55
30.75	2019-04-24T20:35:14.45455347Z	35.81	124	30.75	87.35	kafka-001	407.164	33.57	531.049	33.88
30.75	2019-04-24T20:35:21.465152916Z	37.29	126	30.75	87.36	kafka-001	636.38	34.28	540.228	35.81
30.75	2019-04-24T20:35:28.47318869Z	35.92	128	30.75	87.36	kafka-001	421.306	35.45	546.871	37.29
30.75	2019-04-24T20:35:35.485103904Z	39.12	130	30.75	87.37	kafka-001	655.26	35.93	556.344	35.92
30.75	2019-04-24T20:35:42.494196949Z	36.02	131	30.75	87.38	kafka-001	433.892	36.6	557.907	39.12
30.75	2019-04-24T20:35:49.509964159Z	37.81	133	30.75	87.39	kafka-001	443.13	36.34	572.663	36.02
30.75	2019-04-24T20:35:56.51787999Z	38.04	135	30.75	87.4	kafka-001	684.693	37.0	581.392	37.81
30.75	2019-04-24T20:36:03.534562473Z	38.34	137	30.75	87.4	kafka-001	452.705	37.37	582.987	38.04
30.75	2019-04-24T20:36:10.545523453Z	40.66	139	30.75	87.41	kafka-001	699.641	37.54	588.078	38.34
30.75	2019-04-24T20:36:17.557298413Z	38.47	140	30.75	87.42	kafka-001	468.367	38.33	601.829	40.66
30.75	2019-04-24T20:36:24.56559213Z	41.37	142	30.75	87.43	kafka-001	471.638	38.22	606.803	38.47
30.75	2019-04-24T20:36:31.576292665Z	38.05	144	30.75	87.44	kafka-001	727.656	39.12	612.936	41.37
30.75	2019-04-24T20:36:38.594254035Z	43.91	146	30.75	87.45	kafka-001	482.882	39.16	619.479	38.05
30.75	2019-04-24T20:36:45.610273616Z	45.32	147	30.75	87.46	kafka-001	750.188	40.13	634.216	43.91
30.75	2019-04-24T20:36:52.621918786Z	43.33	149	30.75	87.46	kafka-001	496.06	41.3	633.064	45.32
