memory_active_anon%	memory%	timestamp	sensor_count	container_cpu%	host_moving_avg_cpu	net_send	host_cpu	memory_rss%	net_receive	name
14.75	15.89	2019-04-24T21:20:30.412445296Z	2	9.84	nan	41.87	0	14.75	53.655	kafka-001
15.02	16.17	2019-04-24T21:20:37.423177166Z	7	14.6	nan	19.712	9.84	15.02	26.822	kafka-001
14.96	16.11	2019-04-24T21:20:44.435107552Z	11	14.54	nan	29.903	14.6	14.96	45.733	kafka-001
14.98	16.13	2019-04-24T21:20:51.446708308Z	15	23.06	nan	67.068	14.54	14.98	63.816	kafka-001
15.0	16.15	2019-04-24T21:20:58.46043047Z	19	40.4	nan	58.481	23.06	15.0	80.079	kafka-001
15.01	16.16	2019-04-24T21:21:05.475122679Z	23	22.75	17.07	110.104	40.4	15.01	98.722	kafka-001
15.11	16.26	2019-04-24T21:21:12.48950949Z	27	22.67	20.86	86.06	22.75	15.11	114.337	kafka-001
15.02	16.17	2019-04-24T21:21:19.502061997Z	30	23.16	23.0	96.928	22.67	15.02	129.887	kafka-001
15.02	16.18	2019-04-24T21:21:26.51621536Z	34	24.9	24.43	163.09	23.16	15.02	144.836	kafka-001
15.02	16.18	2019-04-24T21:21:33.530883387Z	37	30.81	26.16	120.536	24.9	15.02	157.949	kafka-001
15.02	16.19	2019-04-24T21:21:40.548480698Z	40	23.4	27.45	199.022	30.81	15.02	167.822	kafka-001
15.03	16.19	2019-04-24T21:21:47.561218852Z	43	19.19	24.62	141.576	23.4	15.03	180.349	kafka-001
15.03	16.2	2019-04-24T21:21:54.578486377Z	46	23.19	24.02	149.48	19.19	15.03	195.605	kafka-001
15.03	16.19	2019-04-24T21:22:01.592751077Z	49	34.12	24.11	243.601	23.19	15.03	211.39	kafka-001
15.09	16.27	2019-04-24T21:22:08.605913858Z	52	21.82	25.94	171.694	34.12	15.09	224.725	kafka-001
15.1	16.28	2019-04-24T21:22:15.619009099Z	55	30.0	25.42	275.671	21.82	15.1	238.365	kafka-001
15.1	16.28	2019-04-24T21:22:22.632499332Z	58	21.51	25.29	192.596	30.0	15.1	251.299	kafka-001
15.1	16.29	2019-04-24T21:22:29.646027741Z	61	20.52	24.97	200.804	21.51	15.1	262.8	kafka-001
15.11	16.31	2019-04-24T21:22:36.663774871Z	64	23.73	25.19	320.374	20.52	15.11	276.352	kafka-001
15.1	16.3	2019-04-24T21:22:43.674955486Z	67	27.62	25.28	218.184	23.73	15.1	285.211	kafka-001
15.1	16.31	2019-04-24T21:22:50.689748776Z	70	32.6	24.2	350.698	27.62	15.1	300.952	kafka-001
15.1	16.31	2019-04-24T21:22:57.707542581Z	72	24.38	26.0	233.652	32.6	15.1	306.555	kafka-001
15.11	16.32	2019-04-24T21:23:04.727609568Z	75	24.67	25.06	245.888	24.38	15.11	320.169	kafka-001
15.11	16.32	2019-04-24T21:23:11.743698898Z	77	21.84	25.59	386.79	24.67	15.11	332.874	kafka-001
15.11	16.33	2019-04-24T21:23:18.757689679Z	80	27.15	25.81	262.822	21.84	15.11	343.173	kafka-001
15.11	16.33	2019-04-24T21:23:25.775106006Z	82	29.68	26.38	416.936	27.15	15.11	357.444	kafka-001
15.11	16.33	2019-04-24T21:23:32.792620272Z	85	34.57	26.72	279.222	29.68	15.11	359.557	kafka-001
15.11	16.34	2019-04-24T21:23:39.80573984Z	87	27.73	27.05	286.424	34.57	15.11	369.187	kafka-001
15.11	16.35	2019-04-24T21:23:46.819568334Z	89	28.67	27.61	449.892	27.73	15.11	384.96	kafka-001
15.11	16.35	2019-04-24T21:23:53.831344505Z	92	31.03	28.27	302.772	28.67	15.11	389.971	kafka-001
15.16	16.51	2019-04-24T21:24:00.849705851Z	94	37.64	29.81	471.72	31.03	15.26	402.278	kafka-001
15.56	16.92	2019-04-24T21:24:07.865430396Z	96	31.02	31.55	317.863	37.64	15.66	408.707	kafka-001
15.76	17.03	2019-04-24T21:24:14.880024837Z	99	29.57	31.78	321.596	31.02	15.76	413.169	kafka-001
15.76	17.03	2019-04-24T21:24:21.892116493Z	101	30.78	30.94	507.842	29.57	15.76	431.515	kafka-001
15.76	17.04	2019-04-24T21:24:28.910922982Z	103	34.91	31.45	340.812	30.78	15.76	438.607	kafka-001
15.76	17.04	2019-04-24T21:24:35.925081958Z	105	35.9	32.49	531.548	34.91	15.76	450.163	kafka-001
15.77	17.15	2019-04-24T21:24:42.949168926Z	107	32.9	33.3	355.896	35.9	15.87	455.555	kafka-001
16.27	17.66	2019-04-24T21:24:49.962389004Z	109	33.98	32.51	358.553	32.9	16.37	465.363	kafka-001
16.78	18.13	2019-04-24T21:24:56.976809291Z	111	35.72	33.01	562.774	33.98	16.83	475.242	kafka-001
17.23	18.59	2019-04-24T21:25:03.991731035Z	113	29.29	34.03	374.502	35.72	17.28	483.043	kafka-001
17.74	19.1	2019-04-24T21:25:11.006251698Z	116	42.82	33.78	586.468	29.29	17.79	495.924	kafka-001
18.19	19.62	2019-04-24T21:25:18.018260745Z	118	33.46	35.1	387.359	42.82	18.3	504.89	kafka-001
18.75	20.13	2019-04-24T21:25:25.030812426Z	120	41.55	34.7	395.43	33.46	18.8	513.463	kafka-001
19.26	20.64	2019-04-24T21:25:32.04306143Z	122	34.52	36.14	613.742	41.55	19.31	521.393	kafka-001
19.77	21.21	2019-04-24T21:25:39.055078695Z	124	40.68	36.23	408.265	34.52	19.87	527.767	kafka-001
20.07	21.42	2019-04-24T21:25:46.067798493Z	126	33.8	37.05	635.984	40.68	20.07	539.296	kafka-001
20.07	21.43	2019-04-24T21:25:53.08092525Z	128	39.05	37.8	423.788	33.8	20.07	543.965	kafka-001
20.07	21.43	2019-04-24T21:26:00.093644826Z	130	37.77	37.18	658.96	39.05	20.07	558.514	kafka-001
20.07	21.44	2019-04-24T21:26:07.105023358Z	132	40.77	37.89	436.108	37.77	20.07	565.569	kafka-001
20.07	21.45	2019-04-24T21:26:14.118647163Z	134	41.26	37.76	440.461	40.77	20.07	568.897	kafka-001
20.07	21.46	2019-04-24T21:26:21.130675091Z	136	43.07	38.89	687.442	41.26	20.07	582.255	kafka-001
20.07	21.47	2019-04-24T21:26:28.14319606Z	137	39.18	39.29	454.247	43.07	20.07	586.952	kafka-001
20.07	21.47	2019-04-24T21:26:35.155111582Z	139	47.07	40.18	705.487	39.18	20.07	594.943	kafka-001
20.07	21.48	2019-04-24T21:26:42.175810959Z	141	42.4	41.52	469.134	47.07	20.07	605.238	kafka-001
20.07	21.49	2019-04-24T21:26:49.187261073Z	143	41.84	42.29	474.708	42.4	20.07	614.399	kafka-001
20.07	21.5	2019-04-24T21:26:56.197028231Z	145	44.47	42.47	731.466	41.84	20.07	621.562	kafka-001
20.42	21.86	2019-04-24T21:27:03.208835278Z	147	44.12	43.0	487.984	44.47	20.42	630.971	kafka-001
20.93	22.53	2019-04-24T21:27:10.224745433Z	148	49.46	43.18	755.4	44.12	21.08	638.144	kafka-001
21.59	23.15	2019-04-24T21:27:17.23992577Z	150	45.08	44.89	494.852	49.46	21.69	639.565	kafka-001
22.2	23.76	2019-04-24T21:27:24.25298664Z	152	47.64	44.56	505.517	45.08	22.3	649.291	kafka-001
22.96	24.43	2019-04-24T21:27:31.271905669Z	154	48.34	45.43	782.347	47.64	22.96	662.37	kafka-001
23.52	25.1	2019-04-24T21:27:38.282386386Z	156	46.54	46.52	513.272	48.34	23.62	661.186	kafka-001
24.17	25.76	2019-04-24T21:27:45.294687113Z	157	53.65	46.86	796.245	46.54	24.27	672.811	kafka-001
24.48	25.98	2019-04-24T21:27:52.302952044Z	159	44.59	48.45	528.536	53.65	24.48	683.165	kafka-001
24.48	25.99	2019-04-24T21:27:59.315002193Z	161	48.08	47.64	530.404	44.59	24.48	688.409	kafka-001
24.48	26.0	2019-04-24T21:28:06.325200191Z	162	43.16	48.14	822.826	48.08	24.48	696.877	kafka-001
24.48	26.0	2019-04-24T21:28:13.339769004Z	164	47.43	47.39	545.866	43.16	24.48	701.952	kafka-001
24.48	26.01	2019-04-24T21:28:20.347945375Z	166	50.32	47.24	839.922	47.43	24.48	716.77	kafka-001
24.48	26.03	2019-04-24T21:28:27.362262857Z	167	49.6	47.87	554.185	50.32	24.48	710.662	kafka-001
24.48	26.04	2019-04-24T21:28:34.373229213Z	169	67.75	47.2	559.302	49.6	24.48	724.334	kafka-001
24.48	26.05	2019-04-24T21:28:41.385612281Z	171	48.42	51.06	863.834	67.75	24.48	732.778	kafka-001
24.48	26.06	2019-04-24T21:28:48.393975827Z	172	45.53	51.11	572.105	48.42	24.48	737.229	kafka-001
24.48	26.07	2019-04-24T21:28:55.409716373Z	174	48.34	51.51	880.921	45.53	24.48	747.028	kafka-001
24.48	26.08	2019-04-24T21:29:02.423140412Z	176	51.05	51.66	581.876	48.34	24.48	750.877	kafka-001
24.48	26.09	2019-04-24T21:29:09.43762587Z	177	53.09	51.78	585.09	51.05	24.48	758.893	kafka-001
