host_moving_avg_cpu	host_cpu	container_cpu%	net_receive	name	net_send	sensor_count	memory_rss%	memory_active_anon%	memory%	timestamp
nan	0	2.05	21276778.39	kafka-001	509222.016	2	30.08	30.08	88.79	2019-04-24T22:37:42.232637686Z
nan	2.05	5.06	25.379	kafka-001	14.802	7	30.08	30.08	88.79	2019-04-24T22:37:49.249928046Z
nan	5.06	5.53	46.218	kafka-001	45.04	11	30.08	30.08	88.79	2019-04-24T22:37:56.264189795Z
nan	5.53	5.65	63.903	kafka-001	45.527	15	30.08	30.08	88.79	2019-04-24T22:38:03.280567026Z
nan	5.65	9.47	83.52	kafka-001	89.259	19	30.08	30.08	88.79	2019-04-24T22:38:10.294252324Z
4.63	9.47	8.23	96.893	kafka-001	71.852	23	30.08	30.08	88.79	2019-04-24T22:38:17.307857857Z
6.0	8.23	10.99	112.013	kafka-001	83.139	26	30.08	30.08	88.79	2019-04-24T22:38:24.321794965Z
7.49	10.99	10.54	128.158	kafka-001	143.438	30	30.08	30.08	88.79	2019-04-24T22:38:31.337690194Z
8.4	10.54	10.74	142.501	kafka-001	107.385	33	30.08	30.08	88.8	2019-04-24T22:38:38.350756653Z
9.27	10.74	14.24	156.746	kafka-001	179.909	36	30.08	30.08	88.8	2019-04-24T22:38:45.371860135Z
10.7	14.24	12.32	167.609	kafka-001	128.646	40	30.09	30.09	88.81	2019-04-24T22:38:52.400400098Z
11.18	12.32	14.9	180.135	kafka-001	138.064	43	30.09	30.09	88.81	2019-04-24T22:38:59.414091819Z
12.29	14.9	13.96	194.574	kafka-001	226.27	46	30.09	30.09	88.81	2019-04-24T22:39:06.428358283Z
12.78	13.96	16.74	206.351	kafka-001	160.164	49	30.09	30.09	88.82	2019-04-24T22:39:13.441567457Z
13.82	16.74	17.25	222.342	kafka-001	256.861	52	30.09	30.09	88.82	2019-04-24T22:39:20.455567795Z
14.9	17.25	17.29	231.986	kafka-001	179.545	55	30.09	30.09	88.82	2019-04-24T22:39:27.469801658Z
15.41	17.29	16.11	244.06	kafka-001	189.263	58	30.09	30.09	88.83	2019-04-24T22:39:34.48394413Z
16.04	16.11	18.54	259.25	kafka-001	303.888	61	30.09	30.09	88.83	2019-04-24T22:39:41.500648412Z
16.65	18.54	18.35	269.519	kafka-001	206.046	64	30.09	30.09	88.83	2019-04-24T22:39:48.512419104Z
17.38	18.35	21.13	281.842	kafka-001	331.868	66	30.09	30.09	88.83	2019-04-24T22:39:55.524822652Z
18.11	21.13	18.07	288.685	kafka-001	226.717	69	30.09	30.09	88.84	2019-04-24T22:40:02.539160681Z
18.25	18.07	22.27	302.947	kafka-001	233.217	72	30.09	30.09	88.84	2019-04-24T22:40:09.557696319Z
19.08	22.27	21.06	310.376	kafka-001	370.564	74	30.09	30.09	88.85	2019-04-24T22:40:16.571509087Z
19.9	21.06	23.06	325.253	kafka-001	253.274	77	30.09	30.09	88.86	2019-04-24T22:40:23.585041389Z
20.66	23.06	20.95	338.761	kafka-001	396.98	79	30.09	30.09	88.86	2019-04-24T22:40:30.596800424Z
21.09	20.95	24.63	346.44	kafka-001	268.042	82	30.09	30.09	88.86	2019-04-24T22:40:37.611338351Z
21.67	24.63	23.68	357.125	kafka-001	277.078	84	30.09	30.09	88.87	2019-04-24T22:40:44.626081828Z
22.61	23.68	26.3	366.886	kafka-001	433.75	86	30.09	30.09	88.88	2019-04-24T22:40:51.639565413Z
23.28	26.3	23.24	376.801	kafka-001	292.154	89	30.09	30.09	88.88	2019-04-24T22:40:58.652547612Z
23.64	23.24	27.36	387.884	kafka-001	457.092	91	30.09	30.09	88.88	2019-04-24T22:41:05.665224914Z
24.36	27.36	26.23	398.525	kafka-001	306.92	93	30.09	30.09	88.89	2019-04-24T22:41:12.678202525Z
25.24	26.23	29.42	406.011	kafka-001	313.006	96	30.09	30.09	88.89	2019-04-24T22:41:19.700902788Z
26.04	29.42	26.01	415.451	kafka-001	492.474	98	30.09	30.09	88.9	2019-04-24T22:41:26.716727795Z
26.43	26.01	29.2	425.3	kafka-001	331.638	100	30.09	30.09	88.91	2019-04-24T22:41:33.728528435Z
