net_receive	name	host_cpu	memory_rss%	memory_active_anon%	container_cpu%	timestamp	net_send	host_moving_avg_cpu	memory%	sensor_count
28129803.721	kafka-001	0	30.11	30.11	2.65	2019-04-24T23:26:51.57453426Z	868743.923	nan	88.28	2
27.549	kafka-001	2.65	30.11	30.11	4.63	2019-04-24T23:26:58.588323716Z	16.159	nan	88.28	7
46.498	kafka-001	4.63	30.11	30.11	7.36	2019-04-24T23:27:05.606063969Z	46.518	nan	88.28	11
65.035	kafka-001	7.36	30.11	30.11	5.79	2019-04-24T23:27:12.620370175Z	46.037	nan	88.28	15
82.133	kafka-001	5.79	30.11	30.11	7.3	2019-04-24T23:27:19.634891753Z	57.406	nan	88.28	19
99.045	kafka-001	7.3	30.11	30.11	7.79	2019-04-24T23:27:26.650823029Z	105.461	4.62	88.28	23
113.72	kafka-001	7.79	30.11	30.11	10.49	2019-04-24T23:27:33.665088735Z	83.96	5.92	88.29	26
130.63	kafka-001	10.49	30.11	30.11	11.28	2019-04-24T23:27:40.679862132Z	146.927	7.23	88.29	30
143.189	kafka-001	11.28	30.11	30.11	11.31	2019-04-24T23:27:47.690498451Z	108.413	8.34	88.29	34
157.589	kafka-001	11.31	30.11	30.11	10.98	2019-04-24T23:27:54.703266245Z	117.83	8.99	88.29	37
171.058	kafka-001	10.98	30.11	30.11	12.52	2019-04-24T23:28:01.715313115Z	196.48	9.86	88.3	40
184.031	kafka-001	12.52	30.11	30.11	13.78	2019-04-24T23:28:08.728861541Z	139.902	10.73	88.3	43
196.523	kafka-001	13.78	30.11	30.11	16.33	2019-04-24T23:28:15.744908928Z	227.526	11.73	88.31	46
207.598	kafka-001	16.33	30.12	30.11	26.23	2019-04-24T23:28:22.757772681Z	162.656	12.7	88.31	50
223.393	kafka-001	26.23	30.11	30.11	16.36	2019-04-24T23:28:29.770249384Z	170.664	15.19	88.31	52
235.74	kafka-001	16.36	30.11	30.11	16.72	2019-04-24T23:28:36.782692696Z	275.924	16.03	88.31	55
249.495	kafka-001	16.72	30.11	30.11	18.45	2019-04-24T23:28:43.79575415Z	190.27	16.99	88.32	58
262.722	kafka-001	18.45	30.11	30.11	18.94	2019-04-24T23:28:50.808557592Z	305.615	17.98	88.32	61
271.569	kafka-001	18.94	30.11	30.11	20.87	2019-04-24T23:28:57.826012636Z	210.552	18.84	88.33	64
283.333	kafka-001	20.87	30.11	30.11	20.88	2019-04-24T23:29:04.839808434Z	217.266	19.6	88.33	66
298.996	kafka-001	20.88	30.11	30.11	22.2	2019-04-24T23:29:11.854034067Z	345.694	18.7	88.33	69
307.591	kafka-001	22.2	30.12	30.12	23.07	2019-04-24T23:29:18.868295844Z	234.236	19.68	88.33	72
320.014	kafka-001	23.07	30.12	30.12	25.71	2019-04-24T23:29:25.880274847Z	373.614	20.74	88.34	74
329.205	kafka-001	25.71	30.12	30.12	22.71	2019-04-24T23:29:32.892206715Z	254.432	21.95	88.35	77
338.859	kafka-001	22.71	30.11	30.11	24.79	2019-04-24T23:29:39.90383189Z	260.594	22.57	88.35	79
350.612	kafka-001	24.79	30.11	30.11	22.22	2019-04-24T23:29:46.912423456Z	409.095	23.23	88.35	82
360.945	kafka-001	22.22	30.11	30.11	25.88	2019-04-24T23:29:53.92357088Z	278.666	23.45	88.36	84
370.876	kafka-001	25.88	30.11	30.11	27.34	2019-04-24T23:30:00.932872048Z	431.034	24.06	88.36	86
377.596	kafka-001	27.34	30.11	30.11	25.72	2019-04-24T23:30:07.947446892Z	292.369	24.78	88.37	89
387.741	kafka-001	25.72	30.11	30.11	24.99	2019-04-24T23:30:14.955557844Z	299.222	24.78	88.37	91
400.199	kafka-001	24.99	30.11	30.11	26.61	2019-04-24T23:30:21.970185118Z	467.264	25.16	88.38	93
405.7	kafka-001	26.61	30.11	30.11	23.26	2019-04-24T23:30:28.977451658Z	311.792	25.46	88.38	95
418.163	kafka-001	23.26	30.11	30.11	30.87	2019-04-24T23:30:35.988263176Z	490.024	25.63	88.39	98
425.581	kafka-001	30.87	30.11	30.11	29.85	2019-04-24T23:30:43.004653483Z	331.418	26.47	88.4	100
433.826	kafka-001	29.85	30.11	30.11	30.85	2019-04-24T23:30:50.017223905Z	337.224	26.88	88.4	102
445.193	kafka-001	30.85	30.11	30.11	30.21	2019-04-24T23:30:57.024536242Z	524.882	27.74	88.41	104
454.361	kafka-001	30.21	30.11	30.11	32.59	2019-04-24T23:31:04.036424392Z	350.934	28.61	88.42	106
469.18	kafka-001	32.59	30.11	30.11	32.92	2019-04-24T23:31:11.051710858Z	550.764	29.61	88.42	109
474.383	kafka-001	32.92	30.11	30.11	29.28	2019-04-24T23:31:18.064887626Z	368.829	31.22	88.43	111
479.311	kafka-001	29.28	30.11	30.11	33.64	2019-04-24T23:31:25.075806032Z	566.461	30.95	88.43	113
