memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
37.88	60.82	1	1184.735	0	cassandra-001	2018-08-18T21:50:09.366955077Z	1.14	nan	37.88	606.6
37.88	60.82	4	0.0	1.14	cassandra-001	2018-08-18T21:50:16.3739641Z	1.07	nan	37.88	0.0
37.88	60.82	7	0.0	1.07	cassandra-001	2018-08-18T21:50:23.381432681Z	1.16	nan	37.88	0.0
37.88	60.84	10	0.342	1.16	cassandra-001	2018-08-18T21:50:30.390415285Z	17.18	nan	37.88	0.282
37.88	60.91	14	0.0	17.18	cassandra-001	2018-08-18T21:50:37.399498055Z	22.95	nan	37.88	0.0
37.88	60.99	17	0.0	22.95	cassandra-001	2018-08-18T21:50:44.407032252Z	23.62	7.25	37.88	0.0
37.89	61.09	20	0.0	23.62	cassandra-001	2018-08-18T21:50:51.414026939Z	29.04	11.19	37.89	0.0
37.79	61.11	23	0.342	29.04	cassandra-001	2018-08-18T21:50:58.421770723Z	31.71	15.84	37.79	0.282
37.79	62.2	26	0.0	31.71	cassandra-001	2018-08-18T21:51:05.430223647Z	36.77	20.94	37.79	0.0
37.79	62.34	29	0.0	36.77	cassandra-001	2018-08-18T21:51:12.441241321Z	35.01	26.88	37.79	0.0
37.79	62.5	32	0.0	35.01	cassandra-001	2018-08-18T21:51:19.44823976Z	43.14	29.85	37.79	0.0
37.79	62.67	34	0.0	43.14	cassandra-001	2018-08-18T21:51:26.455757283Z	39.48	33.22	37.79	0.0
37.79	62.86	36	0.342	39.48	cassandra-001	2018-08-18T21:51:33.463652313Z	41.4	35.86	37.79	0.282
37.79	63.05	38	0.0	41.4	cassandra-001	2018-08-18T21:51:40.470443024Z	45.06	37.92	37.79	0.0
37.79	63.25	41	0.0	45.06	cassandra-001	2018-08-18T21:51:47.479771118Z	42.84	40.14	37.79	0.0
37.78	63.46	42	0.0	42.84	cassandra-001	2018-08-18T21:51:54.488428973Z	45.62	41.16	37.78	0.0
37.79	63.68	44	0.342	45.62	cassandra-001	2018-08-18T21:52:01.501696572Z	49.54	42.92	37.79	0.282
37.78	63.9	46	0.0	49.54	cassandra-001	2018-08-18T21:52:08.510914189Z	43.84	43.99	37.78	0.0
37.77	64.65	48	0.0	43.84	cassandra-001	2018-08-18T21:52:15.517331604Z	110.38	44.72	37.77	0.0
37.65	64.0	50	0.0	110.38	cassandra-001	2018-08-18T21:52:22.526069206Z	58.34	56.21	37.65	0.0
37.64	64.24	52	0.342	58.34	cassandra-001	2018-08-18T21:52:29.533195745Z	63.47	58.43	37.64	0.282
37.64	64.52	54	0.0	63.47	cassandra-001	2018-08-18T21:52:36.540196014Z	53.99	61.87	37.64	0.0
37.67	64.83	55	0.0	53.99	cassandra-001	2018-08-18T21:52:43.549715655Z	69.72	63.26	37.67	0.0
37.64	65.09	57	0.0	69.72	cassandra-001	2018-08-18T21:52:50.556558406Z	74.95	66.62	37.64	0.0
37.65	65.39	59	0.342	74.95	cassandra-001	2018-08-18T21:52:57.568428128Z	73.46	71.81	37.65	0.282
37.65	65.67	60	0.0	73.46	cassandra-001	2018-08-18T21:53:04.57468759Z	46.77	65.66	37.65	0.0
37.65	67.59	61	0.0	46.77	cassandra-001	2018-08-18T21:53:11.580655287Z	101.94	63.73	37.65	0.0
37.64	69.64	63	0.0	101.94	cassandra-001	2018-08-18T21:53:18.586995386Z	116.38	70.14	37.64	0.0
37.64	71.7	64	0.0	116.38	cassandra-001	2018-08-18T21:53:25.593055659Z	103.45	80.54	37.64	0.0
37.64	73.74	66	0.342	103.45	cassandra-001	2018-08-18T21:53:32.6030299Z	104.65	86.16	37.64	0.282
37.64	69.66	68	0.0	104.65	cassandra-001	2018-08-18T21:53:39.609411977Z	125.88	91.11	37.64	0.0
37.64	72.39	69	0.0	125.88	cassandra-001	2018-08-18T21:53:46.616078917Z	105.25	99.84	37.64	0.0
37.64	75.18	71	0.0	105.25	cassandra-001	2018-08-18T21:53:53.624810825Z	118.44	109.59	37.64	0.0
37.64	77.88	72	0.342	118.44	cassandra-001	2018-08-18T21:54:00.631824107Z	120.81	112.34	37.64	0.282
37.64	80.58	73	0.0	120.81	cassandra-001	2018-08-18T21:54:07.637553663Z	101.06	113.08	37.64	0.0
37.64	82.31	75	0.0	101.06	cassandra-001	2018-08-18T21:54:14.646678823Z	121.44	112.68	37.64	0.0
37.64	85.05	76	0.0	121.44	cassandra-001	2018-08-18T21:54:21.654340116Z	110.04	115.48	37.64	0.0
37.64	88.7	77	0.342	110.04	cassandra-001	2018-08-18T21:54:28.661289986Z	87.85	112.84	37.64	0.282
37.66	90.52	79	0.0	87.85	cassandra-001	2018-08-18T21:54:35.66791492Z	108.2	109.94	37.66	0.0
37.64	91.7	80	0.0	108.2	cassandra-001	2018-08-18T21:54:42.67539025Z	93.84	108.23	37.64	0.0
37.65	91.69	81	0.0	93.84	cassandra-001	2018-08-18T21:54:49.682603243Z	88.67	103.74	37.65	0.0
37.64	91.75	83	0.0	88.67	cassandra-001	2018-08-18T21:54:56.694641657Z	133.29	101.67	37.64	0.0
37.65	91.73	84	0.342	133.29	cassandra-001	2018-08-18T21:55:03.700865628Z	97.63	103.65	37.65	0.282
37.66	91.6	85	0.0	97.63	cassandra-001	2018-08-18T21:55:10.708314254Z	84.57	101.58	37.66	0.0
37.63	91.78	86	0.0	84.57	cassandra-001	2018-08-18T21:55:17.714304603Z	102.67	101.03	37.63	0.0
37.64	91.59	88	0.0	102.67	cassandra-001	2018-08-18T21:55:24.722640086Z	57.72	100.11	37.64	0.0
37.63	92.01	89	0.342	57.72	cassandra-001	2018-08-18T21:55:31.72970392Z	131.22	94.09	37.63	0.282
37.63	71.0	90	0.0	131.22	cassandra-001	2018-08-18T21:55:38.744719662Z	148.25	101.18	37.63	0.0
37.64	73.18	91	0.0	148.25	cassandra-001	2018-08-18T21:55:45.752093244Z	136.59	103.68	37.64	0.0
37.64	75.37	93	0.0	136.59	cassandra-001	2018-08-18T21:55:52.758633851Z	109.38	110.17	37.64	0.0
37.64	77.58	94	0.342	109.38	cassandra-001	2018-08-18T21:55:59.764513622Z	113.72	114.3	37.64	0.282
37.63	78.73	95	0.0	113.72	cassandra-001	2018-08-18T21:56:06.771765256Z	84.65	116.15	37.63	0.0
37.64	73.74	97	0.0	84.65	cassandra-001	2018-08-18T21:56:13.782068225Z	82.89	120.64	37.64	0.0
37.64	74.23	98	0.0	82.89	cassandra-001	2018-08-18T21:56:20.790435589Z	81.32	112.58	37.64	0.0
37.63	74.72	99	0.342	81.32	cassandra-001	2018-08-18T21:56:27.79772756Z	76.85	101.42	37.63	0.282
37.63	75.31	100	0.0	76.85	cassandra-001	2018-08-18T21:56:34.804779151Z	82.9	91.47	37.63	0.0
37.63	75.81	101	0.0	82.9	cassandra-001	2018-08-18T21:56:41.813112853Z	82.82	87.06	37.63	0.0
37.63	76.32	102	0.0	82.82	cassandra-001	2018-08-18T21:56:48.821590122Z	90.49	81.9	37.63	0.0
37.63	76.84	104	0.0	90.49	cassandra-001	2018-08-18T21:56:55.829338754Z	88.05	82.88	37.63	0.0
37.63	78.67	105	0.342	88.05	cassandra-001	2018-08-18T21:57:02.835380128Z	80.09	83.74	37.63	0.282
37.63	77.61	106	0.0	80.09	cassandra-001	2018-08-18T21:57:09.844526234Z	98.22	83.53	37.63	0.0
37.63	78.14	107	0.0	98.22	cassandra-001	2018-08-18T21:57:16.851503847Z	91.8	87.09	37.63	0.0
37.63	78.69	108	0.0	91.8	cassandra-001	2018-08-18T21:57:23.859121916Z	80.27	88.58	37.63	0.0
37.64	79.91	110	0.342	80.27	cassandra-001	2018-08-18T21:57:30.865596363Z	119.24	88.15	37.64	0.282
37.63	81.88	111	0.0	119.24	cassandra-001	2018-08-18T21:57:37.877400668Z	133.3	92.94	37.63	0.0
37.63	83.85	112	0.0	133.3	cassandra-001	2018-08-18T21:57:44.884796526Z	125.95	100.49	37.63	0.0
37.64	87.14	113	0.0	125.95	cassandra-001	2018-08-18T21:57:51.891415632Z	212.64	108.13	37.64	0.0
37.65	81.75	114	0.342	212.64	cassandra-001	2018-08-18T21:57:58.899428246Z	113.76	127.2	37.65	0.282
37.63	82.31	115	0.0	113.76	cassandra-001	2018-08-18T21:58:05.906511724Z	90.52	130.86	37.63	0.0
37.64	82.92	116	0.0	90.52	cassandra-001	2018-08-18T21:58:12.913959043Z	90.03	132.57	37.64	0.0
37.64	83.2	117	0.0	90.03	cassandra-001	2018-08-18T21:58:19.920768751Z	84.82	127.7	37.64	0.0
37.65	83.81	119	0.0	84.82	cassandra-001	2018-08-18T21:58:26.928246817Z	102.87	119.62	37.65	0.0
37.64	84.39	120	0.342	102.87	cassandra-001	2018-08-18T21:58:33.935339438Z	91.73	115.77	37.64	0.282
37.65	86.3	121	0.0	91.73	cassandra-001	2018-08-18T21:58:40.943875859Z	105.96	95.62	37.65	0.0
