memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
15.95	88.91	1	18688070.499	0	kafka-001	2018-08-19T00:05:11.016620038Z	1.55	nan	15.95	18170320.994
15.95	88.91	4	1.18	1.55	kafka-001	2018-08-19T00:05:18.027492222Z	1.81	nan	15.95	2.051
15.95	88.91	7	1.338	1.81	kafka-001	2018-08-19T00:05:25.039282185Z	1.74	nan	15.95	2.346
15.95	88.91	11	1.49	1.74	kafka-001	2018-08-19T00:05:32.051883877Z	1.71	nan	15.95	2.497
15.95	88.91	15	1.224	1.71	kafka-001	2018-08-19T00:05:39.064328214Z	2.4	nan	15.95	2.153
15.95	88.91	18	1.532	2.4	kafka-001	2018-08-19T00:05:46.077222742Z	1.87	1.54	15.95	2.598
15.95	88.91	22	1.78	1.87	kafka-001	2018-08-19T00:05:53.089039348Z	1.78	1.85	15.95	2.671
15.95	88.91	24	2.21	1.78	kafka-001	2018-08-19T00:06:00.100649091Z	1.94	1.88	15.95	3.45
15.95	88.91	28	0.966	1.94	kafka-001	2018-08-19T00:06:07.113063432Z	1.56	1.91	15.95	1.721
15.95	88.91	30	1.36	1.56	kafka-001	2018-08-19T00:06:14.124581673Z	2.22	1.88	15.95	2.251
15.95	88.91	33	1.682	2.22	kafka-001	2018-08-19T00:06:21.136503303Z	1.55	1.96	15.95	2.922
15.95	88.91	36	1.138	1.55	kafka-001	2018-08-19T00:06:28.158277981Z	2.15	1.82	15.95	2.009
15.95	88.91	38	1.338	2.15	kafka-001	2018-08-19T00:06:35.169506437Z	1.64	1.87	15.95	2.346
15.95	88.91	40	1.532	1.64	kafka-001	2018-08-19T00:06:42.18507493Z	1.65	1.84	15.95	2.539
15.95	88.91	43	1.224	1.65	kafka-001	2018-08-19T00:06:49.195725727Z	1.86	1.8	15.95	2.153
15.95	88.91	45	1.424	1.86	kafka-001	2018-08-19T00:06:56.209863749Z	1.82	1.84	15.95	2.49
15.95	88.91	47	1.516	1.82	kafka-001	2018-08-19T00:07:03.220693119Z	2.31	1.78	15.95	2.407
15.95	88.91	49	2.252	2.31	kafka-001	2018-08-19T00:07:10.235334121Z	1.86	1.9	15.95	3.492
15.95	88.91	51	1.382	1.86	kafka-001	2018-08-19T00:07:17.251890491Z	1.66	1.86	15.95	2.195
15.95	88.91	53	1.318	1.66	kafka-001	2018-08-19T00:07:24.263926725Z	1.67	1.86	15.95	2.209
15.95	88.91	55	1.596	1.67	kafka-001	2018-08-19T00:07:31.277156291Z	1.54	1.86	15.95	2.778
15.95	88.91	57	1.138	1.54	kafka-001	2018-08-19T00:07:38.289273756Z	2.6	1.81	15.95	2.009
15.95	88.91	59	1.466	2.6	kafka-001	2018-08-19T00:07:45.301443556Z	1.69	1.94	15.95	2.532
15.95	88.91	60	1.49	1.69	kafka-001	2018-08-19T00:07:52.313180727Z	1.67	1.84	15.95	2.497
15.95	88.91	62	1.138	1.67	kafka-001	2018-08-19T00:07:59.325258734Z	1.36	1.8	15.95	2.009
15.95	88.91	64	1.424	1.36	kafka-001	2018-08-19T00:08:06.335921174Z	1.7	1.75	15.95	2.49
15.95	88.91	66	1.36	1.7	kafka-001	2018-08-19T00:08:13.346894484Z	2.36	1.76	15.95	2.251
15.95	88.91	67	2.012	2.36	kafka-001	2018-08-19T00:08:20.358382157Z	1.85	1.9	15.95	3.252
15.95	88.91	69	1.514	1.85	kafka-001	2018-08-19T00:08:27.375466968Z	1.51	1.77	15.95	2.327
15.95	88.91	71	1.582	1.51	kafka-001	2018-08-19T00:08:34.388164634Z	1.47	1.74	15.95	2.473
15.95	88.91	72	1.638	1.47	kafka-001	2018-08-19T00:08:41.39824332Z	1.77	1.71	15.95	2.82
15.95	88.91	74	1.138	1.77	kafka-001	2018-08-19T00:08:48.409404582Z	2.57	1.78	15.95	2.009
15.95	88.91	75	1.424	2.57	kafka-001	2018-08-19T00:08:55.419923786Z	1.96	1.92	15.95	2.49
15.95	88.91	77	1.49	1.96	kafka-001	2018-08-19T00:09:02.431876937Z	1.46	1.85	15.95	2.497
15.95	88.91	78	1.18	1.46	kafka-001	2018-08-19T00:09:09.442836101Z	1.52	1.79	15.95	2.051
15.95	88.91	80	1.424	1.52	kafka-001	2018-08-19T00:09:16.454143619Z	1.67	1.79	15.95	2.49
15.95	88.91	81	1.561	1.67	kafka-001	2018-08-19T00:09:23.464356769Z	2.54	1.82	15.95	2.529
15.95	88.91	83	1.596	2.54	kafka-001	2018-08-19T00:09:30.475196952Z	1.98	1.95	15.95	2.778
15.95	88.91	84	1.514	1.98	kafka-001	2018-08-19T00:09:37.484258965Z	1.58	1.85	15.95	2.327
15.95	88.91	86	1.822	1.58	kafka-001	2018-08-19T00:09:44.497355243Z	1.47	1.79	15.95	2.713
15.95	88.91	87	1.814	1.47	kafka-001	2018-08-19T00:09:51.505514105Z	1.7	1.79	15.95	3.054
15.95	88.91	88	1.052	1.7	kafka-001	2018-08-19T00:09:58.517589734Z	2.43	1.82	15.95	1.865
15.95	88.91	90	1.424	2.43	kafka-001	2018-08-19T00:10:05.526507977Z	1.76	1.95	15.95	2.49
15.95	88.91	91	1.532	1.76	kafka-001	2018-08-19T00:10:12.538469847Z	1.39	1.82	15.95	2.539
15.95	88.91	92	1.224	1.39	kafka-001	2018-08-19T00:10:19.551068572Z	1.59	1.72	15.95	2.153
15.95	88.91	94	1.338	1.59	kafka-001	2018-08-19T00:10:26.563389066Z	1.65	1.72	15.95	2.346
15.95	88.91	95	1.612	1.65	kafka-001	2018-08-19T00:10:33.576186759Z	2.44	1.75	15.95	2.895
15.95	88.91	96	1.724	2.44	kafka-001	2018-08-19T00:10:40.587228244Z	1.98	1.88	15.95	2.964
15.95	88.91	98	1.184	1.98	kafka-001	2018-08-19T00:10:47.598487099Z	1.71	1.8	15.95	1.997
15.95	88.91	99	1.694	1.71	kafka-001	2018-08-19T00:10:54.610409402Z	1.46	1.79	15.95	2.527
15.95	88.91	100	2.222	1.46	kafka-001	2018-08-19T00:11:01.626995007Z	1.66	1.81	15.95	3.384
15.95	88.91	101	1.138	1.66	kafka-001	2018-08-19T00:11:08.639211243Z	2.57	1.82	15.95	2.009
15.95	88.91	103	1.38	2.57	kafka-001	2018-08-19T00:11:15.648722656Z	1.88	1.97	15.95	2.388
15.95	88.91	104	1.49	1.88	kafka-001	2018-08-19T00:11:22.659766918Z	1.49	1.88	15.95	2.497
15.95	88.91	105	1.224	1.49	kafka-001	2018-08-19T00:11:29.670945828Z	1.61	1.8	15.95	2.153
15.95	88.91	106	2.222	1.61	kafka-001	2018-08-19T00:11:36.683135923Z	1.62	1.78	15.95	3.63
15.95	88.91	107	1.654	1.62	kafka-001	2018-08-19T00:11:43.696156838Z	2.48	1.81	15.95	2.937
15.95	88.91	109	1.89	2.48	kafka-001	2018-08-19T00:11:50.706688722Z	1.95	1.94	15.95	3.464
15.95	88.91	110	1.44	1.95	kafka-001	2018-08-19T00:11:57.719833377Z	1.93	1.84	15.95	2.607
15.95	88.91	111	1.704	1.93	kafka-001	2018-08-19T00:12:04.731445944Z	1.43	1.85	15.95	2.871
15.95	88.91	112	2.186	1.43	kafka-001	2018-08-19T00:12:11.741950301Z	1.65	1.84	15.95	3.426
15.95	88.91	113	1.468	1.65	kafka-001	2018-08-19T00:12:18.753668642Z	2.28	1.84	15.95	2.339
15.95	88.91	115	1.338	2.28	kafka-001	2018-08-19T00:12:25.766438351Z	1.97	1.95	15.95	2.346
15.95	88.91	116	1.49	1.97	kafka-001	2018-08-19T00:12:32.778983398Z	1.56	1.87	15.95	2.497
15.95	88.91	117	1.224	1.56	kafka-001	2018-08-19T00:12:39.789699156Z	1.61	1.8	15.95	2.153
15.95	88.91	118	1.38	1.61	kafka-001	2018-08-19T00:12:46.801225318Z	1.57	1.75	15.95	2.388
15.95	88.91	119	1.404	1.57	kafka-001	2018-08-19T00:12:53.810796053Z	2.47	1.77	15.95	2.353
15.95	88.91	120	1.682	2.47	kafka-001	2018-08-19T00:13:00.823550445Z	1.92	1.91	15.95	2.922
15.95	88.91	121	1.052	1.92	kafka-001	2018-08-19T00:13:07.835372376Z	1.76	1.85	15.95	1.865
15.95	88.91	122	1.274	1.76	kafka-001	2018-08-19T00:13:14.846805171Z	1.5	1.82	15.95	2.107
15.95	88.91	123	2.012	1.5	kafka-001	2018-08-19T00:13:21.861510215Z	1.74	1.81	15.95	3.252
15.95	88.91	125	1.666	1.74	kafka-001	2018-08-19T00:13:28.873719895Z	2.24	1.83	15.95	2.537
15.95	88.91	126	1.622	2.24	kafka-001	2018-08-19T00:13:35.887358265Z	1.96	1.94	15.95	2.688
15.95	88.91	127	1.404	1.96	kafka-001	2018-08-19T00:13:42.900556379Z	1.52	1.85	15.95	2.353
15.95	88.91	128	1.266	1.52	kafka-001	2018-08-19T00:13:49.912857904Z	1.65	1.79	15.95	2.195
15.95	88.91	129	1.424	1.65	kafka-001	2018-08-19T00:13:56.924324749Z	1.68	1.77	15.95	2.49
15.95	88.91	130	1.318	1.68	kafka-001	2018-08-19T00:14:03.935039983Z	2.48	1.8	15.95	2.209
15.95	88.91	131	1.682	2.48	kafka-001	2018-08-19T00:14:10.946269336Z	2.1	1.92	15.95	2.922
15.95	88.91	132	1.094	2.1	kafka-001	2018-08-19T00:14:17.958744193Z	1.82	1.9	15.95	1.907
15.95	88.91	133	1.455	1.82	kafka-001	2018-08-19T00:14:24.97102073Z	1.38	1.88	15.95	2.241
15.95	88.91	134	1.682	1.38	kafka-001	2018-08-19T00:14:31.987461652Z	1.7	1.85	15.95	2.922
15.95	88.91	135	1.666	1.7	kafka-001	2018-08-19T00:14:38.999784079Z	2.38	1.86	15.95	2.537
15.95	88.91	136	1.928	2.38	kafka-001	2018-08-19T00:14:46.013418377Z	1.78	1.98	15.95	2.994
15.95	88.91	137	1.678	1.78	kafka-001	2018-08-19T00:14:53.027546245Z	1.58	1.86	15.95	2.961
15.95	88.91	138	1.804	1.58	kafka-001	2018-08-19T00:15:00.038955107Z	2.26	1.77	15.95	3.32
15.95	88.91	139	1.052	2.26	kafka-001	2018-08-19T00:15:07.050946068Z	1.43	1.85	15.95	1.865
15.95	88.91	140	1.318	1.43	kafka-001	2018-08-19T00:15:14.069711898Z	2.37	1.86	15.95	2.209
15.95	88.91	141	1.724	2.37	kafka-001	2018-08-19T00:15:21.082224021Z	1.67	1.97	15.95	2.964
15.95	88.91	142	1.052	1.67	kafka-001	2018-08-19T00:15:28.093902768Z	2.02	1.85	15.95	1.865
15.95	88.91	143	1.424	2.02	kafka-001	2018-08-19T00:15:35.104742942Z	1.59	1.89	15.95	2.49
15.95	88.91	144	1.532	1.59	kafka-001	2018-08-19T00:15:42.115456953Z	1.72	1.89	15.95	2.539
15.95	88.91	145	1.27	1.72	kafka-001	2018-08-19T00:15:49.127085454Z	2.05	1.8	15.95	2.141
15.95	88.91	146	1.952	2.05	kafka-001	2018-08-19T00:15:56.139490115Z	1.8	1.9	15.95	3.018
15.95	88.91	147	1.842	1.8	kafka-001	2018-08-19T00:16:03.151601682Z	1.89	1.81	15.95	2.791
15.95	88.91	147	1.596	1.89	kafka-001	2018-08-19T00:16:10.165882526Z	2.02	1.85	15.95	2.778
15.95	88.91	148	1.052	2.02	kafka-001	2018-08-19T00:16:17.178518307Z	1.59	1.85	15.95	1.865
15.95	88.91	149	1.318	1.59	kafka-001	2018-08-19T00:16:24.192869387Z	2.05	1.85	15.95	2.209
15.95	88.91	150	1.724	2.05	kafka-001	2018-08-19T00:16:31.207984913Z	1.63	1.9	15.95	2.964
15.95	88.91	151	1.052	1.63	kafka-001	2018-08-19T00:16:38.221127223Z	2.36	1.83	15.95	1.865
15.95	88.91	152	1.502	2.36	kafka-001	2018-08-19T00:16:45.235140504Z	1.69	1.92	15.95	2.49
15.95	88.91	152	1.532	1.69	kafka-001	2018-08-19T00:16:52.2466382Z	1.65	1.89	15.95	2.539
15.95	88.91	152	1.138	1.65	kafka-001	2018-08-19T00:16:59.257439144Z	1.56	1.83	15.95	2.009
15.95	88.91	152	1.688	1.56	kafka-001	2018-08-19T00:17:06.268696295Z	1.8	1.82	15.95	2.754
15.95	88.91	152	1.866	1.8	kafka-001	2018-08-19T00:17:13.280259201Z	2.45	1.78	15.95	2.815
15.95	88.91	152	2.176	2.45	kafka-001	2018-08-19T00:17:20.291806395Z	2.28	1.92	15.95	3.692
15.95	88.91	152	1.44	2.28	kafka-001	2018-08-19T00:17:27.303882626Z	1.57	1.91	15.95	2.607
15.95	88.91	152	1.138	1.57	kafka-001	2018-08-19T00:17:34.315358115Z	1.52	1.89	15.95	2.009
15.95	88.91	152	2.076	1.52	kafka-001	2018-08-19T00:17:41.326920973Z	1.67	1.86	15.95	3.506
15.95	88.91	152	1.232	1.67	kafka-001	2018-08-19T00:17:48.338509752Z	2.74	1.88	15.95	2.065
15.95	88.91	152	1.424	2.74	kafka-001	2018-08-19T00:17:55.349239011Z	1.78	2.04	15.95	2.49
15.95	88.91	152	1.31	1.78	kafka-001	2018-08-19T00:18:02.360923837Z	1.73	1.93	15.95	2.297
15.95	88.91	152	1.568	1.73	kafka-001	2018-08-19T00:18:09.371808232Z	1.44	1.84	15.95	2.793
