host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.14	737033.073	2018-08-18T00:00:01.521908609Z	78.33	4698968.691	0	9.17	2	38.14
nan	cassandra-001	38.14	0.0	2018-08-18T00:00:08.529612856Z	78.35	0.0	9.17	12.21	6	38.14
nan	cassandra-001	38.14	0.0	2018-08-18T00:00:15.536007969Z	78.4	0.0	12.21	28.83	10	38.14
nan	cassandra-001	38.14	0.171	2018-08-18T00:00:22.542374771Z	78.46	0.141	28.83	28.32	14	38.14
nan	cassandra-001	38.14	0.0	2018-08-18T00:00:29.551707297Z	78.54	0.0	28.32	40.82	18	38.14
19.89	cassandra-001	38.12	0.171	2018-08-18T00:00:36.561690723Z	78.64	0.141	40.82	34.14	21	38.12
25.58	cassandra-001	38.12	0.0	2018-08-18T00:00:43.575098436Z	78.75	0.0	34.14	43.69	24	38.12
31.34	cassandra-001	38.13	0.171	2018-08-18T00:00:50.585700107Z	78.89	0.141	43.69	37.85	27	38.13
35.61	cassandra-001	38.13	0.0	2018-08-18T00:00:57.592702355Z	79.04	0.0	37.85	40.67	30	38.13
37.58	cassandra-001	38.13	0.171	2018-08-18T00:01:04.598759185Z	79.2	0.141	40.67	52.29	32	38.13
41.58	cassandra-001	38.13	0.0	2018-08-18T00:01:11.605611116Z	79.38	0.0	52.29	45.33	35	38.13
42.33	cassandra-001	38.13	0.0	2018-08-18T00:01:18.611904698Z	79.57	0.0	45.33	49.17	37	38.13
44.83	cassandra-001	38.13	0.171	2018-08-18T00:01:25.618563186Z	79.77	0.141	49.17	45.07	40	38.13
45.06	cassandra-001	38.13	0.171	2018-08-18T00:01:32.633611957Z	79.98	0.141	45.07	52.23	42	38.13
47.46	cassandra-001	38.13	0.0	2018-08-18T00:01:39.642333008Z	81.1	0.0	52.23	35.65	44	38.13
46.62	cassandra-001	38.13	0.0	2018-08-18T00:01:46.651218276Z	81.32	0.0	35.65	42.23	46	38.13
44.95	cassandra-001	38.13	0.171	2018-08-18T00:01:53.660634044Z	81.58	0.141	42.23	54.92	48	38.13
46.55	cassandra-001	38.13	0.0	2018-08-18T00:02:00.666860602Z	81.83	0.0	54.92	48.29	50	38.13
46.4	cassandra-001	38.13	0.171	2018-08-18T00:02:07.673080834Z	82.09	0.141	48.29	60.27	52	38.13
48.93	cassandra-001	38.13	0.0	2018-08-18T00:02:14.682796683Z	82.36	0.0	60.27	54.16	54	38.13
49.25	cassandra-001	38.12	0.171	2018-08-18T00:02:21.693274388Z	82.64	0.141	54.16	76.68	55	38.12
56.09	cassandra-001	38.13	0.0	2018-08-18T00:02:28.701809439Z	83.22	0.0	76.68	94.84	57	38.13
64.86	cassandra-001	38.12	0.171	2018-08-18T00:02:35.710427307Z	82.52	0.141	94.84	59.65	59	38.12
65.65	cassandra-001	38.12	0.0	2018-08-18T00:02:42.719081773Z	82.83	0.0	59.65	77.18	61	38.12
70.46	cassandra-001	38.12	0.171	2018-08-18T00:02:49.726878284Z	83.15	0.141	77.18	70.92	63	38.12
72.24	cassandra-001	38.12	0.0	2018-08-18T00:02:56.733734359Z	83.47	0.0	70.92	65.25	64	38.12
74.09	cassandra-001	38.0	0.171	2018-08-18T00:03:03.741815687Z	83.69	0.141	65.25	59.87	66	38.0
71.28	cassandra-001	38.01	0.0	2018-08-18T00:03:10.749324667Z	84.01	0.0	59.87	54.85	67	38.01
64.62	cassandra-001	38.01	0.0	2018-08-18T00:03:17.759335229Z	84.06	0.0	54.85	65.88	69	38.01
65.66	cassandra-001	38.01	0.171	2018-08-18T00:03:24.770355946Z	84.41	0.141	65.88	63.16	70	38.01
63.32	cassandra-001	38.0	0.171	2018-08-18T00:03:31.776976715Z	84.76	0.141	63.16	63.72	72	38.0
62.12	cassandra-001	38.0	0.0	2018-08-18T00:03:38.78629027Z	85.14	0.0	63.72	69.65	73	38.0
62.86	cassandra-001	38.0	0.0	2018-08-18T00:03:45.795496671Z	85.52	0.0	69.65	71.21	75	38.0
