host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18679207.565	2018-08-18T01:18:45.500172064Z	89.1	18154842.926	0	1.77	0	15.93
nan	kafka-001	15.93	1.44	2018-08-18T01:18:52.514210473Z	89.1	2.607	1.77	1.54	0	15.93
nan	kafka-001	15.93	1.44	2018-08-18T01:18:59.534463374Z	89.1	2.607	1.54	1.44	0	15.93
nan	kafka-001	15.93	1.89	2018-08-18T01:19:06.548589366Z	89.1	3.464	1.44	1.59	0	15.93
nan	kafka-001	15.93	1.318	2018-08-18T01:19:13.561190624Z	89.1	2.209	1.59	2.32	0	15.93
1.44	kafka-001	15.93	2.272	2018-08-18T01:19:20.571587457Z	89.1	3.882	2.32	2.2	0	15.93
1.81	kafka-001	15.93	2.074	2018-08-18T01:19:27.583791883Z	89.1	3.357	2.2	1.62	0	15.93
1.78	kafka-001	15.93	1.686	2018-08-18T01:19:34.599930858Z	89.1	2.615	1.62	1.54	0	15.93
1.78	kafka-001	15.93	1.49	2018-08-18T01:19:41.612207946Z	89.1	2.556	1.54	1.53	0	15.93
1.8	kafka-001	15.93	1.318	2018-08-18T01:19:48.623473463Z	89.1	2.209	1.53	2.5	0	15.93
1.95	kafka-001	15.93	1.682	2018-08-18T01:19:55.634749147Z	89.1	2.922	2.5	2.05	0	15.93
1.91	kafka-001	15.93	1.094	2018-08-18T01:20:02.646516307Z	89.1	1.907	2.05	1.37	0	15.93
