host_cpu	timestamp	memory%	host_moving_avg_cpu	net_receive	memory_active_anon%	memory_rss%	name	container_cpu%	sensor_count	net_send
0	2018-08-18T05:02:23.451011934Z	69.67	nan	23.323	37.59	37.62	cassandra-001	3.05	1	196.628
3.05	2018-08-18T05:02:30.458053017Z	69.67	nan	0.0	37.62	37.62	cassandra-001	1.57	4	0.0
1.57	2018-08-18T05:02:37.464497232Z	69.81	nan	0.282	37.74	37.76	cassandra-001	1.6	7	0.342
1.6	2018-08-18T05:02:44.472482673Z	69.81	nan	0.0	37.73	37.73	cassandra-001	24.77	11	0.0
24.77	2018-08-18T05:02:51.482165779Z	69.94	nan	0.0	37.79	37.79	cassandra-001	48.03	15	0.0
48.03	2018-08-18T05:02:58.488342869Z	70.14	13.17	0.0	37.9	37.9	cassandra-001	45.54	18	0.0
45.54	2018-08-18T05:03:05.495525251Z	70.02	20.76	0.282	37.66	37.66	cassandra-001	33.0	21	0.342
33.0	2018-08-18T05:03:12.505188326Z	70.12	25.75	0.0	37.65	37.65	cassandra-001	39.26	25	0.0
39.26	2018-08-18T05:03:19.511990913Z	70.28	32.03	0.0	37.67	37.67	cassandra-001	32.96	27	0.0
32.96	2018-08-18T05:03:26.51864276Z	70.52	37.26	0.0	37.76	37.76	cassandra-001	42.12	30	0.0
42.12	2018-08-18T05:03:33.526260428Z	70.74	40.15	0.282	37.82	37.82	cassandra-001	44.87	33	0.342
44.87	2018-08-18T05:03:40.533337132Z	70.92	39.62	0.0	37.82	37.82	cassandra-001	54.95	35	0.0
54.95	2018-08-18T05:03:47.540531645Z	71.08	41.19	0.0	37.79	37.79	cassandra-001	42.25	38	0.0
42.25	2018-08-18T05:03:54.548010517Z	71.29	42.73	0.0	37.79	37.79	cassandra-001	41.02	40	0.0
41.02	2018-08-18T05:04:01.554660395Z	72.04	43.03	0.0	37.82	37.82	cassandra-001	53.76	43	0.0
53.76	2018-08-18T05:04:08.564090939Z	72.24	46.5	0.282	37.8	37.8	cassandra-001	51.89	45	0.342
51.89	2018-08-18T05:04:15.572452863Z	72.56	48.12	0.0	37.87	37.87	cassandra-001	48.8	47	0.0
