host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.44	1.03	cassandra-001	nan	38.44	2018-08-18T03:30:24.246163947Z	737476.434	72.37	1	4699102.718
1.03	38.44	1.25	cassandra-001	nan	38.44	2018-08-18T03:30:31.253287351Z	0.0	72.36	4	0.0
1.25	38.44	34.72	cassandra-001	nan	38.44	2018-08-18T03:30:38.259988955Z	0.0	72.38	7	0.0
34.72	38.44	14.04	cassandra-001	nan	38.44	2018-08-18T03:30:45.266587477Z	0.0	72.42	11	0.0
14.04	38.44	23.8	cassandra-001	nan	38.44	2018-08-18T03:30:52.273709975Z	0.342	72.49	15	0.282
23.8	38.44	28.22	cassandra-001	12.47	38.44	2018-08-18T03:30:59.284056759Z	0.0	72.58	19	0.0
28.22	38.44	30.38	cassandra-001	17.18	38.44	2018-08-18T03:31:06.291226101Z	0.0	72.68	22	0.0
30.38	38.44	31.73	cassandra-001	22.07	38.44	2018-08-18T03:31:13.298168475Z	0.0	72.8	25	0.0
31.73	38.44	42.1	cassandra-001	27.15	38.44	2018-08-18T03:31:20.305366116Z	0.342	72.94	28	0.282
42.1	38.44	35.21	cassandra-001	28.38	38.44	2018-08-18T03:31:27.313546176Z	0.0	73.1	30	0.0
35.21	38.44	36.9	cassandra-001	31.91	38.44	2018-08-18T03:31:34.319663214Z	0.0	73.25	33	0.0
36.9	38.44	48.45	cassandra-001	34.09	38.44	2018-08-18T03:31:41.337442218Z	0.0	73.43	35	0.0
48.45	38.44	48.86	cassandra-001	37.46	38.44	2018-08-18T03:31:48.344483899Z	0.342	73.63	37	0.282
48.86	38.44	36.05	cassandra-001	40.54	38.44	2018-08-18T03:31:55.352651326Z	0.0	73.83	40	0.0
36.05	38.44	51.22	cassandra-001	41.26	38.44	2018-08-18T03:32:02.361616514Z	0.0	74.04	42	0.0
51.22	38.44	80.39	cassandra-001	42.78	38.44	2018-08-18T03:32:09.367963362Z	0.0	76.12	44	0.0
80.39	38.44	86.56	cassandra-001	50.31	38.44	2018-08-18T03:32:16.375789903Z	0.0	77.76	46	0.0
86.56	38.44	88.97	cassandra-001	58.59	38.44	2018-08-18T03:32:23.386648589Z	0.342	79.42	49	0.282
88.97	38.44	83.18	cassandra-001	65.34	38.44	2018-08-18T03:32:30.394904271Z	0.0	81.08	51	0.0
83.18	38.43	74.89	cassandra-001	71.06	38.43	2018-08-18T03:32:37.405353076Z	0.0	76.16	53	0.0
74.89	38.43	61.96	cassandra-001	77.54	38.43	2018-08-18T03:32:44.414243834Z	0.0	76.44	55	0.0
61.96	38.43	52.99	cassandra-001	79.32	38.43	2018-08-18T03:32:51.421800667Z	0.342	76.73	56	0.282
52.99	38.43	79.11	cassandra-001	74.76	38.43	2018-08-18T03:32:58.428508273Z	0.0	78.32	58	0.0
79.11	38.43	60.99	cassandra-001	73.52	38.43	2018-08-18T03:33:05.43772964Z	0.0	77.43	60	0.0
60.99	38.43	75.99	cassandra-001	68.85	38.43	2018-08-18T03:33:12.446068399Z	0.0	77.74	62	0.0
75.99	38.43	58.08	cassandra-001	67.66	38.43	2018-08-18T03:33:19.45402216Z	0.342	78.06	64	0.282
58.08	38.43	64.92	cassandra-001	64.85	38.43	2018-08-18T03:33:26.460397854Z	0.0	78.4	65	0.0
64.92	38.43	66.49	cassandra-001	65.35	38.43	2018-08-18T03:33:33.468614406Z	0.0	78.73	67	0.0
66.49	38.44	157.16	cassandra-001	67.6	38.44	2018-08-18T03:33:40.475161398Z	0.0	80.28	69	0.0
157.16	38.44	70.98	cassandra-001	80.6	38.44	2018-08-18T03:33:47.481675285Z	0.342	79.53	71	0.282
70.98	38.43	80.38	cassandra-001	82.27	38.43	2018-08-18T03:33:54.489440768Z	0.0	79.89	72	0.0
80.38	38.43	77.05	cassandra-001	83.0	38.43	2018-08-18T03:34:01.497703226Z	0.0	80.27	74	0.0
77.05	38.43	65.36	cassandra-001	86.16	38.43	2018-08-18T03:34:08.505289154Z	0.0	80.64	75	0.0
65.36	38.43	61.45	cassandra-001	86.24	38.43	2018-08-18T03:34:15.512729707Z	0.0	81.04	77	0.0
61.45	38.44	77.49	cassandra-001	85.4	38.44	2018-08-18T03:34:22.519010691Z	0.342	81.51	78	0.282
77.49	38.44	75.64	cassandra-001	72.12	38.44	2018-08-18T03:34:29.526404277Z	0.0	81.91	79	0.0
75.64	38.44	78.4	cassandra-001	72.9	38.44	2018-08-18T03:34:36.536914033Z	0.0	82.32	81	0.0
78.4	38.44	83.91	cassandra-001	72.56	38.44	2018-08-18T03:34:43.544589313Z	0.0	82.73	82	0.0
83.91	38.44	97.18	cassandra-001	73.71	38.44	2018-08-18T03:34:50.554712072Z	0.342	83.16	84	0.282
97.18	38.44	98.51	cassandra-001	79.01	38.44	2018-08-18T03:34:57.564609983Z	0.0	84.52	85	0.0
98.51	38.44	114.08	cassandra-001	85.19	38.44	2018-08-18T03:35:04.571296604Z	0.0	86.37	86	0.0
114.08	38.44	113.03	cassandra-001	91.29	38.44	2018-08-18T03:35:11.578073811Z	0.0	88.22	88	0.0
113.03	38.45	109.45	cassandra-001	97.52	38.45	2018-08-18T03:35:18.58503611Z	0.342	90.1	89	0.282
109.45	38.44	176.01	cassandra-001	102.69	38.44	2018-08-18T03:35:25.591529937Z	0.0	86.75	90	0.0
176.01	38.44	84.91	cassandra-001	118.04	38.44	2018-08-18T03:35:32.599823238Z	0.0	85.99	92	0.0
84.91	38.43	93.6	cassandra-001	116.0	38.43	2018-08-18T03:35:39.608459215Z	0.0	86.46	93	0.0
93.6	38.43	86.01	cassandra-001	115.18	38.43	2018-08-18T03:35:46.61575391Z	0.0	86.93	94	0.0
86.01	38.43	169.1	cassandra-001	110.5	38.43	2018-08-18T03:35:53.622085847Z	0.342	88.64	96	0.282
169.1	38.43	73.7	cassandra-001	119.85	38.43	2018-08-18T03:36:00.629317626Z	0.0	87.99	97	0.0
73.7	38.43	111.39	cassandra-001	113.89	38.43	2018-08-18T03:36:07.635397492Z	0.0	88.45	98	0.0
111.39	38.43	83.62	cassandra-001	103.12	38.43	2018-08-18T03:36:14.641835874Z	0.0	88.94	99	0.0
83.62	38.43	130.15	cassandra-001	102.9	38.43	2018-08-18T03:36:21.648975132Z	0.342	90.1	100	0.282
130.15	38.43	87.08	cassandra-001	109.0	38.43	2018-08-18T03:36:28.655740588Z	0.0	90.05	101	0.0
87.08	38.43	76.24	cassandra-001	109.17	38.43	2018-08-18T03:36:35.662059935Z	0.0	90.56	102	0.0
76.24	38.43	73.83	cassandra-001	93.7	38.43	2018-08-18T03:36:42.670618787Z	0.0	91.09	104	0.0
73.83	38.43	140.04	cassandra-001	93.72	38.43	2018-08-18T03:36:49.678783917Z	0.342	92.22	105	0.282
140.04	38.43	116.65	cassandra-001	98.49	38.43	2018-08-18T03:36:56.685032124Z	0.0	92.05	106	0.0
116.65	38.43	130.8	cassandra-001	104.0	38.43	2018-08-18T03:37:03.691695779Z	0.0	92.26	107	0.0
130.8	38.43	133.58	cassandra-001	104.11	38.43	2018-08-18T03:37:10.697798072Z	0.0	92.13	108	0.0
133.58	38.43	101.27	cassandra-001	111.86	38.43	2018-08-18T03:37:17.706319734Z	0.342	90.65	109	0.282
101.27	38.43	84.3	cassandra-001	116.03	38.43	2018-08-18T03:37:24.713511759Z	0.0	86.06	110	0.0
84.3	38.43	79.92	cassandra-001	117.77	38.43	2018-08-18T03:37:31.720922716Z	0.0	86.62	111	0.0
79.92	38.43	87.07	cassandra-001	107.75	38.43	2018-08-18T03:37:38.729539558Z	0.0	87.19	113	0.0
87.07	38.43	99.08	cassandra-001	102.82	38.43	2018-08-18T03:37:45.73613388Z	0.0	88.27	114	0.0
99.08	38.43	92.98	cassandra-001	97.54	38.43	2018-08-18T03:37:52.742615959Z	0.342	88.85	115	0.282
