host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	15.95	1.48	kafka-001	nan	15.95	2018-08-18T03:54:12.592782782Z	18680950.934	89.13	0	18157725.406
1.48	15.95	1.69	kafka-001	nan	15.95	2018-08-18T03:54:19.605757585Z	1.526	89.13	0	2.751
1.69	15.95	1.65	kafka-001	nan	15.95	2018-08-18T03:54:26.617726135Z	1.546	89.13	0	2.888
1.65	15.95	2.64	kafka-001	nan	15.95	2018-08-18T03:54:33.62951038Z	1.49	89.13	0	2.497
2.64	15.95	1.84	kafka-001	nan	15.95	2018-08-18T03:54:40.641149476Z	1.596	89.13	0	2.778
1.84	15.95	1.53	kafka-001	1.55	15.95	2018-08-18T03:54:47.654214498Z	1.074	89.13	0	1.829
1.53	15.95	1.36	kafka-001	1.8	15.95	2018-08-18T03:54:54.667314997Z	1.932	89.13	0	2.881
1.36	15.95	1.69	kafka-001	1.78	15.95	2018-08-18T03:55:01.683772105Z	2.144	89.13	0	3.384
1.69	15.95	2.25	kafka-001	1.78	15.95	2018-08-18T03:55:08.696253113Z	0.966	89.13	0	1.721
2.25	15.95	2.01	kafka-001	1.88	15.95	2018-08-18T03:55:15.708501064Z	1.51	89.13	0	2.634
2.01	15.95	1.4	kafka-001	1.78	15.95	2018-08-18T03:55:22.719627577Z	1.49	89.13	0	2.497
1.4	15.95	1.61	kafka-001	1.71	15.95	2018-08-18T03:55:29.731662555Z	1.18	89.13	0	2.051
