name	memory%	timestamp	host_moving_avg_cpu	sensor_count	net_send	host_cpu	net_receive	memory_rss%	memory_active_anon%	container_cpu%
kafka-001	89.14	2018-08-18T04:38:32.285286463Z	nan	2	18681462.309	0	18158554.686	15.95	15.95	1.78
kafka-001	89.14	2018-08-18T04:38:39.296373789Z	nan	7	1.396	1.78	2.505	15.95	15.95	1.56
kafka-001	89.14	2018-08-18T04:38:46.30744547Z	nan	11	2.106	1.56	3.918	15.95	15.95	1.77
kafka-001	89.14	2018-08-18T04:38:53.319647599Z	nan	15	1.31	1.77	2.297	15.95	15.95	2.47
kafka-001	89.14	2018-08-18T04:39:00.331617686Z	nan	18	1.674	2.47	3.074	15.95	15.95	1.81
kafka-001	89.14	2018-08-18T04:39:07.342821472Z	1.57	21	1.44	1.81	2.607	15.95	15.95	1.53
kafka-001	89.13	2018-08-18T04:39:14.352174309Z	1.82	25	2.226	1.53	3.567	15.95	15.95	1.48
kafka-001	89.13	2018-08-18T04:39:21.363614075Z	1.77	27	2.568	1.48	4.38	15.95	15.95	1.62
kafka-001	89.13	2018-08-18T04:39:28.374968792Z	1.78	30	1.548	1.62	2.715	15.95	15.95	2.63
kafka-001	89.13	2018-08-18T04:39:35.388511631Z	1.92	33	1.718	2.63	3.176	15.95	15.95	1.89
kafka-001	89.13	2018-08-18T04:39:42.400975868Z	1.83	36	1.784	1.89	3.183	15.95	15.95	1.49
kafka-001	89.13	2018-08-18T04:39:49.411744391Z	1.77	38	1.008	1.49	1.763	15.95	15.95	1.35
kafka-001	89.13	2018-08-18T04:39:56.425064912Z	1.74	40	2.316	1.35	3.918	15.95	15.95	1.59
kafka-001	89.13	2018-08-18T04:40:03.436034975Z	1.76	42	1.698	1.59	3.039	15.95	15.95	1.83
kafka-001	89.13	2018-08-18T04:40:10.445223503Z	1.8	44	1.632	1.83	3.032	15.95	15.95	2.01
kafka-001	89.13	2018-08-18T04:40:17.456987077Z	1.69	46	1.482	2.01	2.649	15.95	15.95	1.47
kafka-001	89.13	2018-08-18T04:40:24.465954399Z	1.62	48	1.83	1.47	3.171	15.95	15.95	1.49
kafka-001	89.13	2018-08-18T04:40:31.477376805Z	1.62	50	2.18	1.49	3.638	15.95	15.95	1.58
kafka-001	89.13	2018-08-18T04:40:38.488572845Z	1.66	52	1.944	1.58	3.111	15.95	15.95	2.5
kafka-001	89.13	2018-08-18T04:40:45.501980144Z	1.81	54	1.804	2.5	3.32	15.95	15.95	1.79
kafka-001	89.13	2018-08-18T04:40:52.513670799Z	1.81	56	1.698	1.79	3.039	15.95	15.95	1.65
kafka-001	89.13	2018-08-18T04:40:59.525300107Z	1.75	58	1.288	1.65	2.463	15.95	15.95	1.49
kafka-001	89.13	2018-08-18T04:41:06.533934259Z	1.75	59	1.76	1.49	3.218	15.95	15.95	1.74
kafka-001	89.13	2018-08-18T04:41:13.543304622Z	1.79	61	1.698	1.74	3.039	15.95	15.95	2.43
kafka-001	89.14	2018-08-18T04:41:20.556855176Z	1.93	63	2.02	2.43	3.774	15.95	15.95	2.36
kafka-001	89.14	2018-08-18T04:41:27.567922381Z	1.91	64	1.639	2.36	2.825	15.95	15.95	1.44
kafka-001	89.13	2018-08-18T04:41:34.577335458Z	1.85	66	1.698	1.44	3.039	15.95	15.95	1.57
kafka-001	89.13	2018-08-18T04:41:41.591144952Z	1.84	68	1.982	1.57	3.44	15.95	15.95	1.61
kafka-001	89.13	2018-08-18T04:41:48.60142623Z	1.86	69	1.58	1.61	2.393	15.95	15.95	2.54
kafka-001	89.13	2018-08-18T04:41:55.613218385Z	1.99	71	2.498	2.54	4.368	15.95	15.95	2.12
kafka-001	89.13	2018-08-18T04:42:02.62341943Z	1.94	72	1.698	2.12	3.039	15.95	15.95	1.63
kafka-001	89.13	2018-08-18T04:42:09.63396771Z	1.82	74	1.44	1.63	2.607	15.95	15.95	1.46
kafka-001	89.13	2018-08-18T04:42:16.643948642Z	1.82	75	1.632	1.46	3.032	15.95	15.95	1.67
kafka-001	89.13	2018-08-18T04:42:23.655888241Z	1.84	76	1.31	1.67	2.297	15.95	15.95	2.34
kafka-001	89.13	2018-08-18T04:42:30.670332278Z	1.96	78	1.718	2.34	3.176	15.95	15.95	2.05
kafka-001	89.14	2018-08-18T04:42:37.681718072Z	1.88	79	1.146	2.05	1.921	15.95	15.95	1.53
kafka-001	89.14	2018-08-18T04:42:44.693842908Z	1.78	80	1.74	1.53	3.081	15.95	15.95	1.63
kafka-001	89.14	2018-08-18T04:42:51.705472983Z	1.78	82	1.718	1.63	3.176	15.95	15.95	1.51
kafka-001	89.14	2018-08-18T04:42:58.716861641Z	1.79	83	1.448	1.51	2.261	15.95	15.95	2.61
kafka-001	89.14	2018-08-18T04:43:05.733477141Z	1.94	85	2.542	2.61	3.848	15.95	15.95	1.87
kafka-001	89.14	2018-08-18T04:43:12.745007322Z	1.87	86	1.83	1.87	3.171	15.95	15.95	1.7
kafka-001	89.14	2018-08-18T04:43:19.758249918Z	1.81	87	1.44	1.7	2.607	15.95	15.95	1.4
kafka-001	89.14	2018-08-18T04:43:26.770275742Z	1.79	89	1.674	1.4	3.074	15.95	15.95	1.7
kafka-001	89.14	2018-08-18T04:43:33.781235139Z	1.8	90	1.698	1.7	3.039	15.95	15.95	2.1
kafka-001	89.14	2018-08-18T04:43:40.795826402Z	1.9	91	1.718	2.1	3.176	15.95	15.95	1.96
