container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
3.23	8323.933	2	38.46	66780.525	0	nan	cassandra-001	38.46	2018-08-19T02:43:20.789329618Z	91.35
1.24	0.79	6	38.46	5.036	3.23	nan	cassandra-001	38.43	2018-08-19T02:43:27.798251846Z	91.29
1.64	1.33	10	38.46	9.047	1.24	nan	cassandra-001	38.46	2018-08-19T02:43:34.804656266Z	91.3
1.43	4.451	15	38.46	29.534	1.64	nan	cassandra-001	38.46	2018-08-19T02:43:41.813137673Z	91.3
1.14	2.95	18	38.46	20.75	1.43	nan	cassandra-001	38.46	2018-08-19T02:43:48.820182112Z	91.29
8.44	6.61	22	38.46	50.807	1.14	1.45	cassandra-001	38.46	2018-08-19T02:43:55.827365025Z	91.3
1.12	3.0	25	38.46	29.742	8.44	2.85	cassandra-001	38.46	2018-08-19T02:44:02.834082654Z	91.3
1.17	3.223	28	38.46	32.0	1.12	2.5	cassandra-001	38.46	2018-08-19T02:44:09.840007132Z	91.29
1.16	7.236	31	38.46	73.254	1.17	2.49	cassandra-001	38.46	2018-08-19T02:44:16.847004165Z	91.3
1.09	4.818	34	38.46	40.874	1.16	2.41	cassandra-001	38.46	2018-08-19T02:44:23.854225547Z	91.3
6.17	8.67	37	38.46	87.44	1.09	2.35	cassandra-001	38.46	2018-08-19T02:44:30.861722385Z	91.3
1.27	4.38	39	38.46	47.886	6.17	3.19	cassandra-001	38.46	2018-08-19T02:44:37.87062765Z	91.3
1.25	4.577	41	38.46	49.714	1.27	2.0	cassandra-001	38.46	2018-08-19T02:44:44.87824625Z	91.3
1.3	9.8	43	38.46	101.99	1.25	2.02	cassandra-001	38.46	2018-08-19T02:44:51.885571372Z	91.3
1.2	6.12	46	38.46	55.045	1.3	2.04	cassandra-001	38.46	2018-08-19T02:44:58.892105128Z	91.3
6.97	12.476	48	38.46	116.952	1.2	2.05	cassandra-001	38.46	2018-08-19T02:45:05.899103689Z	91.3
1.27	4.877	50	38.46	60.544	6.97	3.03	cassandra-001	38.46	2018-08-19T02:45:12.909199987Z	91.3
1.19	5.088	52	38.46	62.493	1.27	2.21	cassandra-001	38.46	2018-08-19T02:45:19.915077892Z	91.3
1.23	13.58	54	38.46	132.275	1.19	2.2	cassandra-001	38.46	2018-08-19T02:45:26.926051962Z	91.3
1.33	6.538	56	38.46	69.113	1.23	2.19	cassandra-001	38.46	2018-08-19T02:45:33.932684887Z	91.3
7.81	16.559	58	38.46	139.879	1.33	2.2	cassandra-001	38.46	2018-08-19T02:45:40.940463526Z	91.3
1.23	8.16	60	38.46	73.282	7.81	3.3	cassandra-001	38.46	2018-08-19T02:45:47.947724905Z	91.3
1.27	8.912	62	38.46	75.799	1.23	2.34	cassandra-001	38.46	2018-08-19T02:45:54.953997319Z	91.3
1.3	18.892	63	38.46	157.836	1.27	2.34	cassandra-001	38.46	2018-08-19T02:46:01.960198815Z	91.3
2.76	9.583	65	38.46	81.521	1.3	2.36	cassandra-001	38.46	2018-08-19T02:46:08.968221914Z	91.24
8.3	17.054	67	38.46	162.934	2.76	2.62	cassandra-001	38.46	2018-08-19T02:46:15.974743774Z	91.24
1.28	6.348	69	38.46	80.99	8.3	3.78	cassandra-001	38.46	2018-08-19T02:46:22.982495893Z	91.24
1.27	8.156	70	38.46	86.802	1.28	2.69	cassandra-001	38.46	2018-08-19T02:46:29.989369534Z	91.24
1.27	22.396	72	38.46	179.081	1.27	2.7	cassandra-001	38.46	2018-08-19T02:46:36.995971166Z	91.24
1.17	11.837	74	38.46	92.213	1.27	2.7	cassandra-001	38.46	2018-08-19T02:46:44.00295268Z	91.24
9.49	21.984	75	38.46	184.622	1.17	2.68	cassandra-001	38.46	2018-08-19T02:46:51.015622206Z	91.25
1.14	9.196	77	38.46	92.697	9.49	3.8	cassandra-001	38.46	2018-08-19T02:46:58.023027791Z	91.25
1.33	10.806	79	38.46	96.401	1.14	2.6	cassandra-001	38.46	2018-08-19T02:47:05.030913195Z	91.25
1.23	22.323	80	38.46	197.368	1.33	2.61	cassandra-001	38.46	2018-08-19T02:47:12.037608887Z	91.25
13.55	11.742	82	38.46	102.495	1.23	2.61	cassandra-001	38.46	2018-08-19T02:47:19.045140069Z	91.26
9.57	24.552	83	38.46	207.5	13.55	4.65	cassandra-001	38.46	2018-08-19T02:47:26.052848733Z	91.26
1.24	7.992	84	38.46	103.512	9.57	6.05	cassandra-001	38.46	2018-08-19T02:47:33.060569451Z	91.25
2.42	9.309	86	38.46	114.252	1.24	4.68	cassandra-001	38.46	2018-08-19T02:47:40.067973946Z	91.26
1.3	15.39	87	38.46	198.602	2.42	4.89	cassandra-001	38.46	2018-08-19T02:47:47.079330952Z	91.26
1.21	8.914	89	38.46	104.069	1.3	4.89	cassandra-001	38.46	2018-08-19T02:47:54.086299898Z	91.25
