container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.67	18840784.118	0	15.96	18331252.602	0	nan	kafka-001	15.96	2018-08-19T02:38:02.459013395Z	89.02
1.64	1.146	0	15.96	1.921	1.67	nan	kafka-001	15.96	2018-08-19T02:38:09.470938566Z	89.02
1.6	1.552	0	15.96	2.676	1.64	nan	kafka-001	15.96	2018-08-19T02:38:16.483217308Z	89.02
2.53	1.31	0	15.96	2.297	1.6	nan	kafka-001	15.96	2018-08-19T02:38:23.494213634Z	89.02
1.96	1.51	0	15.96	2.634	2.53	nan	kafka-001	15.96	2018-08-19T02:38:30.508430796Z	89.02
1.45	1.146	0	15.96	1.921	1.96	1.57	kafka-001	15.96	2018-08-19T02:38:37.522217627Z	89.02
1.5	1.838	0	15.96	2.825	1.45	1.81	kafka-001	15.96	2018-08-19T02:38:44.53566749Z	89.02
1.76	2.1	0	15.96	3.282	1.5	1.78	kafka-001	15.96	2018-08-19T02:38:51.549944116Z	89.02
2.47	1.212	0	15.96	1.987	1.76	1.8	kafka-001	15.96	2018-08-19T02:38:58.561179924Z	89.02
2.69	1.596	0	15.96	2.778	2.47	1.94	kafka-001	15.96	2018-08-19T02:39:05.573146533Z	89.02
1.56	1.31	0	15.96	2.297	2.69	1.97	kafka-001	15.96	2018-08-19T02:39:12.58448765Z	89.02
1.62	1.146	0	15.96	1.921	1.56	1.9	kafka-001	15.96	2018-08-19T02:39:19.596414287Z	89.02
