sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
2	37.52	317293.677	39179.319	1.3	2018-08-19T10:04:21.759345816Z	0	nan	37.5	cassandra-001	90.66
7	37.52	4.285	0.328	1.38	2018-08-19T10:04:28.769113758Z	1.3	nan	37.52	cassandra-001	90.66
11	37.52	23.362	61.823	9.34	2018-08-19T10:04:35.77681616Z	1.38	nan	37.52	cassandra-001	90.66
15	37.52	15.164	1.552	1.17	2018-08-19T10:04:42.783436467Z	9.34	nan	37.52	cassandra-001	90.66
18	37.52	18.709	1.934	1.21	2018-08-19T10:04:49.792349731Z	1.17	nan	37.52	cassandra-001	90.66
21	37.52	50.401	65.907	1.34	2018-08-19T10:04:56.800221192Z	1.21	2.4	37.52	cassandra-001	90.67
25	37.52	28.121	2.974	1.19	2018-08-19T10:05:03.809017392Z	1.34	2.62	37.52	cassandra-001	90.67
28	37.53	64.073	7.582	18.36	2018-08-19T10:05:10.81551698Z	1.19	2.6	37.53	cassandra-001	90.67
30	37.53	35.736	3.882	1.24	2018-08-19T10:05:17.822442404Z	18.36	5.43	37.53	cassandra-001	90.67
33	37.54	38.65	3.907	1.17	2018-08-19T10:05:24.830129443Z	1.24	4.08	37.51	cassandra-001	90.68
36	37.56	84.345	8.17	1.14	2018-08-19T10:05:31.836795882Z	1.17	4.08	37.53	cassandra-001	90.7
38	37.56	45.785	5.186	1.17	2018-08-19T10:05:38.845921363Z	1.14	4.07	37.56	cassandra-001	90.7
40	37.56	98.708	11.122	9.81	2018-08-19T10:05:45.85323071Z	1.17	4.04	37.56	cassandra-001	90.7
43	37.56	53.244	6.279	1.36	2018-08-19T10:05:52.860431353Z	9.81	5.48	37.56	cassandra-001	90.7
45	37.56	56.303	6.622	1.41	2018-08-19T10:05:59.866697166Z	1.36	2.65	37.56	cassandra-001	90.7
47	37.56	115.898	13.77	1.34	2018-08-19T10:06:06.873905673Z	1.41	2.68	37.56	cassandra-001	90.7
49	37.57	58.827	6.488	1.19	2018-08-19T10:06:13.880403843Z	1.34	2.7	37.55	cassandra-001	90.72
51	37.57	129.089	15.495	10.11	2018-08-19T10:06:20.888225342Z	1.19	2.71	37.57	cassandra-001	90.72
53	37.63	66.842	7.582	1.26	2018-08-19T10:06:27.899788095Z	10.11	4.2	37.63	cassandra-001	90.78
55	37.64	68.436	7.674	1.14	2018-08-19T10:06:34.906246597Z	1.26	2.78	37.61	cassandra-001	90.79
57	37.64	141.392	15.346	1.14	2018-08-19T10:06:41.9146191Z	1.14	2.74	37.64	cassandra-001	90.79
59	37.64	70.22	8.332	1.18	2018-08-19T10:06:48.921106564Z	1.14	2.7	37.64	cassandra-001	90.79
61	37.64	149.902	16.807	9.5	2018-08-19T10:06:55.927819313Z	1.18	2.67	37.64	cassandra-001	90.79
63	37.64	77.93	8.964	1.28	2018-08-19T10:07:02.934706649Z	9.5	4.06	37.64	cassandra-001	90.79
65	37.64	77.171	8.198	1.27	2018-08-19T10:07:09.956636637Z	1.28	2.58	37.64	cassandra-001	90.79
67	37.74	162.5	16.394	1.27	2018-08-19T10:07:16.96479854Z	1.27	2.59	37.74	cassandra-001	90.89
69	37.74	85.142	8.209	1.2	2018-08-19T10:07:23.971527536Z	1.27	2.61	37.72	cassandra-001	90.89
70	37.74	173.632	18.266	9.22	2018-08-19T10:07:30.980093474Z	1.2	2.62	37.74	cassandra-001	90.89
72	37.74	88.484	8.67	2.79	2018-08-19T10:07:37.986958202Z	9.22	3.96	37.74	cassandra-001	90.89
74	37.74	90.079	10.016	1.13	2018-08-19T10:07:44.99352364Z	2.79	2.84	37.74	cassandra-001	90.89
75	37.74	181.841	19.489	1.18	2018-08-19T10:07:52.001920841Z	1.13	2.81	37.74	cassandra-001	90.89
77	37.74	96.337	10.094	1.32	2018-08-19T10:07:59.0096862Z	1.18	2.8	37.74	cassandra-001	90.89
78	37.79	192.827	19.566	15.07	2018-08-19T10:08:06.019447584Z	1.32	2.81	37.79	cassandra-001	90.94
80	37.79	97.016	9.34	1.17	2018-08-19T10:08:13.026454195Z	15.07	5.12	37.79	cassandra-001	90.94
82	37.79	100.012	9.762	1.16	2018-08-19T10:08:20.034168194Z	1.17	3.78	37.79	cassandra-001	90.94
83	37.79	203.095	17.463	1.18	2018-08-19T10:08:27.040976071Z	1.16	3.51	37.79	cassandra-001	90.94
85	37.79	105.671	11.622	2.01	2018-08-19T10:08:34.048601351Z	1.18	3.51	37.77	cassandra-001	90.95
86	37.79	211.772	21.738	11.01	2018-08-19T10:08:41.058818986Z	2.01	3.65	37.79	cassandra-001	90.95
87	37.79	107.739	8.07	1.25	2018-08-19T10:08:48.066587023Z	11.01	5.27	37.79	cassandra-001	90.95
89	37.79	158.014	16.569	4.96	2018-08-19T10:08:55.072316888Z	1.25	2.96	37.79	cassandra-001	90.95
90	37.79	171.426	18.594	1.24	2018-08-19T10:09:02.081248687Z	4.96	3.6	37.79	cassandra-001	90.95
