sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
2	15.97	19521508.844	19980030.277	2.85	2018-08-19T09:08:11.189197904Z	0	nan	15.97	kafka-001	89.33
7	15.97	25.533	15.595	3.79	2018-08-19T09:08:18.201259057Z	2.85	nan	15.97	kafka-001	89.34
11	15.97	47.094	47.566	4.59	2018-08-19T09:08:25.213542417Z	3.79	nan	15.97	kafka-001	89.34
15	15.97	62.867	45.974	4.9	2018-08-19T09:08:32.224373332Z	4.59	nan	15.97	kafka-001	89.34
19	15.97	80.213	56.444	5.77	2018-08-19T09:08:39.235597168Z	4.9	nan	15.97	kafka-001	89.34
22	15.97	96.816	104.281	7.02	2018-08-19T09:08:46.249041322Z	5.77	3.65	15.97	kafka-001	89.34
25	15.97	110.768	81.83	8.07	2018-08-19T09:08:53.261345858Z	7.02	4.82	15.97	kafka-001	89.34
29	15.97	126.727	142.452	8.48	2018-08-19T09:09:00.279681194Z	8.07	5.69	15.97	kafka-001	89.34
31	15.97	136.571	102.786	7.99	2018-08-19T09:09:07.29109779Z	8.48	6.47	15.97	kafka-001	89.34
34	15.97	147.357	109.937	8.4	2018-08-19T09:09:14.304497574Z	7.99	7.04	15.97	kafka-001	89.34
37	15.97	159.811	181.615	9.93	2018-08-19T09:09:21.318785697Z	8.4	7.62	15.97	kafka-001	89.34
40	15.97	169.638	129.026	10.97	2018-08-19T09:09:28.331765462Z	9.93	8.32	15.97	kafka-001	89.34
42	15.97	181.112	210.164	11.38	2018-08-19T09:09:35.343392864Z	10.97	8.97	15.97	kafka-001	89.34
44	15.97	189.153	146.434	10.8	2018-08-19T09:09:42.35511314Z	11.38	9.52	15.97	kafka-001	89.34
46	15.97	198.355	152.358	12.01	2018-08-19T09:09:49.366178503Z	10.8	9.91	15.97	kafka-001	89.34
48	15.97	209.162	243.863	12.7	2018-08-19T09:09:56.37858135Z	12.01	10.58	15.97	kafka-001	89.35
