host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	38.01	2018-08-19T21:48:32.398045406Z	cassandra-001	2	0	500174.183	1.19	126899.576	38.01	62.61
nan	38.01	2018-08-19T21:48:39.405113594Z	cassandra-001	7	1.19	3.941	2.88	0.698	38.01	62.61
nan	38.01	2018-08-19T21:48:46.412527438Z	cassandra-001	11	2.88	19.689	6.2	2.356	38.01	62.62
nan	38.01	2018-08-19T21:48:53.421082495Z	cassandra-001	15	6.2	15.064	1.25	1.394	38.01	62.61
nan	38.01	2018-08-19T21:49:00.427962651Z	cassandra-001	19	1.25	41.971	4.83	4.579	38.01	62.61
2.72	38.01	2018-08-19T21:49:07.435620815Z	cassandra-001	23	4.83	26.764	1.33	3.146	38.01	62.61
2.95	38.01	2018-08-19T21:49:14.443727386Z	cassandra-001	26	1.33	29.595	1.22	3.264	38.01	62.61
2.95	38.01	2018-08-19T21:49:21.469675666Z	cassandra-001	28	1.22	65.979	1.4	7.278	38.01	62.62
2.7	38.01	2018-08-19T21:49:28.476518816Z	cassandra-001	31	1.4	37.622	1.25	4.185	38.01	62.61
1.88	38.01	2018-08-19T21:49:35.48995192Z	cassandra-001	34	1.25	81.211	8.01	10.164	38.01	62.62
3.01	38.01	2018-08-19T21:49:42.500169428Z	cassandra-001	36	8.01	45.39	1.53	5.028	38.01	62.62
2.46	38.01	2018-08-19T21:49:49.507771888Z	cassandra-001	39	1.53	47.216	1.23	5.344	38.01	62.61
2.44	38.01	2018-08-19T21:49:56.516455213Z	cassandra-001	41	1.23	99.617	1.36	9.775	38.01	62.61
2.46	38.01	2018-08-19T21:50:03.522711858Z	cassandra-001	43	1.36	52.702	1.32	3.824	38.01	62.61
2.45	38.01	2018-08-19T21:50:10.529685127Z	cassandra-001	46	1.32	110.936	8.11	10.656	38.01	62.62
3.59	38.01	2018-08-19T21:50:17.537558073Z	cassandra-001	48	8.11	57.494	1.21	4.522	38.01	62.62
2.46	38.01	2018-08-19T21:50:24.545630131Z	cassandra-001	50	1.21	60.217	1.2	5.432	38.01	62.62
2.4	38.01	2018-08-19T21:50:31.553781862Z	cassandra-001	52	1.2	120.782	1.43	14.201	38.01	62.62
2.44	38.01	2018-08-19T21:50:38.564366992Z	cassandra-001	54	1.43	66.771	2.82	6.618	38.01	62.62
2.68	38.01	2018-08-19T21:50:45.573452311Z	cassandra-001	56	2.82	139.857	8.53	14.238	38.01	62.62
3.88	38.01	2018-08-19T21:50:52.580154248Z	cassandra-001	58	8.53	72.115	1.31	7.25	38.01	62.62
2.75	38.01	2018-08-19T21:50:59.586589472Z	cassandra-001	60	1.31	74.428	1.31	8.041	38.01	62.62
2.77	38.01	2018-08-19T21:51:06.59361075Z	cassandra-001	62	1.31	152.34	1.86	14.22	38.01	62.62
2.88	38.01	2018-08-19T21:51:13.601726309Z	cassandra-001	64	1.86	73.37	1.22	6.126	38.01	62.62
2.84	38.01	2018-08-19T21:51:20.607868762Z	cassandra-001	66	1.22	156.78	9.6	14.428	38.01	62.62
