host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	15.97	2018-08-19T23:57:45.550346495Z	kafka-001	1	0	20630647.471	5.13	21038216.286	15.97	89.79
nan	15.97	2018-08-19T23:57:52.565180328Z	kafka-001	6	5.13	20.661	2.88	13.511	15.97	89.79
nan	15.97	2018-08-19T23:57:59.576341878Z	kafka-001	9	2.88	38.715	3.25	25.041	15.97	89.79
nan	15.97	2018-08-19T23:58:06.586971663Z	kafka-001	13	3.25	56.342	4.6	57.814	15.97	89.79
nan	15.97	2018-08-19T23:58:13.598318456Z	kafka-001	17	4.6	72.635	6.17	52.127	15.97	89.79
3.67	15.97	2018-08-19T23:58:20.612045751Z	kafka-001	19	6.17	86.394	6.37	94.468	15.97	89.79
4.73	15.97	2018-08-19T23:58:27.625061783Z	kafka-001	23	6.37	100.281	6.29	73.537	15.97	89.79
4.93	15.97	2018-08-19T23:58:34.639020505Z	kafka-001	26	6.29	111.603	6.74	82.133	15.97	89.79
5.57	15.97	2018-08-19T23:58:41.652683622Z	kafka-001	29	6.74	127.14	7.81	141.3	15.97	89.79
6.33	15.97	2018-08-19T23:58:48.665058702Z	kafka-001	32	7.81	135.927	9.15	101.572	15.97	89.79
7.09	15.97	2018-08-19T23:58:55.67823328Z	kafka-001	34	9.15	149.444	9.55	169.198	15.97	89.79
7.65	15.97	2018-08-19T23:59:02.690910601Z	kafka-001	37	9.55	156.809	9.65	120.948	15.97	89.79
8.2	15.97	2018-08-19T23:59:09.702334984Z	kafka-001	39	9.65	168.045	10.02	128.326	15.97	89.8
8.82	15.97	2018-08-19T23:59:16.713387949Z	kafka-001	42	10.02	178.16	10.76	206.675	15.97	89.8
9.49	15.97	2018-08-19T23:59:23.727243582Z	kafka-001	44	10.76	184.427	12.8	142.117	15.97	89.8
10.32	15.97	2018-08-19T23:59:30.740389671Z	kafka-001	46	12.8	198.456	12.53	234.126	15.97	89.52
10.88	15.97	2018-08-19T23:59:37.753573247Z	kafka-001	49	12.53	203.149	11.99	161.292	15.97	89.52
11.29	15.97	2018-08-19T23:59:44.764925626Z	kafka-001	51	11.99	200.663	12.81	164.608	15.97	89.52
11.82	15.97	2018-08-19T23:59:51.778466966Z	kafka-001	53	12.81	215.586	12.91	263.278	15.97	89.53
12.3	15.97	2018-08-19T23:59:58.790914439Z	kafka-001	55	12.91	227.099	14.02	178.229	15.97	89.53
12.84	15.97	2018-08-20T00:00:05.802294731Z	kafka-001	57	14.02	231.815	13.13	279.902	15.97	89.53
12.9	15.97	2018-08-20T00:00:12.81549808Z	kafka-001	59	13.13	242.058	13.15	194.066	15.97	89.53
13.0	15.97	2018-08-20T00:00:19.825575732Z	kafka-001	60	13.15	253.171	15.11	197.624	15.97	89.53
13.52	15.97	2018-08-20T00:00:26.835944582Z	kafka-001	62	15.11	265.07	16.16	313.638	15.97	89.53
14.08	15.97	2018-08-20T00:00:33.848368014Z	kafka-001	64	16.16	271.231	17.52	211.416	15.97	89.53
14.85	15.97	2018-08-20T00:00:40.861425153Z	kafka-001	66	17.52	277.564	15.98	329.34	15.97	89.54
15.17	15.97	2018-08-20T00:00:47.875331639Z	kafka-001	68	15.98	276.141	16.91	221.804	15.97	89.54
15.8	15.97	2018-08-20T00:00:54.885188976Z	kafka-001	69	16.91	295.337	14.74	230.23	15.97	89.54
16.07	15.97	2018-08-20T00:01:01.897500789Z	kafka-001	71	14.74	302.658	17.46	352.758	15.97	89.54
16.46	15.97	2018-08-20T00:01:08.911457623Z	kafka-001	73	17.46	303.785	19.42	238.95	15.97	89.54
17.0	15.97	2018-08-20T00:01:15.921989302Z	kafka-001	74	19.42	315.42	19.34	375.609	15.97	89.55
17.31	15.97	2018-08-20T00:01:22.931797879Z	kafka-001	76	19.34	321.303	18.08	252.685	15.97	89.55
17.66	15.97	2018-08-20T00:01:29.943247665Z	kafka-001	78	18.08	322.815	19.13	254.51	15.97	89.55
18.03	15.97	2018-08-20T00:01:36.953765976Z	kafka-001	79	19.13	332.134	18.49	398.594	15.97	89.55
18.65	15.97	2018-08-20T00:01:43.965240545Z	kafka-001	81	18.49	338.041	20.84	268.694	15.97	89.56
19.22	15.97	2018-08-20T00:01:50.975756873Z	kafka-001	83	20.84	333.268	19.9	414.404	15.97	89.56
19.3	15.97	2018-08-20T00:01:57.986951263Z	kafka-001	84	19.9	342.733	18.89	271.752	15.97	89.56
19.22	15.97	2018-08-20T00:02:04.994568318Z	kafka-001	86	18.89	348.727	20.71	279.808	15.97	89.56
19.66	15.97	2018-08-20T00:02:12.005541705Z	kafka-001	87	20.71	360.938	20.78	438.886	15.97	89.56
19.93	15.97	2018-08-20T00:02:19.016606033Z	kafka-001	89	20.78	366.223	21.68	295.366	15.97	89.57
20.47	15.97	2018-08-20T00:02:26.028976066Z	kafka-001	90	21.68	365.476	22.45	454.128	15.97	89.57
20.73	15.97	2018-08-20T00:02:33.040375258Z	kafka-001	91	22.45	367.263	23.46	291.043	15.97	89.57
21.33	15.97	2018-08-20T00:02:40.052532817Z	kafka-001	93	23.46	385.164	23.78	465.052	15.97	89.58
22.14	15.97	2018-08-20T00:02:47.064102664Z	kafka-001	94	23.78	393.901	22.15	314.742	15.97	89.58
22.38	15.97	2018-08-20T00:02:54.076574071Z	kafka-001	96	22.15	397.239	24.29	317.651	15.97	89.58
22.97	15.97	2018-08-20T00:03:01.08790899Z	kafka-001	97	24.29	401.996	23.33	491.826	15.97	89.59
23.24	15.97	2018-08-20T00:03:08.102497284Z	kafka-001	98	23.33	405.823	22.62	324.832	15.97	89.59
23.27	15.97	2018-08-20T00:03:15.113229078Z	kafka-001	100	22.62	416.318	24.16	495.92	15.97	89.59
23.39	15.97	2018-08-20T00:03:22.123461597Z	kafka-001	101	24.16	396.697	19.24	331.226	15.97	89.59
22.63	15.97	2018-08-20T00:03:29.134479126Z	kafka-001	102	19.24	421.605	23.12	334.804	15.97	89.6
22.79	15.97	2018-08-20T00:03:36.144540063Z	kafka-001	104	23.12	413.237	23.14	514.177	15.97	89.6
22.6	15.97	2018-08-20T00:03:43.155558063Z	kafka-001	105	23.14	430.694	25.92	348.624	15.97	89.6
23.03	15.97	2018-08-20T00:03:50.168928671Z	kafka-001	106	25.92	442.372	25.79	540.48	15.97	89.6
23.56	15.97	2018-08-20T00:03:57.181026584Z	kafka-001	107	25.79	444.793	26.37	357.008	15.97	89.61
23.93	15.97	2018-08-20T00:04:04.192557815Z	kafka-001	108	26.37	453.203	26.83	360.684	15.97	89.61
25.19	15.97	2018-08-20T00:04:11.203880114Z	kafka-001	110	26.83	455.968	26.5	548.243	15.97	89.62
25.76	15.97	2018-08-20T00:04:18.217221795Z	kafka-001	111	26.5	452.305	26.98	363.544	15.97	89.62
26.4	15.97	2018-08-20T00:04:25.228619223Z	kafka-001	112	26.98	464.4	28.59	568.648	15.97	89.62
26.84	15.97	2018-08-20T00:04:32.238887951Z	kafka-001	113	28.59	468.293	27.37	373.908	15.97	89.63
27.11	15.97	2018-08-20T00:04:39.248484765Z	kafka-001	115	27.37	474.977	27.0	376.494	15.97	89.63
27.21	15.97	2018-08-20T00:04:46.259706047Z	kafka-001	116	27.0	484.68	18.96	581.668	15.97	89.63
25.9	15.97	2018-08-20T00:04:53.269887529Z	kafka-001	117	18.96	477.689	27.59	385.183	15.97	89.64
26.08	15.97	2018-08-20T00:05:00.284080245Z	kafka-001	118	27.59	489.3	29.81	599.36	15.97	89.64
26.55	15.97	2018-08-20T00:05:07.29428426Z	kafka-001	119	29.81	498.509	29.79	396.574	15.97	89.64
26.75	15.97	2018-08-20T00:05:14.305324197Z	kafka-001	121	29.79	496.913	27.28	391.172	15.97	89.65
26.74	15.97	2018-08-20T00:05:21.316118695Z	kafka-001	122	27.28	507.802	29.05	617.25	15.97	89.65
27.08	15.97	2018-08-20T00:05:28.326869939Z	kafka-001	123	29.05	507.897	30.43	407.256	15.97	89.65
28.99	15.97	2018-08-20T00:05:35.341209585Z	kafka-001	124	30.43	507.163	30.31	618.032	15.97	89.66
29.44	15.97	2018-08-20T00:05:42.354200848Z	kafka-001	125	30.31	508.906	26.22	408.542	15.97	89.66
28.85	15.97	2018-08-20T00:05:49.365909335Z	kafka-001	126	26.22	519.083	29.83	416.02	15.97	89.66
28.85	15.97	2018-08-20T00:05:56.379215685Z	kafka-001	127	29.83	530.022	26.95	646.496	15.97	89.67
28.8	15.97	2018-08-20T00:06:03.393402246Z	kafka-001	128	26.95	526.757	32.41	424.465	15.97	89.67
29.36	15.97	2018-08-20T00:06:10.406150604Z	kafka-001	129	32.41	536.904	29.55	651.983	15.97	89.67
29.21	15.97	2018-08-20T00:06:17.41848379Z	kafka-001	130	29.55	540.137	31.66	428.015	15.97	89.68
29.44	15.97	2018-08-20T00:06:24.429435813Z	kafka-001	132	31.66	540.037	30.11	433.618	15.97	89.68
30.08	15.97	2018-08-20T00:06:31.441123399Z	kafka-001	133	30.11	554.826	31.69	670.566	15.97	89.69
30.39	15.97	2018-08-20T00:06:38.452506484Z	kafka-001	134	31.69	554.175	32.21	439.916	15.97	89.69
31.27	15.97	2018-08-20T00:06:45.465034935Z	kafka-001	135	32.21	562.797	34.18	680.762	15.97	89.69
31.57	15.97	2018-08-20T00:06:52.477388374Z	kafka-001	136	34.18	556.338	29.96	451.898	15.97	89.7
31.63	15.97	2018-08-20T00:06:59.489226283Z	kafka-001	137	29.96	567.359	33.28	442.386	15.97	89.7
31.9	15.97	2018-08-20T00:07:06.501080121Z	kafka-001	138	33.28	578.588	30.85	702.04	15.97	89.71
32.03	15.97	2018-08-20T00:07:13.511461455Z	kafka-001	139	30.85	577.843	34.53	460.958	15.97	89.71
32.5	15.97	2018-08-20T00:07:20.525942141Z	kafka-001	140	34.53	581.238	32.41	702.26	15.97	89.71
32.53	15.97	2018-08-20T00:07:27.539304391Z	kafka-001	141	32.41	582.671	33.44	469.419	15.97	89.72
32.41	15.97	2018-08-20T00:07:34.551138006Z	kafka-001	142	33.44	583.027	32.96	466.159	15.97	89.72
32.91	15.97	2018-08-20T00:07:41.562567018Z	kafka-001	143	32.96	590.638	34.34	720.744	15.97	89.73
33.09	15.97	2018-08-20T00:07:48.572801135Z	kafka-001	144	34.34	588.453	33.58	473.643	15.97	89.73
33.54	15.97	2018-08-20T00:07:55.584955936Z	kafka-001	145	33.58	603.246	34.68	735.685	15.97	89.74
33.57	15.97	2018-08-20T00:08:02.596897962Z	kafka-001	146	34.68	608.871	34.36	485.951	15.97	89.74
33.89	15.97	2018-08-20T00:08:09.610106703Z	kafka-001	147	34.36	611.139	34.87	486.001	15.97	89.74
34.13	15.97	2018-08-20T00:08:16.621454146Z	kafka-001	148	34.87	615.668	33.39	743.676	15.97	89.75
34.2	15.97	2018-08-20T00:08:23.636034998Z	kafka-001	149	33.39	618.031	34.19	494.806	15.97	89.75
34.18	15.97	2018-08-20T00:08:30.649099261Z	kafka-001	150	34.19	616.794	30.26	754.072	15.97	89.76
33.62	15.97	2018-08-20T00:08:37.662359341Z	kafka-001	151	30.26	619.007	34.97	499.632	15.97	89.76
33.67	15.97	2018-08-20T00:08:44.675999656Z	kafka-001	152	34.97	624.021	34.59	503.827	15.97	89.76
33.71	15.97	2018-08-20T00:08:51.688721665Z	kafka-001	153	34.59	620.766	35.9	769.759	15.97	89.77
33.88	15.97	2018-08-20T00:08:58.701704673Z	kafka-001	154	35.9	628.521	37.17	507.227	15.97	89.78
34.51	15.97	2018-08-20T00:09:05.715538943Z	kafka-001	154	37.17	638.662	37.5	774.546	15.97	89.78
35.06	15.97	2018-08-20T00:09:12.72742097Z	kafka-001	155	37.5	637.449	35.51	513.93	15.97	89.78
35.94	15.97	2018-08-20T00:09:19.738161435Z	kafka-001	156	35.51	650.609	36.53	519.55	15.97	89.79
36.2	15.97	2018-08-20T00:09:26.749528032Z	kafka-001	157	36.53	658.74	32.57	795.563	15.97	89.79
35.86	15.97	2018-08-20T00:09:33.761725016Z	kafka-001	158	32.57	648.93	37.78	518.844	15.97	89.8
36.18	15.97	2018-08-20T00:09:40.776871048Z	kafka-001	159	37.78	664.361	36.87	804.553	15.97	89.8
36.13	15.97	2018-08-20T00:09:47.788319339Z	kafka-001	160	36.87	665.423	38.66	533.778	15.97	89.53
36.32	15.97	2018-08-20T00:09:54.799464099Z	kafka-001	161	38.66	673.295	34.11	530.081	15.97	89.53
36.09	15.97	2018-08-20T00:10:01.810898764Z	kafka-001	162	34.11	678.182	36.62	822.67	15.97	89.54
36.1	15.97	2018-08-20T00:10:08.821057894Z	kafka-001	163	36.62	683.095	38.51	542.243	15.97	89.54
37.09	15.97	2018-08-20T00:10:15.834231662Z	kafka-001	164	38.51	683.334	39.99	831.005	15.97	89.55
37.46	15.97	2018-08-20T00:10:22.847002002Z	kafka-001	164	39.99	676.235	37.62	543.238	15.97	89.55
37.58	15.97	2018-08-20T00:10:29.858404796Z	kafka-001	165	37.62	676.459	40.22	546.1	15.97	89.56
37.84	15.97	2018-08-20T00:10:36.869610503Z	kafka-001	166	40.22	690.742	36.07	839.638	15.97	89.56
38.17	15.97	2018-08-20T00:10:43.883082566Z	kafka-001	167	36.07	691.507	39.76	551.134	15.97	89.57
38.69	15.97	2018-08-20T00:10:50.900203314Z	kafka-001	168	39.76	693.162	36.15	850.978	15.97	89.57
38.3	15.97	2018-08-20T00:10:57.912918454Z	kafka-001	169	36.15	702.937	40.31	558.806	15.97	89.58
38.35	15.97	2018-08-20T00:11:04.926702759Z	kafka-001	170	40.31	692.13	37.13	559.725	15.97	89.58
38.27	15.97	2018-08-20T00:11:11.938511141Z	kafka-001	171	37.13	714.215	41.94	853.991	15.97	89.59
38.56	15.97	2018-08-20T00:11:18.949390469Z	kafka-001	172	41.94	717.001	40.98	567.626	15.97	89.59
39.38	15.97	2018-08-20T00:11:25.961574132Z	kafka-001	172	40.98	727.43	41.43	874.841	15.97	89.59
39.66	15.97	2018-08-20T00:11:32.976590076Z	kafka-001	173	41.43	718.571	40.41	573.232	15.97	89.6
40.37	15.97	2018-08-20T00:11:39.989173517Z	kafka-001	174	40.41	725.368	40.91	571.754	15.97	89.61
40.47	15.97	2018-08-20T00:11:47.002368601Z	kafka-001	175	40.91	734.775	38.12	885.987	15.97	89.61
40.63	15.97	2018-08-20T00:11:54.013002165Z	kafka-001	176	38.12	732.449	42.59	582.719	15.97	89.62
40.74	15.97	2018-08-20T00:12:01.023691755Z	kafka-001	177	42.59	739.882	41.52	895.524	15.97	89.62
40.83	15.97	2018-08-20T00:12:08.037994015Z	kafka-001	178	41.52	742.894	42.15	589.543	15.97	89.63
40.95	15.97	2018-08-20T00:12:15.050357081Z	kafka-001	178	42.15	743.731	41.41	902.631	15.97	89.63
41.12	15.97	2018-08-20T00:12:22.061234469Z	kafka-001	179	41.41	749.091	42.9	596.725	15.97	89.64
41.45	15.97	2018-08-20T00:12:29.072194706Z	kafka-001	180	42.9	752.129	43.67	598.711	15.97	89.64
42.37	15.97	2018-08-20T00:12:36.082801294Z	kafka-001	181	43.67	748.694	42.69	904.915	15.97	89.65
42.39	15.97	2018-08-20T00:12:43.094597665Z	kafka-001	182	42.69	742.549	40.97	593.726	15.97	89.65
42.3	15.97	2018-08-20T00:12:50.106181203Z	kafka-001	183	40.97	745.916	43.25	910.51	15.97	89.66
42.48	15.97	2018-08-20T00:12:57.117517821Z	kafka-001	183	43.25	746.437	39.5	597.158	15.97	89.66
42.16	15.97	2018-08-20T00:13:04.130539949Z	kafka-001	184	39.5	745.344	42.95	595.228	15.97	89.67
42.17	15.97	2018-08-20T00:13:11.144275931Z	kafka-001	185	42.95	741.011	41.73	901.383	15.97	89.67
41.85	15.97	2018-08-20T00:13:18.155710897Z	kafka-001	186	41.73	731.845	42.9	592.988	15.97	89.68
41.88	15.97	2018-08-20T00:13:25.167974562Z	kafka-001	187	42.9	740.706	40.05	898.285	15.97	89.68
41.73	15.97	2018-08-20T00:13:32.180966674Z	kafka-001	187	40.05	732.588	40.45	590.124	15.97	89.69
41.26	15.97	2018-08-20T00:13:39.192999032Z	kafka-001	188	40.45	737.248	41.44	593.439	15.97	89.69
41.59	15.97	2018-08-20T00:13:46.206841299Z	kafka-001	189	41.44	738.462	41.63	909.643	15.97	89.7
41.37	15.97	2018-08-20T00:13:53.219877469Z	kafka-001	190	41.63	746.387	41.73	594.944	15.97	89.7
41.37	15.97	2018-08-20T00:14:00.232942495Z	kafka-001	191	41.73	750.208	42.77	909.292	15.97	89.71
41.34	15.97	2018-08-20T00:14:07.243969153Z	kafka-001	191	42.77	740.527	43.1	590.961	15.97	89.72
41.85	15.97	2018-08-20T00:14:14.255881334Z	kafka-001	192	43.1	745.942	41.72	595.652	15.97	89.72
42.06	15.97	2018-08-20T00:14:21.2697732Z	kafka-001	193	41.72	747.211	42.01	909.28	15.97	89.72
42.16	15.97	2018-08-20T00:14:28.282651628Z	kafka-001	194	42.01	749.583	44.7	595.52	15.97	89.73
42.67	15.97	2018-08-20T00:14:35.293315802Z	kafka-001	194	44.7	758.304	40.53	908.273	15.97	89.73
42.47	15.97	2018-08-20T00:14:42.304514153Z	kafka-001	195	40.53	749.557	43.63	591.149	15.97	89.74
42.61	15.97	2018-08-20T00:14:49.317642424Z	kafka-001	196	43.63	753.015	43.22	590.658	15.97	89.75
42.64	15.97	2018-08-20T00:14:56.328559038Z	kafka-001	197	43.22	752.008	43.21	910.68	15.97	89.75
42.88	15.97	2018-08-20T00:15:03.342396044Z	kafka-001	197	43.21	753.383	40.76	595.275	15.97	89.76
42.67	15.97	2018-08-20T00:15:10.352551615Z	kafka-001	198	40.76	756.112	42.29	911.206	15.97	89.76
42.27	15.97	2018-08-20T00:15:17.364624954Z	kafka-001	199	42.29	755.553	43.46	595.86	15.97	89.77
42.76	15.97	2018-08-20T00:15:24.377618287Z	kafka-001	200	43.46	750.071	42.92	594.302	15.97	89.77
42.64	15.97	2018-08-20T00:15:31.388047629Z	kafka-001	200	42.92	751.115	42.7	907.19	15.97	89.78
