net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
599486.298	1.16	74.67	nan	2	327521.652	38.11	0	38.11	cassandra-001	2018-08-17T01:00:17.702924721Z
3.95	1.05	74.67	nan	7	0.737	38.11	1.16	38.11	cassandra-001	2018-08-17T01:00:24.710158338Z
21.863	1.22	74.67	nan	12	3.53	38.11	1.05	38.11	cassandra-001	2018-08-17T01:00:31.71774591Z
15.587	1.21	74.67	nan	15	1.222	38.11	1.22	38.11	cassandra-001	2018-08-17T01:00:38.727197297Z
40.93	6.98	74.67	nan	19	4.21	38.11	1.21	38.11	cassandra-001	2018-08-17T01:00:45.73674596Z
25.673	1.32	74.67	1.94	22	2.763	38.11	6.98	38.11	cassandra-001	2018-08-17T01:00:52.743313708Z
28.881	1.07	74.67	2.16	25	3.132	38.11	1.32	38.11	cassandra-001	2018-08-17T01:00:59.75191104Z
64.739	1.1	74.67	2.14	28	6.684	38.11	1.07	38.11	cassandra-001	2018-08-17T01:01:06.76210172Z
36.582	1.15	74.67	2.15	31	3.882	38.11	1.1	38.11	cassandra-001	2018-08-17T01:01:13.774903775Z
81.312	5.96	74.67	2.14	34	8.052	38.11	1.15	38.11	cassandra-001	2018-08-17T01:01:20.781992768Z
45.03	1.03	74.67	2.93	37	4.737	38.11	5.96	38.11	cassandra-001	2018-08-17T01:01:27.790071328Z
46.465	1.08	74.67	1.94	39	5.146	38.11	1.03	38.11	cassandra-001	2018-08-17T01:01:34.797801953Z
97.913	1.15	74.68	1.9	42	8.508	38.11	1.08	38.11	cassandra-001	2018-08-17T01:01:41.806354689Z
51.249	1.14	74.67	1.91	44	4.814	38.11	1.15	38.11	cassandra-001	2018-08-17T01:01:48.813217027Z
112.114	7.43	74.68	1.92	46	10.853	38.11	1.14	38.11	cassandra-001	2018-08-17T01:01:55.820298761Z
59.334	1.32	74.68	2.96	48	7.056	38.11	7.43	38.11	cassandra-001	2018-08-17T01:02:02.826929513Z
61.96	1.11	74.68	2.19	50	7.148	38.11	1.32	38.11	cassandra-001	2018-08-17T01:02:09.836583848Z
128.599	1.03	74.68	2.2	52	14.096	38.11	1.11	38.11	cassandra-001	2018-08-17T01:02:16.84314091Z
66.912	1.03	74.68	2.2	54	5.865	38.11	1.03	38.11	cassandra-001	2018-08-17T01:02:23.850141465Z
138.208	7.67	74.68	2.18	56	13.974	38.11	1.03	38.11	cassandra-001	2018-08-17T01:02:30.856764724Z
71.004	1.16	74.68	3.26	58	7.052	38.11	7.67	38.11	cassandra-001	2018-08-17T01:02:37.864946252Z
72.301	2.81	74.68	2.22	60	6.55	38.11	1.16	38.11	cassandra-001	2018-08-17T01:02:44.871936465Z
144.856	2.0	74.68	2.47	62	13.639	38.11	2.81	38.11	cassandra-001	2018-08-17T01:02:51.878894892Z
77.151	1.11	74.68	2.62	63	7.182	38.11	2.0	38.11	cassandra-001	2018-08-17T01:02:58.886114166Z
158.954	7.94	74.68	2.63	65	12.99	38.11	1.11	38.11	cassandra-001	2018-08-17T01:03:05.893170573Z
83.883	1.18	74.68	3.78	67	9.53	38.11	7.94	38.11	cassandra-001	2018-08-17T01:03:12.900081793Z
83.51	1.22	74.68	2.7	69	6.652	38.11	1.18	38.11	cassandra-001	2018-08-17T01:03:19.908388272Z
172.984	1.13	74.68	2.71	70	15.071	38.11	1.22	38.11	cassandra-001	2018-08-17T01:03:26.915439247Z
87.33	1.18	74.68	2.43	72	8.076	38.11	1.13	38.11	cassandra-001	2018-08-17T01:03:33.92476926Z
178.565	8.63	74.68	2.29	74	15.966	38.11	1.18	38.11	cassandra-001	2018-08-17T01:03:40.931728438Z
90.212	1.17	74.68	3.55	75	7.56	38.11	8.63	38.11	cassandra-001	2018-08-17T01:03:47.939270148Z
92.2	1.04	74.68	2.42	77	8.219	38.11	1.17	38.11	cassandra-001	2018-08-17T01:03:54.948930171Z
194.447	1.08	74.68	2.39	79	19.064	38.11	1.04	38.11	cassandra-001	2018-08-17T01:04:01.959780639Z
98.842	1.22	74.68	2.37	80	8.35	38.11	1.08	38.11	cassandra-001	2018-08-17T01:04:08.96584781Z
202.53	10.43	74.69	2.39	82	19.88	38.11	1.22	38.11	cassandra-001	2018-08-17T01:04:15.973753042Z
99.896	1.13	74.68	3.93	83	11.305	38.11	10.43	38.11	cassandra-001	2018-08-17T01:04:22.982056027Z
101.991	1.12	74.68	2.68	85	9.114	38.11	1.13	38.11	cassandra-001	2018-08-17T01:04:29.990261437Z
215.475	1.26	74.69	2.67	86	23.256	38.11	1.12	38.11	cassandra-001	2018-08-17T01:04:37.000374141Z
107.963	1.1	74.69	2.71	87	10.512	38.11	1.26	38.11	cassandra-001	2018-08-17T01:04:44.007202347Z
213.651	11.74	74.69	2.71	89	19.782	38.11	1.1	38.11	cassandra-001	2018-08-17T01:04:51.014499649Z
111.987	1.25	74.69	4.46	90	10.563	38.11	11.74	38.11	cassandra-001	2018-08-17T01:04:58.02326559Z
112.701	1.09	74.69	2.93	92	10.286	38.11	1.25	38.11	cassandra-001	2018-08-17T01:05:05.03008659Z
228.143	1.1	74.69	2.93	93	27.184	38.11	1.09	38.11	cassandra-001	2018-08-17T01:05:12.036906984Z
