net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
9237436.144	3.9	42.88	nan	3	9995988.323	15.93	0	15.93	kafka-001	2018-08-17T03:20:58.331680299Z
48.026	4.47	42.88	nan	8	55.136	15.93	3.9	15.93	kafka-001	2018-08-17T03:21:05.343194412Z
69.081	10.14	42.88	nan	12	66.625	15.93	4.47	15.93	kafka-001	2018-08-17T03:21:12.355906416Z
80.887	5.63	42.89	nan	16	68.539	15.93	10.14	15.93	kafka-001	2018-08-17T03:21:19.368298146Z
100.838	6.81	42.89	nan	19	113.584	15.93	5.63	15.93	kafka-001	2018-08-17T03:21:26.379574277Z
112.041	8.34	42.89	5.16	23	93.93	15.93	6.81	15.93	kafka-001	2018-08-17T03:21:33.39180597Z
128.382	8.21	42.89	6.55	26	149.337	15.93	8.34	15.93	kafka-001	2018-08-17T03:21:40.402132068Z
138.213	8.73	42.89	7.27	28	115.945	15.93	8.21	15.93	kafka-001	2018-08-17T03:21:47.414415541Z
148.027	8.58	42.89	7.98	31	122.493	15.93	8.73	15.93	kafka-001	2018-08-17T03:21:54.427260075Z
164.244	10.29	42.89	7.72	34	192.872	15.93	8.58	15.93	kafka-001	2018-08-17T03:22:01.440459152Z
172.065	11.85	42.89	8.49	37	147.182	15.93	10.29	15.93	kafka-001	2018-08-17T03:22:08.452601918Z
178.938	11.66	42.89	9.33	39	221.158	15.93	11.85	15.93	kafka-001	2018-08-17T03:22:15.464795564Z
182.605	11.24	42.89	9.89	42	158.054	15.93	11.66	15.93	kafka-001	2018-08-17T03:22:22.475990344Z
196.707	12.08	42.89	10.39	44	167.306	15.93	11.24	15.93	kafka-001	2018-08-17T03:22:29.486812403Z
206.868	12.71	42.9	10.95	46	253.948	15.93	12.08	15.93	kafka-001	2018-08-17T03:22:36.499123263Z
215.077	19.33	42.9	11.64	48	183.586	15.93	12.71	15.93	kafka-001	2018-08-17T03:22:43.512695813Z
219.858	14.56	42.9	13.15	50	268.552	15.93	19.33	15.93	kafka-001	2018-08-17T03:22:50.524289383Z
230.355	13.44	42.9	13.6	52	194.293	15.93	14.56	15.93	kafka-001	2018-08-17T03:22:57.535628106Z
237.779	13.96	42.9	13.89	54	201.116	15.93	13.44	15.93	kafka-001	2018-08-17T03:23:04.547078848Z
