memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.12	nan	1.13	530119.62	2633124.3	38.12	0	2018-08-17T13:37:20.120347328Z	0	cassandra-001	76.88
38.12	nan	1.04	0.171	0.141	38.12	0	2018-08-17T13:37:27.127298405Z	1.13	cassandra-001	76.88
38.12	nan	1.13	0.213	0.183	38.12	0	2018-08-17T13:37:34.134692606Z	1.04	cassandra-001	76.88
38.12	nan	0.98	0.0	0.0	38.12	0	2018-08-17T13:37:41.141632509Z	1.13	cassandra-001	76.88
38.12	nan	1.08	0.0	0.0	38.12	0	2018-08-17T13:37:48.149191555Z	0.98	cassandra-001	76.88
38.12	0.89	1.11	0.171	0.141	38.12	0	2018-08-17T13:37:55.156842924Z	1.08	cassandra-001	76.88
38.12	1.08	1.16	0.213	0.183	38.12	0	2018-08-17T13:38:02.164889603Z	1.11	cassandra-001	76.88
38.12	1.08	1.66	0.0	0.0	38.12	0	2018-08-17T13:38:09.174489375Z	1.16	cassandra-001	76.88
38.12	1.19	3.08	0.0	0.0	38.12	0	2018-08-17T13:38:16.182290403Z	1.66	cassandra-001	76.88
38.12	1.51	1.92	0.171	0.141	38.12	0	2018-08-17T13:38:23.189421698Z	3.08	cassandra-001	76.88
38.12	1.67	1.08	0.042	0.042	38.12	0	2018-08-17T13:38:30.199216186Z	1.92	cassandra-001	76.88
38.12	1.67	1.21	0.171	0.141	38.12	0	2018-08-17T13:38:37.208741822Z	1.08	cassandra-001	76.88
