memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.49	13213655.549	12524761.819	15.93	0	2018-08-17T12:04:20.252822769Z	0	kafka-001	65.44
15.93	nan	2.37	23.826	16.135	15.93	0	2018-08-17T12:04:27.264056488Z	2.49	kafka-001	65.44
15.93	nan	2.34	25.3	17.591	15.93	0	2018-08-17T12:04:34.284179087Z	2.37	kafka-001	65.44
15.93	nan	2.36	24.198	16.794	15.93	0	2018-08-17T12:04:41.293518021Z	2.34	kafka-001	65.44
15.93	nan	2.64	23.912	15.619	15.93	0	2018-08-17T12:04:48.305302001Z	2.36	kafka-001	65.44
15.93	2.03	2.8	25.738	17.358	15.93	0	2018-08-17T12:04:55.315186945Z	2.64	kafka-001	65.44
15.93	2.5	1.63	24.244	16.133	15.93	0	2018-08-17T12:05:02.325085207Z	2.8	kafka-001	65.44
15.93	2.36	2.23	26.192	18.145	15.93	0	2018-08-17T12:05:09.336084234Z	1.63	kafka-001	65.44
15.93	2.33	2.27	24.006	16.362	15.93	0	2018-08-17T12:05:16.349407313Z	2.23	kafka-001	65.44
15.93	2.32	3.77	25.386	16.811	15.93	0	2018-08-17T12:05:23.358539766Z	2.27	kafka-001	65.44
15.93	2.56	2.51	24.198	16.794	15.93	0	2018-08-17T12:05:30.369789608Z	3.77	kafka-001	65.44
15.93	2.53	2.07	25.492	15.805	15.93	0	2018-08-17T12:05:37.380986225Z	2.51	kafka-001	65.44
