net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
3457267.61	0	2	2018-08-17T17:54:04.315175882Z	77.21	612369.543	38.15	1.01	nan	cassandra-001	38.15
9.423	1.01	7	2018-08-17T17:54:11.323554616Z	77.21	1.62	38.15	1.58	nan	cassandra-001	38.15
11.009	1.58	11	2018-08-17T17:54:18.331288252Z	77.21	1.62	38.15	1.17	nan	cassandra-001	38.15
32.806	1.17	15	2018-08-17T17:54:25.339054211Z	77.21	4.266	38.15	3.98	nan	cassandra-001	38.15
20.039	3.98	18	2018-08-17T17:54:32.34494571Z	77.21	1.498	38.15	1.1	nan	cassandra-001	38.15
23.878	1.1	22	2018-08-17T17:54:39.354027871Z	77.21	2.869	38.15	1.17	1.47	cassandra-001	38.15
56.692	1.17	25	2018-08-17T17:54:46.364533868Z	77.21	5.75	38.15	3.01	1.67	cassandra-001	38.15
32.883	3.01	28	2018-08-17T17:54:53.371251067Z	77.21	3.54	38.15	1.13	2.0	cassandra-001	38.15
73.295	1.13	30	2018-08-17T17:55:00.380846336Z	77.21	8.16	38.15	7.84	1.93	cassandra-001	38.15
40.326	7.84	33	2018-08-17T17:55:07.391396755Z	77.21	4.725	38.15	1.18	3.04	cassandra-001	38.15
42.74	1.18	36	2018-08-17T17:55:14.401646351Z	77.22	3.946	38.15	1.25	2.57	cassandra-001	38.15
93.33	1.25	39	2018-08-17T17:55:21.409024825Z	77.22	10.332	38.15	1.33	2.6	cassandra-001	38.15
48.783	1.33	41	2018-08-17T17:55:28.417429098Z	77.22	4.67	38.15	1.09	2.62	cassandra-001	38.15
105.511	1.09	43	2018-08-17T17:55:35.425621539Z	77.22	12.941	38.15	6.53	2.3	cassandra-001	38.15
55.797	6.53	45	2018-08-17T17:55:42.432994026Z	77.22	5.526	38.15	1.15	3.2	cassandra-001	38.15
58.126	1.15	48	2018-08-17T17:55:49.441861011Z	77.22	6.766	38.15	1.27	2.09	cassandra-001	38.15
121.13	1.27	50	2018-08-17T17:55:56.448262009Z	77.22	12.976	38.15	1.13	2.1	cassandra-001	38.15
62.751	1.13	52	2018-08-17T17:56:03.457525693Z	77.22	6.579	38.15	2.15	2.08	cassandra-001	38.15
133.943	2.15	54	2018-08-17T17:56:10.466396712Z	77.22	14.728	38.15	8.63	2.22	cassandra-001	38.15
69.284	8.63	56	2018-08-17T17:56:17.474336916Z	77.22	6.934	38.15	1.15	3.48	cassandra-001	38.15
70.311	1.15	58	2018-08-17T17:56:24.485152039Z	77.22	5.838	38.15	1.16	2.58	cassandra-001	38.15
144.819	1.16	60	2018-08-17T17:56:31.495256253Z	77.22	12.572	38.15	1.36	2.58	cassandra-001	38.15
76.18	1.36	62	2018-08-17T17:56:38.50558446Z	77.22	7.037	38.15	1.19	2.6	cassandra-001	38.15
151.262	1.19	64	2018-08-17T17:56:45.515592844Z	77.22	12.608	38.15	9.06	2.61	cassandra-001	38.15
80.972	9.06	65	2018-08-17T17:56:52.527877688Z	77.22	7.96	38.15	1.23	3.76	cassandra-001	38.15
82.263	1.23	67	2018-08-17T17:56:59.534526516Z	77.22	7.854	38.15	1.17	2.52	cassandra-001	38.15
168.99	1.17	69	2018-08-17T17:57:06.543743787Z	77.22	16.075	38.15	1.04	2.53	cassandra-001	38.15
87.595	1.04	71	2018-08-17T17:57:13.553297398Z	77.22	10.004	38.15	1.24	2.51	cassandra-001	38.15
180.159	1.24	72	2018-08-17T17:57:20.561416009Z	77.23	20.046	38.15	8.79	2.49	cassandra-001	38.15
92.037	8.79	74	2018-08-17T17:57:27.573201341Z	77.22	9.778	38.15	1.02	3.75	cassandra-001	38.15
93.487	1.02	76	2018-08-17T17:57:34.581340756Z	77.22	8.853	38.15	1.34	2.41	cassandra-001	38.15
187.818	1.34	77	2018-08-17T17:57:41.590408552Z	77.22	20.214	38.15	1.28	2.43	cassandra-001	38.15
99.366	1.28	79	2018-08-17T17:57:48.599700786Z	77.23	10.542	38.15	1.32	2.45	cassandra-001	38.15
199.549	1.32	80	2018-08-17T17:57:55.606608473Z	77.23	22.27	38.15	10.6	2.5	cassandra-001	38.15
103.061	10.6	82	2018-08-17T17:58:02.614703003Z	77.23	11.042	38.15	1.19	4.06	cassandra-001	38.15
100.924	1.19	84	2018-08-17T17:58:09.624924773Z	77.23	11.305	38.15	1.2	2.79	cassandra-001	38.15
212.248	1.2	85	2018-08-17T17:58:16.632884281Z	77.23	23.6	38.15	3.08	2.82	cassandra-001	38.15
106.118	3.08	87	2018-08-17T17:58:23.641360045Z	77.23	9.166	38.15	1.16	3.11	cassandra-001	38.15
217.721	1.16	88	2018-08-17T17:58:30.648922582Z	77.23	23.426	38.15	10.56	3.09	cassandra-001	38.15
111.57	10.56	90	2018-08-17T17:58:37.658973703Z	77.23	11.659	38.15	1.2	4.63	cassandra-001	38.15
113.239	1.2	91	2018-08-17T17:58:44.670136835Z	77.23	11.012	38.15	1.26	3.06	cassandra-001	38.15
229.622	1.26	92	2018-08-17T17:58:51.68119935Z	77.23	22.102	38.15	1.27	3.08	cassandra-001	38.15
113.668	1.27	94	2018-08-17T17:58:58.688122461Z	77.23	10.958	38.15	1.11	3.09	cassandra-001	38.15
236.39	1.11	95	2018-08-17T17:59:05.69517342Z	77.23	23.353	38.15	10.67	2.76	cassandra-001	38.15
