net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
18152940.75	0	0	2018-08-17T23:34:19.955892801Z	89.34	18678060.008	15.93	1.35	nan	kafka-001	15.93
2.49	1.35	0	2018-08-17T23:34:26.968075294Z	89.34	1.424	15.93	1.66	nan	kafka-001	15.93
2.607	1.66	0	2018-08-17T23:34:33.979961457Z	89.34	1.44	15.93	2.28	nan	kafka-001	15.93
2.964	2.28	0	2018-08-17T23:34:40.992637462Z	89.34	1.724	15.93	1.97	nan	kafka-001	15.93
2.751	1.97	0	2018-08-17T23:34:48.004537197Z	89.34	1.604	15.93	1.32	nan	kafka-001	15.93
3.098	1.32	0	2018-08-17T23:34:55.017321654Z	89.34	1.698	15.93	1.75	1.43	kafka-001	15.93
3.399	1.75	0	2018-08-17T23:35:02.027500428Z	89.35	2.116	15.93	1.36	1.72	kafka-001	15.93
2.759	1.36	0	2018-08-17T23:35:09.038357117Z	89.34	1.772	15.93	2.29	1.72	kafka-001	15.93
2.412	2.29	0	2018-08-17T23:35:16.048566123Z	89.34	1.404	15.93	1.48	1.83	kafka-001	15.93
2.251	1.48	0	2018-08-17T23:35:23.063448757Z	89.34	1.36	15.93	1.64	1.7	kafka-001	15.93
2.922	1.64	0	2018-08-17T23:35:30.07637839Z	89.34	1.682	15.93	1.78	1.64	kafka-001	15.93
1.865	1.78	0	2018-08-17T23:35:37.087611769Z	89.34	1.052	15.93	1.61	1.72	kafka-001	15.93
