memory_rss%	host_moving_avg_cpu	name	sensor_count	host_cpu	container_cpu%	net_receive	memory%	timestamp	net_send	memory_active_anon%
30.23	nan	kafka-001	2	0	3.35	84186637.633	88.22	2019-04-23T08:08:24.523687518Z	726802.587	30.23
30.23	nan	kafka-001	6	3.35	4.14	49.62	88.22	2019-04-23T08:08:31.534881132Z	57.364	30.23
30.23	nan	kafka-001	10	4.14	4.36	62.999	88.22	2019-04-23T08:08:38.544523461Z	59.123	30.23
30.23	nan	kafka-001	13	4.36	14.27	9460.724	87.55	2019-04-23T08:08:45.554846058Z	121.556	30.23
30.23	nan	kafka-001	17	14.27	12.39	12635.153	87.85	2019-04-23T08:08:52.56418858Z	117.399	30.23
30.23	6.42	kafka-001	20	12.39	11.2	12297.511	88.15	2019-04-23T08:08:59.574947546Z	127.061	30.23
30.23	8.29	kafka-001	23	11.2	17.34	15910.692	87.62	2019-04-23T08:09:06.584733418Z	189.039	30.23
30.23	10.62	kafka-001	25	17.34	20.34	25252.075	88.22	2019-04-23T08:09:13.594751308Z	182.904	30.23
30.23	13.32	kafka-001	28	20.34	21.42	23955.017	87.89	2019-04-23T08:09:20.606680899Z	235.502	30.23
30.23	16.16	kafka-001	31	21.42	20.27	24566.594	87.58	2019-04-23T08:09:27.61777681Z	193.762	30.23
30.23	17.16	kafka-001	33	20.27	23.96	26075.859	88.21	2019-04-23T08:09:34.629070637Z	214.598	30.23
30.23	19.09	kafka-001	36	23.96	24.63	35366.726	88.15	2019-04-23T08:09:41.641219433Z	302.982	30.23
30.23	21.33	kafka-001	38	24.63	27.62	34926.904	88.09	2019-04-23T08:09:48.652783549Z	245.576	30.23
30.23	23.04	kafka-001	40	27.62	33.58	36196.611	88.05	2019-04-23T08:09:55.675098734Z	326.358	30.23
30.23	25.25	kafka-001	42	33.58	26.25	35163.423	87.99	2019-04-23T08:10:02.684391928Z	267.936	30.23
30.23	26.05	kafka-001	45	26.25	41.69	39333.89	88.04	2019-04-23T08:10:09.694491403Z	279.934	30.23
30.23	29.62	kafka-001	47	41.69	33.17	45725.993	88.23	2019-04-23T08:10:16.705527083Z	385.9	30.23
30.23	31.16	kafka-001	49	33.17	32.11	44911.228	87.5	2019-04-23T08:10:23.717359663Z	306.652	30.23
30.23	32.4	kafka-001	50	32.11	36.48	45239.654	87.68	2019-04-23T08:10:30.72870694Z	405.628	30.23
30.23	33.88	kafka-001	52	36.48	42.82	45189.91	87.86	2019-04-23T08:10:37.739155091Z	326.101	30.23
30.23	35.42	kafka-001	54	42.82	35.0	44479.369	87.92	2019-04-23T08:10:44.750714643Z	327.279	30.23
30.23	36.88	kafka-001	56	35.0	38.23	52325.173	87.37	2019-04-23T08:10:51.763131136Z	457.624	30.23
30.23	36.3	kafka-001	58	38.23	39.34	54274.681	87.66	2019-04-23T08:10:58.776619771Z	364.744	30.23
30.23	37.33	kafka-001	59	39.34	43.37	55808.942	88.09	2019-04-23T08:11:05.786801423Z	475.747	30.23
