container_cpu%	timestamp	memory%	net_send	host_moving_avg_cpu	net_receive	host_cpu	memory_active_anon%	name	memory_rss%	sensor_count
3.18	2019-04-23T20:58:39.993629647Z	87.7	353143.303	nan	39000258.587	0	30.38	kafka-001	30.38	2
3.81	2019-04-23T20:58:47.003820798Z	87.71	54.474	nan	47.892	3.18	30.38	kafka-001	30.38	6
6.38	2019-04-23T20:58:54.015728009Z	87.71	56.889	nan	60.295	3.81	30.38	kafka-001	30.38	10
12.78	2019-04-23T20:59:01.025870303Z	87.91	119.763	nan	8504.686	6.38	30.38	kafka-001	30.38	13
11.93	2019-04-23T20:59:08.038020959Z	88.22	117.767	nan	13004.149	12.78	30.38	kafka-001	30.38	17
24.26	2019-04-23T20:59:15.047960899Z	87.63	131.823	6.35	12494.139	11.93	30.38	kafka-001	30.38	20
15.82	2019-04-23T20:59:22.058998836Z	87.98	177.696	10.39	14791.135	24.26	30.38	kafka-001	30.38	22
20.49	2019-04-23T20:59:29.071564272Z	87.68	182.585	12.5	24904.366	15.82	30.38	kafka-001	30.38	25
17.63	2019-04-23T20:59:36.084174067Z	88.25	236.767	15.28	23881.523	20.49	30.38	kafka-001	30.38	28
28.82	2019-04-23T20:59:43.094621758Z	87.93	193.521	17.15	24210.265	17.63	30.38	kafka-001	30.38	30
21.01	2019-04-23T20:59:50.103748079Z	87.6	261.577	19.82	23869.902	28.82	30.38	kafka-001	30.38	33
25.21	2019-04-23T20:59:57.115708365Z	87.54	239.36	21.34	35304.573	21.01	30.38	kafka-001	30.38	35
29.13	2019-04-23T21:00:04.126894615Z	87.48	245.924	21.5	34527.969	25.21	30.39	kafka-001	30.39	37
25.06	2019-04-23T21:00:11.138361223Z	87.41	321.151	23.72	34669.586	29.13	30.39	kafka-001	30.39	39
27.44	2019-04-23T21:00:18.149567085Z	88.24	258.371	24.48	34940.739	25.06	30.39	kafka-001	30.39	41
31.88	2019-04-23T21:00:25.179417627Z	88.18	342.48	26.11	35059.596	27.44	30.39	kafka-001	30.39	44
32.23	2019-04-23T21:00:32.190840425Z	87.45	302.644	26.62	44547.437	31.88	30.39	kafka-001	30.39	46
32.33	2019-04-23T21:00:39.200503161Z	87.62	303.237	28.49	44679.216	32.23	30.39	kafka-001	30.39	48
31.13	2019-04-23T21:00:46.213214023Z	87.77	401.144	29.68	43677.717	32.33	30.39	kafka-001	30.39	50
34.47	2019-04-23T21:00:53.223090907Z	87.96	320.411	30.01	45591.185	31.13	30.39	kafka-001	30.39	52
35.12	2019-04-23T21:01:00.234566093Z	88.11	415.828	31.58	43946.466	34.47	30.39	kafka-001	30.39	54
38.91	2019-04-23T21:01:07.24561458Z	87.49	349.794	32.86	49371.085	35.12	30.39	kafka-001	30.39	55
34.81	2019-04-23T21:01:14.2566937Z	87.79	351.492	34.03	50028.02	38.91	30.39	kafka-001	30.39	57
39.4	2019-04-23T21:01:21.269597555Z	87.91	472.255	34.46	55550.078	34.81	30.39	kafka-001	30.39	59
38.53	2019-04-23T21:01:28.279525008Z	87.41	378.44	35.64	54648.784	39.4	30.39	kafka-001	30.39	61
42.41	2019-04-23T21:01:35.293024252Z	87.76	486.683	36.87	54414.27	38.53	30.39	kafka-001	30.39	62
35.62	2019-04-23T21:01:42.305597894Z	87.95	385.054	38.2	54198.202	42.41	30.39	kafka-001	30.39	64
39.99	2019-04-23T21:01:49.323612807Z	87.24	392.694	38.28	54904.049	35.62	30.39	kafka-001	30.39	66
40.17	2019-04-23T21:01:56.336640071Z	87.67	546.864	38.46	59477.662	39.99	30.39	kafka-001	30.39	67
43.48	2019-04-23T21:02:03.347682231Z	88.12	424.913	39.35	60843.853	40.17	30.39	kafka-001	30.39	69
39.47	2019-04-23T21:02:10.357788555Z	87.67	539.108	40.03	60562.862	43.48	30.39	kafka-001	30.39	70
42.84	2019-04-23T21:02:17.368845074Z	88.22	434.312	40.19	60625.608	39.47	30.39	kafka-001	30.39	72
39.62	2019-04-23T21:02:24.379813628Z	87.84	430.288	40.26	59054.373	42.84	30.39	kafka-001	30.39	73
49.46	2019-04-23T21:02:31.395724161Z	88.24	571.288	40.93	63406.934	39.62	30.39	kafka-001	30.39	75
45.26	2019-04-23T21:02:38.407455243Z	88.07	463.65	42.51	67960.544	49.46	30.39	kafka-001	30.39	76
54.37	2019-04-23T21:02:45.421832071Z	87.96	604.719	43.35	70428.828	45.26	30.39	kafka-001	30.39	77
46.89	2019-04-23T21:02:52.432941439Z	88.0	492.539	45.17	76923.823	54.37	30.39	kafka-001	30.39	79
61.49	2019-04-23T21:02:59.444828207Z	88.02	498.041	46.41	74613.083	46.89	30.44	kafka-001	30.44	80
43.91	2019-04-23T21:03:06.45674943Z	87.81	640.674	49.51	77433.443	61.49	30.44	kafka-001	30.44	82
56.1	2019-04-23T21:03:13.467573862Z	87.83	506.937	50.23	75554.067	43.91	30.44	kafka-001	30.44	83
51.19	2019-04-23T21:03:20.479303483Z	87.85	652.858	51.34	75697.429	56.1	30.44	kafka-001	30.44	85
63.32	2019-04-23T21:03:27.492032315Z	87.84	513.408	52.32	76651.663	51.19	30.44	kafka-001	30.44	86
56.64	2019-04-23T21:03:34.504197578Z	87.85	514.606	53.82	75412.544	63.32	30.44	kafka-001	30.44	87
57.73	2019-04-23T21:03:41.516084056Z	87.94	665.511	55.44	78566.434	56.64	30.44	kafka-001	30.44	89
50.85	2019-04-23T21:03:48.526245264Z	87.97	520.735	54.81	76943.2	57.73	30.44	kafka-001	30.44	90
67.87	2019-04-23T21:03:55.540630247Z	87.92	675.55	55.97	76777.571	50.85	30.44	kafka-001	30.44	91
55.36	2019-04-23T21:04:02.553009688Z	88.0	537.238	57.93	78339.633	67.87	30.45	kafka-001	30.45	93
48.94	2019-04-23T21:04:09.563022127Z	87.82	536.959	58.63	76658.768	55.36	30.45	kafka-001	30.45	94
53.23	2019-04-23T21:04:16.575353873Z	87.87	694.301	56.23	77408.358	48.94	30.45	kafka-001	30.45	95
59.63	2019-04-23T21:04:23.586454633Z	87.83	547.387	55.66	77551.847	53.23	30.45	kafka-001	30.45	97
55.54	2019-04-23T21:04:30.596202055Z	87.63	705.542	55.98	77730.43	59.63	30.45	kafka-001	30.45	98
57.79	2019-04-23T21:04:37.609172354Z	87.56	546.063	56.76	74343.116	55.54	30.45	kafka-001	30.45	99
61.57	2019-04-23T21:04:44.617624279Z	87.6	557.176	55.08	78774.942	57.79	30.45	kafka-001	30.45	100
58.48	2019-04-23T21:04:51.628498004Z	87.69	730.047	56.12	78894.61	61.57	30.45	kafka-001	30.45	101
53.92	2019-04-23T21:04:58.637868105Z	87.5	567.816	57.71	78114.721	58.48	30.45	kafka-001	30.45	103
62.82	2019-04-23T21:05:05.647224719Z	87.53	750.3	57.82	76534.002	53.92	30.45	kafka-001	30.45	104
56.04	2019-04-23T21:05:12.654460338Z	87.61	584.563	58.35	78359.814	62.82	30.45	kafka-001	30.45	105
62.06	2019-04-23T21:05:19.667522923Z	87.69	586.991	58.44	78357.281	56.04	30.45	kafka-001	30.45	106
52.51	2019-04-23T21:05:26.675020685Z	87.8	776.956	59.15	79140.582	62.06	30.45	kafka-001	30.45	108
51.16	2019-04-23T21:05:33.682770639Z	87.73	589.687	57.64	76732.086	52.51	30.45	kafka-001	30.45	109
55.36	2019-04-23T21:05:40.690486369Z	87.78	776.776	56.42	77135.633	51.16	30.45	kafka-001	30.45	110
61.57	2019-04-23T21:05:47.701373034Z	87.88	605.905	56.66	79480.754	55.36	30.45	kafka-001	30.45	111
66.23	2019-04-23T21:05:54.711821023Z	87.96	595.09	56.45	78150.021	61.57	30.45	kafka-001	30.45	112
56.3	2019-04-23T21:06:01.7220872Z	88.04	791.906	58.15	78642.131	66.23	30.45	kafka-001	30.45	113
