memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
38.03	88.3	0	1273.787	0	cassandra-001	2018-08-18T23:59:53.436979821Z	35.14	nan	38.03	679.848
38.03	89.7	0	0.0	35.14	cassandra-001	2018-08-19T00:00:00.445125877Z	2.29	nan	38.03	0.0
38.02	92.03	0	0.342	2.29	cassandra-001	2018-08-19T00:00:07.454145472Z	42.72	nan	38.02	0.282
38.02	92.06	0	0.0	42.72	cassandra-001	2018-08-19T00:00:14.462361205Z	33.16	nan	38.02	0.0
38.02	92.3	0	0.0	33.16	cassandra-001	2018-08-19T00:00:21.470932382Z	37.46	nan	38.02	0.0
38.02	92.02	0	0.0	37.46	cassandra-001	2018-08-19T00:00:28.47931908Z	53.72	25.13	38.02	0.0
38.02	91.99	0	0.342	53.72	cassandra-001	2018-08-19T00:00:35.485626399Z	4.14	34.08	38.02	0.282
38.02	92.14	0	0.0	4.14	cassandra-001	2018-08-19T00:00:42.492959771Z	34.01	28.92	38.02	0.0
38.02	92.01	0	0.0	34.01	cassandra-001	2018-08-19T00:00:49.500012164Z	43.84	34.2	38.02	0.0
38.02	92.12	0	0.0	43.84	cassandra-001	2018-08-19T00:00:56.509068065Z	40.48	34.39	38.02	0.0
38.02	92.16	0	0.342	40.48	cassandra-001	2018-08-19T00:01:03.516827183Z	45.38	35.61	38.02	0.282
38.02	91.88	0	0.0	45.38	cassandra-001	2018-08-19T00:01:10.525578128Z	28.04	36.93	38.02	0.0
