memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
15.95	88.91	0	18686771.171	0	kafka-001	2018-08-18T22:18:22.456446251Z	1.65	nan	15.95	18168178.706
15.95	88.91	0	1.31	1.65	kafka-001	2018-08-18T22:18:29.468038222Z	1.45	nan	15.95	2.065
15.95	88.91	0	1.581	1.45	kafka-001	2018-08-18T22:18:36.480382718Z	1.74	nan	15.95	2.666
15.95	88.91	0	1.352	1.74	kafka-001	2018-08-18T22:18:43.491200901Z	2.44	nan	15.95	2.339
15.95	88.91	0	1.51	2.44	kafka-001	2018-08-18T22:18:50.504096209Z	1.99	nan	15.95	2.634
15.95	88.91	0	1.298	1.99	kafka-001	2018-08-18T22:18:57.515436668Z	1.52	1.54	15.95	2.131
15.95	88.91	0	1.728	1.52	kafka-001	2018-08-18T22:19:04.529784047Z	1.59	1.8	15.95	2.657
15.95	88.91	0	2.058	1.59	kafka-001	2018-08-18T22:19:11.541214195Z	1.69	1.79	15.95	3.24
15.95	88.91	0	1.298	1.69	kafka-001	2018-08-18T22:19:18.553493805Z	2.59	1.83	15.95	2.131
15.95	88.91	0	1.552	2.59	kafka-001	2018-08-18T22:19:25.566708876Z	1.95	1.97	15.95	2.676
15.95	88.91	0	1.31	1.95	kafka-001	2018-08-18T22:19:32.580454764Z	1.72	1.89	15.95	2.297
15.95	88.91	0	1.232	1.72	kafka-001	2018-08-18T22:19:39.594412122Z	1.56	1.84	15.95	2.065
