host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.39	737090.778	2018-08-18T01:24:01.239821827Z	73.88	4699016.346	0	1.18	1	38.39
nan	cassandra-001	38.39	0.171	2018-08-18T01:24:08.246565615Z	73.88	0.141	1.18	1.01	4	38.39
nan	cassandra-001	38.39	0.0	2018-08-18T01:24:15.253369363Z	73.9	0.0	1.01	12.64	8	38.39
nan	cassandra-001	38.39	0.0	2018-08-18T01:24:22.260789744Z	73.95	0.0	12.64	24.13	12	38.39
nan	cassandra-001	38.39	0.171	2018-08-18T01:24:29.268748024Z	74.02	0.141	24.13	20.23	15	38.39
9.86	cassandra-001	38.39	0.171	2018-08-18T01:24:36.275224399Z	74.11	0.141	20.23	18.21	18	38.39
12.9	cassandra-001	38.39	0.0	2018-08-18T01:24:43.285129548Z	74.21	0.0	18.21	32.31	22	38.39
18.09	cassandra-001	38.38	0.0	2018-08-18T01:24:50.292102007Z	74.32	0.0	32.31	30.47	25	38.38
23.0	cassandra-001	38.38	0.171	2018-08-18T01:24:57.298662081Z	74.46	0.141	30.47	33.9	28	38.38
26.54	cassandra-001	38.38	0.0	2018-08-18T01:25:04.305261323Z	74.62	0.0	33.9	32.91	31	38.38
28.0	cassandra-001	38.38	0.171	2018-08-18T01:25:11.315285542Z	74.78	0.141	32.91	46.77	33	38.38
32.43	cassandra-001	38.38	0.0	2018-08-18T01:25:18.322615099Z	74.97	0.0	46.77	45.92	36	38.38
37.05	cassandra-001	38.38	0.171	2018-08-18T01:25:25.331248604Z	75.16	0.141	45.92	47.89	38	38.38
39.64	cassandra-001	38.38	0.0	2018-08-18T01:25:32.34098364Z	75.36	0.0	47.89	57.92	41	38.38
44.22	cassandra-001	38.38	0.171	2018-08-18T01:25:39.350229603Z	75.58	0.141	57.92	50.37	43	38.38
46.96	cassandra-001	38.38	0.0	2018-08-18T01:25:46.358608388Z	75.81	0.0	50.37	58.4	45	38.38
51.21	cassandra-001	38.38	0.171	2018-08-18T01:25:53.364621367Z	76.81	0.141	58.4	84.81	47	38.38
57.55	cassandra-001	38.38	0.0	2018-08-18T01:26:00.372683677Z	78.47	0.0	84.81	84.35	49	38.38
63.96	cassandra-001	38.38	0.171	2018-08-18T01:26:07.383637495Z	80.14	0.141	84.35	118.28	51	38.38
75.69	cassandra-001	38.37	0.0	2018-08-18T01:26:14.390986939Z	81.8	0.0	118.28	93.51	53	38.37
81.62	cassandra-001	38.36	0.0	2018-08-18T01:26:21.398304156Z	82.38	0.0	93.51	65.72	55	38.36
84.18	cassandra-001	38.36	0.171	2018-08-18T01:26:28.404783142Z	77.48	0.141	65.72	58.33	57	38.36
84.17	cassandra-001	38.33	0.171	2018-08-18T01:26:35.411605001Z	77.76	0.141	58.33	60.18	59	38.33
80.06	cassandra-001	38.33	0.0	2018-08-18T01:26:42.424169909Z	79.36	0.0	60.18	75.81	61	38.33
78.64	cassandra-001	38.33	0.0	2018-08-18T01:26:49.433114719Z	78.88	0.0	75.81	63.51	62	38.33
69.51	cassandra-001	38.33	0.171	2018-08-18T01:26:56.439814332Z	79.19	0.141	63.51	53.13	64	38.33
62.78	cassandra-001	38.33	0.0	2018-08-18T01:27:03.44893505Z	79.54	0.0	53.13	67.9	66	38.33
63.14	cassandra-001	38.33	0.171	2018-08-18T01:27:10.4573477Z	79.86	0.141	67.9	62.35	67	38.33
63.81	cassandra-001	38.33	0.0	2018-08-18T01:27:17.463613738Z	80.22	0.0	62.35	65.74	69	38.33
64.74	cassandra-001	38.33	0.171	2018-08-18T01:27:24.4718137Z	80.26	0.141	65.74	70.9	71	38.33
63.92	cassandra-001	38.33	0.0	2018-08-18T01:27:31.478751581Z	80.64	0.0	70.9	76.51	72	38.33
66.09	cassandra-001	38.33	60.066	2018-08-18T01:27:38.485107302Z	81.01	3.04	76.51	70.92	74	38.33
69.05	cassandra-001	38.33	0.0	2018-08-18T01:27:45.493088358Z	81.39	0.0	70.92	73.37	75	38.33
69.97	cassandra-001	38.33	0.0	2018-08-18T01:27:52.499088875Z	81.78	0.0	73.37	74.25	77	38.33
71.95	cassandra-001	38.33	0.0	2018-08-18T01:27:59.508107141Z	83.48	0.0	74.25	126.38	78	38.33
82.06	cassandra-001	38.34	0.342	2018-08-18T01:28:06.5201071Z	82.68	0.282	126.38	79.87	80	38.34
83.55	cassandra-001	38.34	59.763	2018-08-18T01:28:13.528025942Z	83.1	2.899	79.87	78.82	81	38.34
83.94	cassandra-001	38.34	0.0	2018-08-18T01:28:20.534536759Z	83.52	0.0	78.82	76.02	83	38.34
84.79	cassandra-001	38.33	0.0	2018-08-18T01:28:27.543412324Z	83.94	0.0	76.02	89.51	84	38.33
87.48	cassandra-001	38.34	0.0	2018-08-18T01:28:34.54967159Z	84.63	0.0	89.51	96.14	85	38.34
91.12	cassandra-001	38.34	0.342	2018-08-18T01:28:41.556663172Z	86.55	0.282	96.14	132.39	87	38.34
92.13	cassandra-001	38.34	0.0	2018-08-18T01:28:48.567004296Z	88.4	0.0	132.39	114.13	88	38.34
97.84	cassandra-001	38.34	0.0	2018-08-18T01:28:55.573243845Z	90.26	0.0	114.13	123.18	89	38.34
105.23	cassandra-001	38.33	0.0	2018-08-18T01:29:02.579708281Z	91.39	0.0	123.18	85.22	90	38.33
106.76	cassandra-001	38.34	0.0	2018-08-18T01:29:09.587599784Z	85.95	0.0	85.22	73.86	92	38.34
104.15	cassandra-001	38.36	0.342	2018-08-18T01:29:16.595251223Z	86.44	0.282	73.86	94.62	93	38.36
103.9	cassandra-001	38.33	0.0	2018-08-18T01:29:23.60546761Z	86.88	0.0	94.62	96.78	94	38.33
97.97	cassandra-001	38.33	0.0	2018-08-18T01:29:30.61377231Z	87.36	0.0	96.78	93.77	96	38.33
94.57	cassandra-001	38.3	0.0	2018-08-18T01:29:37.620159469Z	87.52	0.0	93.77	91.39	97	38.3
89.27	cassandra-001	38.3	0.342	2018-08-18T01:29:44.626410504Z	87.99	0.282	91.39	106.97	98	38.3
92.9	cassandra-001	38.3	0.0	2018-08-18T01:29:51.63598743Z	88.48	0.0	106.97	80.44	99	38.3
94.0	cassandra-001	38.3	0.0	2018-08-18T01:29:58.644205498Z	88.98	0.0	80.44	91.37	100	38.3
93.45	cassandra-001	38.3	0.0	2018-08-18T01:30:05.650656179Z	89.18	0.0	91.37	92.45	102	38.3
92.73	cassandra-001	38.3	0.342	2018-08-18T01:30:12.65857748Z	89.7	0.282	92.45	72.59	103	38.3
89.2	cassandra-001	38.3	0.0	2018-08-18T01:30:19.667123497Z	90.23	0.0	72.59	95.21	104	38.3
89.84	cassandra-001	38.3	0.0	2018-08-18T01:30:26.674239943Z	90.76	0.0	95.21	92.36	105	38.3
87.4	cassandra-001	38.3	0.0	2018-08-18T01:30:33.681832827Z	92.47	0.0	92.36	121.29	107	38.3
94.21	cassandra-001	38.3	0.342	2018-08-18T01:30:40.688834565Z	92.74	0.282	121.29	125.13	108	38.3
99.84	cassandra-001	38.3	0.0	2018-08-18T01:30:47.695833314Z	92.67	0.0	125.13	124.9	109	38.3
105.25	cassandra-001	38.3	0.0	2018-08-18T01:30:54.708414382Z	92.51	0.0	124.9	166.49	110	38.3
120.9	cassandra-001	38.3	0.0	2018-08-18T01:31:01.714647735Z	92.6	0.0	166.49	84.05	111	38.3
119.04	cassandra-001	38.3	0.0	2018-08-18T01:31:08.722630382Z	87.19	0.0	84.05	91.42	112	38.3
118.88	cassandra-001	38.3	0.342	2018-08-18T01:31:15.72958457Z	87.77	0.282	91.42	87.75	114	38.3
113.29	cassandra-001	38.3	0.0	2018-08-18T01:31:22.736621773Z	88.84	0.0	87.75	107.2	115	38.3
110.3	cassandra-001	38.3	0.0	2018-08-18T01:31:29.74904109Z	89.42	0.0	107.2	92.02	116	38.3
104.82	cassandra-001	38.3	0.0	2018-08-18T01:31:36.765657732Z	90.02	0.0	92.02	86.3	117	38.3
91.46	cassandra-001	38.3	0.342	2018-08-18T01:31:43.772044613Z	91.91	0.282	86.3	193.92	118	38.3
109.77	cassandra-001	38.3	0.0	2018-08-18T01:31:50.778515893Z	90.91	0.0	193.92	92.07	119	38.3
109.88	cassandra-001	38.3	0.0	2018-08-18T01:31:57.787033049Z	91.53	0.0	92.07	107.99	120	38.3
113.25	cassandra-001	38.3	0.0	2018-08-18T01:32:04.797238231Z	92.15	0.0	107.99	102.98	121	38.3
112.55	cassandra-001	38.3	0.342	2018-08-18T01:32:11.804114982Z	92.61	0.282	102.98	131.82	122	38.3
119.18	cassandra-001	38.3	0.0	2018-08-18T01:32:18.813138005Z	92.64	0.0	131.82	132.24	124	38.3
126.84	cassandra-001	38.3	0.0	2018-08-18T01:32:25.821697125Z	92.69	0.0	132.24	130.2	125	38.3
116.22	cassandra-001	38.33	0.0	2018-08-18T01:32:32.829093988Z	91.51	0.0	130.2	122.92	126	38.33
121.36	cassandra-001	38.32	0.0	2018-08-18T01:32:39.838335842Z	87.54	0.0	122.92	135.29	127	38.32
125.91	cassandra-001	38.3	0.342	2018-08-18T01:32:46.844686142Z	89.57	0.282	135.29	125.56	128	38.3
129.67	cassandra-001	38.3	0.0	2018-08-18T01:32:53.850911529Z	91.71	0.0	125.56	141.73	129	38.3
131.32	cassandra-001	38.3	0.0	2018-08-18T01:33:00.859540809Z	92.78	0.0	141.73	136.48	129	38.3
132.03	cassandra-001	38.3	0.0	2018-08-18T01:33:07.868047201Z	92.8	0.0	136.48	121.48	129	38.3
130.58	cassandra-001	38.3	0.342	2018-08-18T01:33:14.874670633Z	92.66	0.282	121.48	140.25	129	38.3
133.47	cassandra-001	38.3	0.0	2018-08-18T01:33:21.8820341Z	92.77	0.0	140.25	121.92	129	38.3
131.24	cassandra-001	38.3	0.0	2018-08-18T01:33:28.887866531Z	92.51	0.0	121.92	160.09	129	38.3
136.99	cassandra-001	38.31	0.0	2018-08-18T01:33:35.89450231Z	92.64	0.0	160.09	99.9	129	38.31
130.02	cassandra-001	38.31	0.342	2018-08-18T01:33:42.901418188Z	92.64	0.282	99.9	97.46	129	38.31
123.52	cassandra-001	38.31	0.0	2018-08-18T01:33:49.90982178Z	92.43	0.0	97.46	143.92	129	38.31
127.26	cassandra-001	38.31	0.0	2018-08-18T01:33:56.917940619Z	92.78	0.0	143.92	119.16	129	38.31
123.74	cassandra-001	38.31	0.0	2018-08-18T01:34:03.924934515Z	92.42	0.0	119.16	125.4	129	38.31
124.32	cassandra-001	38.31	0.342	2018-08-18T01:34:10.932881422Z	92.68	0.282	125.4	137.7	129	38.31
120.59	cassandra-001	38.31	0.0	2018-08-18T01:34:17.93982039Z	92.56	0.0	137.7	112.88	129	38.31
