host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18679257.712	2018-08-18T01:24:01.776124173Z	89.1	18154921.225	0	1.69	1	15.93
nan	kafka-001	15.93	1.232	2018-08-18T01:24:08.78783994Z	89.1	2.065	1.69	2.11	5	15.93
nan	kafka-001	15.93	1.424	2018-08-18T01:24:15.801639656Z	89.1	2.49	2.11	1.79	8	15.93
nan	kafka-001	15.93	1.31	2018-08-18T01:24:22.815525329Z	89.1	2.297	1.79	1.28	12	15.93
nan	kafka-001	15.93	1.36	2018-08-18T01:24:29.826979907Z	89.1	2.251	1.28	1.49	16	15.93
1.39	kafka-001	15.93	1.338	2018-08-18T01:24:36.838168693Z	89.1	2.346	1.49	1.65	19	15.93
1.67	kafka-001	15.93	1.838	2018-08-18T01:24:43.855052885Z	89.1	2.825	1.65	2.32	22	15.93
1.77	kafka-001	15.93	2.058	2018-08-18T01:24:50.868451951Z	89.1	3.24	2.32	1.88	25	15.93
1.74	kafka-001	15.93	1.254	2018-08-18T01:24:57.882492504Z	89.1	2.029	1.88	1.9	28	15.93
1.75	kafka-001	15.93	1.404	2018-08-18T01:25:04.892375447Z	89.1	2.353	1.9	1.06	31	15.93
1.72	kafka-001	15.93	2.214	2018-08-18T01:25:11.903974297Z	89.1	3.664	1.06	1.74	34	15.93
1.76	kafka-001	15.93	1.56	2018-08-18T01:25:18.923807487Z	89.1	2.649	1.74	2.51	36	15.93
1.9	kafka-001	15.93	1.424	2018-08-18T01:25:25.935055847Z	89.1	2.49	2.51	1.98	39	15.93
1.84	kafka-001	15.93	1.31	2018-08-18T01:25:32.946597971Z	89.1	2.297	1.98	1.55	41	15.93
1.79	kafka-001	15.93	1.384	2018-08-18T01:25:39.957344075Z	89.1	2.275	1.55	1.67	43	15.93
1.75	kafka-001	15.93	1.446	2018-08-18T01:25:46.968406537Z	89.1	2.454	1.67	1.55	45	15.93
1.83	kafka-001	15.93	1.508	2018-08-18T01:25:53.980535697Z	89.1	2.495	1.55	2.3	48	15.93
1.93	kafka-001	15.93	2.058	2018-08-18T01:26:00.991966543Z	89.1	3.24	2.3	1.98	50	15.93
1.84	kafka-001	15.93	1.542	2018-08-18T01:26:08.003552949Z	89.1	2.317	1.98	1.68	52	15.93
1.79	kafka-001	15.93	1.99	2018-08-18T01:26:15.015409832Z	89.1	3.362	1.68	2.09	53	15.93
1.88	kafka-001	15.93	1.31	2018-08-18T01:26:22.027541503Z	89.1	2.297	2.09	1.6	55	15.93
