host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.51	38.19	cassandra-001	nan	38.51	2018-08-18T03:59:31.366532858Z	737555.625	91.99	2	4699121.559
38.19	38.51	39.93	cassandra-001	nan	38.51	2018-08-18T03:59:38.37335169Z	0.0	91.95	5	0.0
39.93	38.51	58.18	cassandra-001	nan	38.51	2018-08-18T03:59:45.383550683Z	0.342	91.93	10	0.282
58.18	38.51	55.69	cassandra-001	nan	38.51	2018-08-18T03:59:52.389775557Z	0.0	91.96	13	0.0
55.69	38.51	91.62	cassandra-001	nan	38.51	2018-08-18T03:59:59.397259174Z	0.0	92.08	17	0.0
91.62	38.51	148.79	cassandra-001	47.27	38.51	2018-08-18T04:00:06.403779058Z	0.0	91.96	20	0.0
148.79	38.51	65.12	cassandra-001	72.07	38.51	2018-08-18T04:00:13.410632975Z	0.342	92.11	24	0.282
65.12	38.51	62.7	cassandra-001	76.55	38.51	2018-08-18T04:00:20.416981319Z	0.0	91.94	26	0.0
62.7	38.55	72.17	cassandra-001	80.35	38.55	2018-08-18T04:00:27.428188697Z	0.0	91.99	29	0.0
72.17	38.52	46.86	cassandra-001	82.68	38.52	2018-08-18T04:00:34.438036424Z	0.0	92.02	32	0.0
46.86	38.52	73.83	cassandra-001	81.21	38.52	2018-08-18T04:00:41.445269193Z	0.171	92.06	35	0.141
73.83	38.52	78.62	cassandra-001	78.24	38.52	2018-08-18T04:00:48.45534047Z	0.171	92.16	37	0.141
78.62	38.49	82.11	cassandra-001	66.55	38.49	2018-08-18T04:00:55.462207672Z	0.0	92.13	40	0.0
82.11	38.49	100.98	cassandra-001	69.38	38.49	2018-08-18T04:01:02.470235325Z	0.0	92.1	42	0.0
100.98	38.48	53.29	cassandra-001	75.76	38.48	2018-08-18T04:01:09.484199234Z	0.0	92.23	44	0.0
53.29	38.48	86.63	cassandra-001	72.61	38.48	2018-08-18T04:01:16.494182265Z	0.342	92.15	47	0.282
86.63	38.48	178.19	cassandra-001	79.24	38.48	2018-08-18T04:01:23.500482571Z	0.0	91.96	49	0.0
178.19	38.48	81.68	cassandra-001	96.64	38.48	2018-08-18T04:01:30.511037844Z	0.0	92.16	51	0.0
81.68	38.48	56.58	cassandra-001	97.15	38.48	2018-08-18T04:01:37.517654542Z	0.0	92.04	53	0.0
56.58	38.49	83.77	cassandra-001	92.89	38.49	2018-08-18T04:01:44.525077203Z	0.342	92.02	54	0.282
83.77	38.49	100.79	cassandra-001	90.02	38.49	2018-08-18T04:01:51.533022305Z	0.0	92.16	56	0.0
100.79	38.49	96.4	cassandra-001	97.94	38.49	2018-08-18T04:01:58.542048752Z	0.0	92.06	58	0.0
