name	memory%	timestamp	host_moving_avg_cpu	sensor_count	net_send	host_cpu	net_receive	memory_rss%	memory_active_anon%	container_cpu%
cassandra-001	31.35	2018-08-18T04:38:32.510641552Z	nan	2	180.344	0	9.859	29.44	29.44	22.44
cassandra-001	31.44	2018-08-18T04:38:39.519358501Z	nan	7	0.0	22.44	0.0	29.51	29.51	57.81
cassandra-001	31.42	2018-08-18T04:38:46.525814447Z	nan	11	0.0	57.81	0.0	29.44	29.44	24.37
cassandra-001	31.48	2018-08-18T04:38:53.534078702Z	nan	15	0.0	24.37	0.0	29.44	29.44	35.54
cassandra-001	31.55	2018-08-18T04:39:00.54154006Z	nan	18	0.0	35.54	0.0	29.42	29.42	25.35
cassandra-001	31.64	2018-08-18T04:39:07.5513148Z	27.58	21	0.342	25.35	0.282	29.41	29.41	31.01
cassandra-001	31.81	2018-08-18T04:39:14.5596999Z	32.75	24	0.0	31.01	0.0	29.46	29.46	57.72
cassandra-001	31.94	2018-08-18T04:39:21.567818952Z	38.63	27	0.0	57.72	0.0	29.45	29.45	37.86
cassandra-001	32.1	2018-08-18T04:39:28.574419445Z	35.31	30	0.0	37.86	0.0	29.47	29.47	41.69
cassandra-001	32.32	2018-08-18T04:39:35.582159936Z	38.19	33	0.342	41.69	0.282	29.52	29.52	84.9
cassandra-001	32.42	2018-08-18T04:39:42.588239994Z	46.42	35	0.0	84.9	0.0	29.44	29.44	54.51
cassandra-001	32.62	2018-08-18T04:39:49.594999891Z	51.28	38	0.0	54.51	0.0	29.45	29.45	47.61
cassandra-001	32.83	2018-08-18T04:39:56.600791947Z	54.05	40	0.0	47.61	0.0	29.47	29.47	37.1
cassandra-001	33.06	2018-08-18T04:40:03.606449002Z	50.61	42	0.342	37.1	0.282	29.48	29.48	55.71
cassandra-001	33.4	2018-08-18T04:40:10.612113917Z	53.59	44	0.0	55.71	0.0	29.61	29.61	104.55
cassandra-001	33.2	2018-08-18T04:40:17.620300544Z	64.06	46	0.0	104.55	0.0	29.47	29.47	63.46
cassandra-001	33.44	2018-08-18T04:40:24.627568268Z	60.49	48	0.0	63.46	0.0	29.45	29.45	64.14
cassandra-001	33.72	2018-08-18T04:40:31.63356057Z	62.09	50	0.342	64.14	0.282	29.48	29.48	61.28
cassandra-001	33.99	2018-08-18T04:40:38.641274559Z	64.37	52	0.0	61.28	0.0	29.49	29.49	53.57
cassandra-001	34.25	2018-08-18T04:40:45.648143678Z	67.12	54	0.0	53.57	0.0	29.48	29.48	57.48
cassandra-001	34.59	2018-08-18T04:40:52.654022949Z	67.41	56	0.0	57.48	0.0	29.53	29.53	48.46
cassandra-001	34.8	2018-08-18T04:40:59.660882781Z	58.06	58	0.0	48.46	0.0	29.45	29.45	77.95
cassandra-001	35.08	2018-08-18T04:41:06.668412351Z	60.48	59	0.342	77.95	0.282	29.45	29.45	48.82
cassandra-001	34.89	2018-08-18T04:41:13.674262653Z	57.93	61	0.0	48.82	0.0	29.64	29.64	49.46
cassandra-001	35.03	2018-08-18T04:41:20.681645264Z	55.96	63	0.0	49.46	0.0	29.48	29.48	57.6
cassandra-001	35.41	2018-08-18T04:41:27.688332176Z	56.63	64	0.0	57.6	0.0	29.53	29.53	70.83
cassandra-001	35.71	2018-08-18T04:41:34.695398882Z	58.85	66	0.342	70.83	0.282	29.49	29.49	65.53
cassandra-001	36.05	2018-08-18T04:41:41.701979129Z	61.7	67	0.0	65.53	0.0	29.5	29.5	71.19
cassandra-001	36.41	2018-08-18T04:41:48.707854779Z	60.57	69	0.0	71.19	0.0	29.5	29.5	65.95
cassandra-001	36.45	2018-08-18T04:41:55.714874739Z	63.43	71	0.0	65.95	0.0	29.49	29.49	61.76
cassandra-001	36.82	2018-08-18T04:42:02.727647655Z	65.48	72	0.342	61.76	0.282	29.49	29.49	65.35
cassandra-001	37.17	2018-08-18T04:42:09.733548261Z	66.77	73	0.0	65.35	0.0	29.47	29.47	65.13
cassandra-001	37.57	2018-08-18T04:42:16.741508235Z	65.82	75	0.0	65.13	0.0	29.48	29.48	68.91
cassandra-001	37.96	2018-08-18T04:42:23.74853302Z	66.38	76	0.0	68.91	0.0	29.53	29.53	77.98
cassandra-001	39.58	2018-08-18T04:42:30.757455056Z	67.51	77	0.171	77.98	0.141	29.48	29.48	68.1
cassandra-001	43.22	2018-08-18T04:42:37.767055347Z	67.87	79	0.171	68.1	0.141	32.75	32.75	128.53
cassandra-001	47.89	2018-08-18T04:42:44.773974923Z	79.0	80	0.0	128.53	0.0	35.62	35.62	160.05
cassandra-001	51.32	2018-08-18T04:42:51.781312199Z	94.78	81	0.0	160.05	0.0	37.23	37.23	108.29
cassandra-001	52.51	2018-08-18T04:42:58.788830452Z	101.98	83	0.0	108.29	0.0	37.15	37.15	69.57
cassandra-001	47.86	2018-08-18T04:43:05.79614131Z	102.09	84	0.342	69.57	0.282	37.19	37.19	76.42
cassandra-001	48.25	2018-08-18T04:43:12.80318131Z	101.83	86	0.0	76.42	0.0	37.15	37.15	76.53
cassandra-001	48.68	2018-08-18T04:43:19.809926319Z	103.23	87	0.0	76.53	0.0	37.14	37.14	83.27
cassandra-001	49.13	2018-08-18T04:43:26.820801685Z	95.69	88	0.0	83.27	0.0	37.15	37.15	75.71
cassandra-001	49.58	2018-08-18T04:43:33.827929998Z	81.63	90	0.342	75.71	0.282	37.14	37.14	84.77
cassandra-001	49.76	2018-08-18T04:43:40.834707166Z	77.71	91	0.0	84.77	0.0	37.17	37.17	83.09
cassandra-001	50.23	2018-08-18T04:43:47.850565364Z	79.96	92	0.0	83.09	0.0	37.18	37.18	93.07
cassandra-001	50.72	2018-08-18T04:43:54.857667427Z	82.74	94	0.0	93.07	0.0	37.19	37.19	100.8
cassandra-001	51.18	2018-08-18T04:44:01.864516224Z	86.78	95	0.342	100.8	0.282	37.17	37.17	77.41
cassandra-001	51.0	2018-08-18T04:44:08.874613177Z	85.81	96	0.0	77.41	0.0	37.21	37.21	94.53
cassandra-001	51.46	2018-08-18T04:44:15.88121574Z	88.94	98	0.0	94.53	0.0	37.17	37.17	97.65
cassandra-001	51.97	2018-08-18T04:44:22.890191214Z	91.09	99	0.0	97.65	0.0	37.18	37.18	81.31
cassandra-001	52.48	2018-08-18T04:44:29.896435059Z	90.79	100	0.0	81.31	0.0	37.18	37.18	93.23
cassandra-001	53.09	2018-08-18T04:44:36.902680057Z	90.82	101	0.342	93.23	0.282	37.21	37.21	161.75
cassandra-001	54.97	2018-08-18T04:44:43.908760104Z	100.98	102	0.0	161.75	0.0	37.2	37.2	115.06
cassandra-001	56.89	2018-08-18T04:44:50.914978627Z	107.25	104	0.0	115.06	0.0	37.18	37.18	126.52
cassandra-001	58.83	2018-08-18T04:44:57.928185503Z	112.59	105	0.0	126.52	0.0	37.19	37.19	129.93
cassandra-001	61.24	2018-08-18T04:45:04.936137392Z	117.97	106	0.342	129.93	0.282	37.21	37.21	125.05
cassandra-001	55.0	2018-08-18T04:45:11.943104725Z	125.26	107	0.0	125.05	0.0	37.22	37.22	102.92
cassandra-001	55.55	2018-08-18T04:45:18.951532075Z	126.87	108	0.0	102.92	0.0	37.22	37.22	86.97
cassandra-001	56.09	2018-08-18T04:45:25.959540055Z	114.41	110	0.0	86.97	0.0	37.22	37.22	98.05
cassandra-001	56.37	2018-08-18T04:45:32.967230548Z	111.57	111	0.342	98.05	0.282	37.22	37.22	93.82
cassandra-001	56.93	2018-08-18T04:45:39.975122285Z	106.12	112	0.0	93.82	0.0	37.22	37.22	106.1
cassandra-001	57.5	2018-08-18T04:45:46.982546981Z	102.15	113	0.0	106.1	0.0	37.22	37.22	106.43
cassandra-001	57.78	2018-08-18T04:45:53.989793682Z	99.05	114	0.0	106.43	0.0	37.23	37.23	97.95
cassandra-001	58.36	2018-08-18T04:46:00.996911405Z	98.22	115	0.342	97.95	0.282	37.21	37.21	86.56
cassandra-001	58.97	2018-08-18T04:46:08.004199296Z	98.15	116	0.0	86.56	0.0	37.24	37.24	95.4
cassandra-001	59.54	2018-08-18T04:46:15.011175816Z	97.71	118	0.0	95.4	0.0	37.2	37.2	106.29
cassandra-001	60.89	2018-08-18T04:46:22.017970374Z	99.79	119	0.0	106.29	0.0	37.21	37.21	136.04
cassandra-001	62.91	2018-08-18T04:46:29.027593575Z	104.78	120	0.0	136.04	0.0	37.22	37.22	123.68
cassandra-001	64.91	2018-08-18T04:46:36.035522741Z	107.65	121	0.342	123.68	0.282	37.22	37.22	136.51
cassandra-001	66.59	2018-08-18T04:46:43.045416186Z	114.08	122	0.0	136.51	0.0	37.28	37.28	107.24
cassandra-001	61.98	2018-08-18T04:46:50.052988202Z	117.53	123	0.0	107.24	0.0	37.28	37.28	83.02
cassandra-001	62.66	2018-08-18T04:46:57.061851015Z	115.46	124	0.0	83.02	0.0	37.31	37.31	87.06
cassandra-001	64.56	2018-08-18T04:47:04.069516148Z	112.26	125	0.342	87.06	0.282	37.29	37.29	111.55
cassandra-001	63.59	2018-08-18T04:47:11.07687697Z	108.18	126	0.0	111.55	0.0	37.28	37.28	96.57
cassandra-001	64.21	2018-08-18T04:47:18.083384245Z	103.66	127	0.0	96.57	0.0	37.27	37.27	115.15
cassandra-001	65.82	2018-08-18T04:47:25.089497362Z	100.1	128	0.0	115.15	0.0	37.27	37.27	194.56
cassandra-001	65.62	2018-08-18T04:47:32.094482436Z	114.65	129	0.342	194.56	0.282	37.28	37.28	118.85
cassandra-001	66.28	2018-08-18T04:47:39.101446768Z	120.62	130	0.0	118.85	0.0	37.3	37.3	108.03
cassandra-001	67.18	2018-08-18T04:47:46.108046689Z	124.12	131	0.0	108.03	0.0	37.28	37.28	125.85
cassandra-001	68.36	2018-08-18T04:47:53.113996792Z	126.5	132	0.0	125.85	0.0	37.29	37.29	136.71
cassandra-001	70.29	2018-08-18T04:48:00.119599767Z	133.19	133	0.0	136.71	0.0	37.31	37.31	141.91
cassandra-001	72.39	2018-08-18T04:48:07.125361738Z	137.65	134	0.342	141.91	0.282	37.33	37.33	144.05
cassandra-001	74.05	2018-08-18T04:48:14.131512064Z	129.23	135	0.0	144.05	0.0	37.31	37.31	125.13
cassandra-001	70.35	2018-08-18T04:48:21.138124239Z	130.28	136	0.0	125.13	0.0	37.35	37.35	116.14
cassandra-001	72.45	2018-08-18T04:48:28.147745338Z	131.63	137	0.0	116.14	0.0	37.34	37.34	149.82
cassandra-001	74.21	2018-08-18T04:48:35.154688363Z	135.63	138	0.342	149.82	0.282	37.34	37.34	137.05
cassandra-001	76.32	2018-08-18T04:48:42.161519039Z	135.68	139	0.0	137.05	0.0	37.35	37.35	169.69
