host_cpu	timestamp	memory%	host_moving_avg_cpu	net_receive	memory_active_anon%	memory_rss%	name	container_cpu%	sensor_count	net_send
0	2018-08-18T05:02:23.812223458Z	89.13	nan	18159131.266	15.95	15.95	kafka-001	2.48	1	18681796.616
2.48	2018-08-18T05:02:30.82399181Z	89.13	nan	3.774	15.95	15.95	kafka-001	1.89	4	2.02
1.89	2018-08-18T05:02:37.835503311Z	89.13	nan	2.607	15.95	15.95	kafka-001	1.56	7	1.44
1.56	2018-08-18T05:02:44.847616025Z	89.13	nan	3.039	15.95	15.95	kafka-001	1.43	11	1.698
1.43	2018-08-18T05:02:51.865214746Z	89.14	nan	3.918	15.95	15.95	kafka-001	1.76	15	2.106
1.76	2018-08-18T05:02:58.87758105Z	89.14	1.52	2.673	15.95	15.95	kafka-001	2.06	19	1.506
2.06	2018-08-18T05:03:05.888248331Z	89.14	1.86	4.566	15.95	15.95	kafka-001	2.22	22	2.696
2.22	2018-08-18T05:03:12.900258725Z	89.14	1.82	3.357	15.95	15.95	kafka-001	1.49	25	2.074
1.49	2018-08-18T05:03:19.912550348Z	89.13	1.75	2.673	15.95	15.95	kafka-001	1.55	28	1.716
1.55	2018-08-18T05:03:26.924480171Z	89.14	1.75	3.918	15.95	15.95	kafka-001	1.57	30	2.46
1.57	2018-08-18T05:03:33.937002928Z	89.13	1.78	3.039	15.95	15.95	kafka-001	2.56	33	1.698
2.56	2018-08-18T05:03:40.948888171Z	89.13	1.91	3.774	15.95	15.95	kafka-001	2.2	36	2.44
2.2	2018-08-18T05:03:47.959294599Z	89.13	1.93	2.607	15.95	15.95	kafka-001	1.56	38	1.44
1.56	2018-08-18T05:03:54.970892419Z	89.13	1.82	3.081	15.95	15.95	kafka-001	1.33	40	1.884
1.33	2018-08-18T05:04:01.982314933Z	89.14	1.8	4.062	15.95	15.95	kafka-001	1.63	43	2.192
1.63	2018-08-18T05:04:09.002179904Z	89.14	1.81	2.463	15.95	15.95	kafka-001	2.14	45	1.354
2.14	2018-08-18T05:04:16.013784214Z	89.14	1.9	4.194	15.95	15.95	kafka-001	1.7	47	2.468
1.7	2018-08-18T05:04:23.026425192Z	89.13	1.76	3.423	15.95	15.95	kafka-001	1.51	49	2.14
1.51	2018-08-18T05:04:30.038367211Z	89.14	1.65	4.17	15.95	15.95	kafka-001	2.15	51	2.416
2.15	2018-08-18T05:04:37.050714771Z	89.14	1.74	2.751	15.95	15.95	kafka-001	1.4	53	1.526
1.4	2018-08-18T05:04:44.064236801Z	89.14	1.76	3.081	15.95	15.95	kafka-001	2.5	55	1.74
2.5	2018-08-18T05:04:51.07428233Z	89.14	1.9	3.774	15.95	15.95	kafka-001	1.44	57	2.164
1.44	2018-08-18T05:04:58.085877503Z	89.14	1.78	2.607	15.95	15.95	kafka-001	1.9	59	1.44
1.9	2018-08-18T05:05:05.09646805Z	89.14	1.82	4.206	15.95	15.95	kafka-001	1.9	60	2.278
1.9	2018-08-18T05:05:12.106214635Z	89.14	1.88	2.895	15.95	15.95	kafka-001	1.69	62	1.612
1.69	2018-08-18T05:05:19.121363955Z	89.14	1.81	2.463	15.95	15.95	kafka-001	2.04	64	1.354
2.04	2018-08-18T05:05:26.132688421Z	89.14	1.91	4.062	15.95	15.95	kafka-001	1.6	66	2.192
1.6	2018-08-18T05:05:33.142128577Z	89.13	1.76	3.521	15.95	15.95	kafka-001	1.69	67	2.161
1.69	2018-08-18T05:05:40.154224582Z	89.13	1.8	4.158	15.95	15.95	kafka-001	2.16	69	2.462
2.16	2018-08-18T05:05:47.164222355Z	89.13	1.85	3.015	15.95	15.95	kafka-001	1.49	70	1.934
1.49	2018-08-18T05:05:54.177020554Z	89.14	1.78	2.297	15.95	15.95	kafka-001	2.05	72	1.31
2.05	2018-08-18T05:06:01.196127072Z	89.14	1.84	3.774	15.95	15.95	kafka-001	1.59	73	2.242
1.59	2018-08-18T05:06:08.209226202Z	89.14	1.76	2.607	15.95	15.95	kafka-001	2.27	75	1.44
2.27	2018-08-18T05:06:15.220144803Z	89.14	1.87	4.206	15.95	15.95	kafka-001	2.04	76	2.278
2.04	2018-08-18T05:06:22.231578234Z	89.14	1.93	2.937	15.95	15.95	kafka-001	1.65	78	1.654
1.65	2018-08-18T05:06:29.24221224Z	89.14	1.85	2.463	15.95	15.95	kafka-001	1.63	79	1.354
1.63	2018-08-18T05:06:36.2578695Z	89.14	1.87	4.062	15.95	15.95	kafka-001	1.71	81	2.192
1.71	2018-08-18T05:06:43.26961932Z	89.14	1.81	3.039	15.95	15.95	kafka-001	2.32	82	1.698
2.32	2018-08-18T05:06:50.281159889Z	89.14	1.94	4.092	15.95	15.95	kafka-001	2.07	84	2.396
2.07	2018-08-18T05:06:57.293655215Z	89.14	1.9	3.213	15.95	15.95	kafka-001	1.38	85	1.988
1.38	2018-08-18T05:07:04.30542911Z	89.14	1.79	3.171	15.95	15.95	kafka-001	1.42	86	1.83
1.42	2018-08-18T05:07:11.321404653Z	89.14	1.75	3.816	15.95	15.95	kafka-001	1.59	87	2.206
1.59	2018-08-18T05:07:18.332436821Z	89.14	1.75	2.607	15.95	15.95	kafka-001	2.24	89	1.44
2.24	2018-08-18T05:07:25.343530709Z	89.14	1.84	4.206	15.95	15.95	kafka-001	2.05	90	2.278
2.05	2018-08-18T05:07:32.357725642Z	89.14	1.79	2.895	15.95	15.95	kafka-001	1.6	91	1.612
1.6	2018-08-18T05:07:39.370023888Z	89.14	1.71	2.463	15.95	15.95	kafka-001	1.39	93	1.354
1.39	2018-08-18T05:07:46.386253866Z	89.14	1.72	4.062	15.95	15.95	kafka-001	1.72	94	2.402
1.72	2018-08-18T05:07:53.406931015Z	89.13	1.76	3.081	15.95	15.95	kafka-001	2.43	95	1.74
2.43	2018-08-18T05:08:00.417538594Z	89.14	1.9	3.098	15.95	15.95	kafka-001	1.76	97	1.842
1.76	2018-08-18T05:08:07.42681573Z	89.14	1.82	3.135	15.95	15.95	kafka-001	1.43	98	1.968
1.43	2018-08-18T05:08:14.438211723Z	89.14	1.72	3.501	15.95	15.95	kafka-001	1.34	99	2.16
1.34	2018-08-18T05:08:21.44727813Z	89.14	1.68	3.918	15.95	15.95	kafka-001	1.5	100	2.106
1.5	2018-08-18T05:08:28.45876878Z	89.14	1.7	2.463	15.95	15.95	kafka-001	2.6	101	1.576
2.6	2018-08-18T05:08:35.469043836Z	89.14	1.84	4.248	15.95	15.95	kafka-001	2.23	103	2.464
2.23	2018-08-18T05:08:42.479955613Z	89.14	1.81	2.895	15.95	15.95	kafka-001	1.52	104	1.612
1.52	2018-08-18T05:08:49.489755219Z	89.14	1.77	2.463	15.95	15.95	kafka-001	1.49	105	1.354
1.49	2018-08-18T05:08:56.502209038Z	89.14	1.78	4.062	15.95	15.95	kafka-001	1.72	106	2.402
1.72	2018-08-18T05:09:03.514284064Z	89.14	1.84	3.039	15.95	15.95	kafka-001	2.49	108	1.92
2.49	2018-08-18T05:09:10.525888774Z	89.14	2.01	3.074	15.95	15.95	kafka-001	1.7	109	1.818
1.7	2018-08-18T05:09:17.537963001Z	89.14	1.86	2.805	15.95	15.95	kafka-001	1.36	110	1.638
1.36	2018-08-18T05:09:24.549063051Z	89.14	1.71	3.501	15.95	15.95	kafka-001	1.34	111	2.16
1.34	2018-08-18T05:09:31.561162145Z	89.14	1.68	4.314	15.95	15.95	kafka-001	1.59	112	2.502
1.59	2018-08-18T05:09:38.573834142Z	89.14	1.7	2.463	15.95	15.95	kafka-001	2.38	114	1.354
2.38	2018-08-18T05:09:45.585608296Z	89.14	1.81	4.248	15.95	15.95	kafka-001	2.01	115	2.464
2.01	2018-08-18T05:09:52.597694132Z	89.14	1.73	2.153	15.95	15.95	kafka-001	1.48	116	1.224
1.48	2018-08-18T05:09:59.609457121Z	89.14	1.69	2.607	15.95	15.95	kafka-001	1.47	117	1.44
1.47	2018-08-18T05:10:06.618535411Z	89.14	1.71	3.918	15.95	15.95	kafka-001	1.43	118	2.46
1.43	2018-08-18T05:10:13.631884374Z	89.14	1.73	3.039	15.95	15.95	kafka-001	2.56	119	1.698
2.56	2018-08-18T05:10:20.643155472Z	89.14	1.89	3.816	15.95	15.95	kafka-001	2.11	120	2.062
2.11	2018-08-18T05:10:27.654983965Z	89.14	1.84	2.607	15.95	15.95	kafka-001	1.34	121	1.44
1.34	2018-08-18T05:10:34.66519117Z	89.14	1.73	2.627	15.95	15.95	kafka-001	1.34	123	1.64
1.34	2018-08-18T05:10:41.67706367Z	89.14	1.71	4.622	15.95	15.95	kafka-001	1.6	124	2.791
1.6	2018-08-18T05:10:48.688385301Z	89.14	1.73	2.805	15.95	15.95	kafka-001	2.46	125	1.638
2.46	2018-08-18T05:10:55.700110932Z	89.14	1.9	4.248	15.95	15.95	kafka-001	2.2	126	2.464
2.2	2018-08-18T05:11:02.710892271Z	89.14	1.84	2.751	15.95	15.95	kafka-001	1.69	127	1.526
1.69	2018-08-18T05:11:09.722009822Z	89.14	1.77	2.607	15.95	15.95	kafka-001	1.45	128	1.44
1.45	2018-08-18T05:11:16.733579365Z	89.14	1.79	4.062	15.95	15.95	kafka-001	1.65	129	2.336
1.65	2018-08-18T05:11:23.745183299Z	89.14	1.84	2.895	15.95	15.95	kafka-001	2.38	130	1.612
2.38	2018-08-18T05:11:30.75794654Z	89.14	1.97	3.816	15.95	15.95	kafka-001	2.33	131	2.062
2.33	2018-08-18T05:11:37.770857938Z	89.14	1.95	2.607	15.95	15.95	kafka-001	1.61	132	1.44
1.61	2018-08-18T05:11:44.784098881Z	89.14	1.85	3.039	15.95	15.95	kafka-001	1.49	133	1.698
1.49	2018-08-18T05:11:51.796566945Z	89.14	1.82	3.638	15.95	15.95	kafka-001	1.67	134	2.324
1.67	2018-08-18T05:11:58.819095255Z	89.14	1.85	3.069	15.95	15.95	kafka-001	2.52	135	1.902
2.52	2018-08-18T05:12:05.831170502Z	89.14	2.0	3.638	15.95	15.95	kafka-001	2.18	136	2.208
2.18	2018-08-18T05:12:12.843919369Z	89.14	1.97	2.751	15.95	15.95	kafka-001	1.76	137	1.526
1.76	2018-08-18T05:12:19.856197399Z	89.14	1.87	2.607	15.95	15.95	kafka-001	1.54	138	1.44
1.54	2018-08-18T05:12:26.869500754Z	89.14	1.86	4.062	15.95	15.95	kafka-001	1.67	139	2.192
1.67	2018-08-18T05:12:33.883293243Z	89.14	1.89	2.895	15.95	15.95	kafka-001	2.54	140	1.612
2.54	2018-08-18T05:12:40.89831082Z	89.14	2.03	3.074	15.95	15.95	kafka-001	2.12	141	1.674
2.12	2018-08-18T05:12:47.914358328Z	89.14	1.97	2.751	15.95	15.95	kafka-001	1.55	141	1.526
1.55	2018-08-18T05:12:54.92543031Z	89.14	1.86	2.297	15.95	15.95	kafka-001	1.52	141	1.31
1.52	2018-08-18T05:13:01.939100634Z	89.14	1.82	3.906	15.95	15.95	kafka-001	1.63	141	2.152
1.63	2018-08-18T05:13:08.951136108Z	89.14	1.84	3.111	15.95	15.95	kafka-001	2.5	141	2.154
2.5	2018-08-18T05:13:15.962305479Z	89.14	1.98	4.668	15.95	15.95	kafka-001	2.17	141	2.95
2.17	2018-08-18T05:13:22.975565422Z	89.14	1.91	2.751	15.95	15.95	kafka-001	1.49	141	1.67
1.49	2018-08-18T05:13:29.98642472Z	89.14	1.81	2.649	15.95	15.95	kafka-001	1.4	141	1.482
1.4	2018-08-18T05:13:36.997932727Z	89.14	1.78	3.32	15.95	15.95	kafka-001	1.67	141	1.804
1.67	2018-08-18T05:13:44.009604587Z	89.14	1.81	3.039	15.95	15.95	kafka-001	2.56	141	1.698
2.56	2018-08-18T05:13:51.023322393Z	89.14	1.96	3.672	15.95	15.95	kafka-001	1.6	141	1.976
1.6	2018-08-18T05:13:58.037334095Z	89.14	1.81	2.009	15.95	15.95	kafka-001	1.72	141	1.138
1.72	2018-08-18T05:14:05.049203756Z	89.14	1.74	4.206	15.95	15.95	kafka-001	2.04	141	2.422
