host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	15.93	1.66	kafka-001	nan	15.93	2018-08-18T03:01:24.266011524Z	18680305.137	89.11	1	18156655.98
1.66	15.93	1.64	kafka-001	nan	15.93	2018-08-18T03:01:31.28288758Z	1.38	89.11	4	2.388
1.64	15.93	2.53	kafka-001	nan	15.93	2018-08-18T03:01:38.293280065Z	1.318	89.11	8	2.209
2.53	15.93	1.85	kafka-001	nan	15.93	2018-08-18T03:01:45.312340112Z	1.682	89.11	11	2.922
1.85	15.93	1.64	kafka-001	nan	15.93	2018-08-18T03:01:52.322770407Z	1.138	89.11	15	2.009
1.64	15.93	1.38	kafka-001	1.55	15.93	2018-08-18T03:01:59.333310516Z	1.396	89.11	19	2.505
1.38	15.93	1.64	kafka-001	1.78	15.93	2018-08-18T03:02:06.345186057Z	2.418	89.11	22	3.992
1.64	15.93	2.59	kafka-001	1.78	15.93	2018-08-18T03:02:13.361769625Z	2.074	89.11	25	3.357
2.59	15.93	2.17	kafka-001	1.94	15.93	2018-08-18T03:02:20.372303949Z	1.798	89.11	28	2.996
2.17	15.93	1.41	kafka-001	1.88	15.93	2018-08-18T03:02:27.381845379Z	1.612	89.11	31	2.895
1.41	15.93	1.48	kafka-001	1.8	15.93	2018-08-18T03:02:34.393010861Z	1.31	89.11	34	2.297
1.48	15.93	1.71	kafka-001	1.78	15.93	2018-08-18T03:02:41.401621792Z	1.976	89.11	37	3.672
1.71	15.93	2.51	kafka-001	1.83	15.93	2018-08-18T03:02:48.415346184Z	1.526	89.11	39	2.751
2.51	15.93	2.25	kafka-001	1.98	15.93	2018-08-18T03:02:55.42415041Z	2.278	89.11	42	4.206
2.25	15.93	1.58	kafka-001	1.92	15.93	2018-08-18T03:03:02.436081677Z	1.18	89.11	44	2.051
1.58	15.93	1.51	kafka-001	1.82	15.93	2018-08-18T03:03:09.448377119Z	1.146	89.11	46	1.921
1.51	15.93	1.66	kafka-001	1.84	15.93	2018-08-18T03:03:16.46017656Z	1.88	89.11	48	3.12
1.66	15.93	2.44	kafka-001	1.87	15.93	2018-08-18T03:03:23.471369475Z	2.296	89.11	50	3.357
2.44	15.93	2.11	kafka-001	1.99	15.93	2018-08-18T03:03:30.49025674Z	1.984	89.1	52	3.326
2.11	15.93	1.57	kafka-001	1.92	15.93	2018-08-18T03:03:37.501223575Z	1.612	89.1	54	2.895
1.57	15.93	1.59	kafka-001	1.81	15.93	2018-08-18T03:03:44.512928372Z	1.31	89.1	56	2.297
1.59	15.93	1.79	kafka-001	1.81	15.93	2018-08-18T03:03:51.52505116Z	2.219	89.11	58	3.992
1.79	15.93	2.66	kafka-001	1.86	15.93	2018-08-18T03:03:58.536399646Z	1.44	89.11	60	2.607
2.66	15.93	2.05	kafka-001	2.03	15.93	2018-08-18T03:04:05.552628336Z	1.682	89.11	62	2.922
2.05	15.93	1.54	kafka-001	1.96	15.93	2018-08-18T03:04:12.564836649Z	1.79	89.11	64	2.793
1.54	15.93	1.56	kafka-001	1.87	15.93	2018-08-18T03:04:19.576096815Z	1.354	89.11	65	2.463
1.56	15.93	1.61	kafka-001	1.86	15.93	2018-08-18T03:04:26.589124364Z	1.682	89.11	67	2.922
1.61	15.93	2.41	kafka-001	1.87	15.93	2018-08-18T03:04:33.60143288Z	1.918	89.11	69	3.201
2.41	15.93	2.08	kafka-001	1.97	15.93	2018-08-18T03:04:40.615623653Z	2.304	89.11	71	3.56
2.08	15.93	1.47	kafka-001	1.87	15.93	2018-08-18T03:04:47.629230786Z	1.582	89.11	72	2.473
1.47	15.93	1.44	kafka-001	1.78	15.93	2018-08-18T03:04:54.640954461Z	1.698	89.11	74	3.039
1.44	15.93	1.61	kafka-001	1.76	15.93	2018-08-18T03:05:01.653199556Z	2.062	89.11	75	3.816
1.61	15.93	2.36	kafka-001	1.77	15.93	2018-08-18T03:05:08.666372725Z	1.052	89.11	77	1.865
2.36	15.93	2.24	kafka-001	1.89	15.93	2018-08-18T03:05:15.679802121Z	2.214	89.11	78	3.664
2.24	15.93	1.53	kafka-001	1.87	15.93	2018-08-18T03:05:22.697101584Z	1.646	89.11	80	2.793
1.53	15.93	1.5	kafka-001	1.77	15.93	2018-08-18T03:05:29.71050486Z	1.44	89.11	81	2.607
1.5	15.93	1.57	kafka-001	1.78	15.93	2018-08-18T03:05:36.722605958Z	1.804	89.1	83	3.32
1.57	15.93	2.47	kafka-001	1.8	15.93	2018-08-18T03:05:43.736383377Z	1.404	89.1	84	2.353
2.47	15.93	2.09	kafka-001	1.94	15.93	2018-08-18T03:05:50.747684483Z	1.82	89.1	86	2.886
2.09	15.93	1.66	kafka-001	1.9	15.93	2018-08-18T03:05:57.759179145Z	1.666	89.1	87	2.537
1.66	15.93	1.51	kafka-001	1.8	15.93	2018-08-18T03:06:04.77477242Z	1.664	89.1	88	2.671
1.51	15.93	1.61	kafka-001	1.8	15.93	2018-08-18T03:06:11.787260511Z	1.424	89.11	90	2.49
1.61	15.93	2.4	kafka-001	1.82	15.93	2018-08-18T03:06:18.798756064Z	1.052	89.11	91	1.865
2.4	15.93	1.86	kafka-001	1.96	15.93	2018-08-18T03:06:25.810734633Z	1.682	89.11	92	2.922
1.86	15.93	1.66	kafka-001	1.85	15.93	2018-08-18T03:06:32.824653113Z	1.318	89.11	93	2.209
1.66	15.93	1.53	kafka-001	1.78	15.93	2018-08-18T03:06:39.836284634Z	1.052	89.11	95	1.865
1.53	15.93	1.58	kafka-001	1.76	15.93	2018-08-18T03:06:46.847819751Z	1.638	89.11	96	2.82
1.58	15.93	2.43	kafka-001	1.77	15.93	2018-08-18T03:06:53.859562295Z	1.404	89.11	97	2.353
2.43	15.93	1.92	kafka-001	1.91	15.93	2018-08-18T03:07:00.871558918Z	1.49	89.11	98	2.556
1.92	15.93	1.54	kafka-001	1.83	15.93	2018-08-18T03:07:07.88378382Z	1.6	89.11	99	2.471
1.54	15.93	1.59	kafka-001	1.78	15.93	2018-08-18T03:07:14.895610236Z	1.952	89.11	101	2.959
1.59	15.93	1.69	kafka-001	1.76	15.93	2018-08-18T03:07:21.907138713Z	1.49	89.11	102	2.556
1.69	15.93	2.41	kafka-001	1.79	15.93	2018-08-18T03:07:28.918979709Z	1.094	89.11	103	1.907
2.41	15.93	1.93	kafka-001	1.93	15.93	2018-08-18T03:07:35.93044188Z	1.682	89.11	105	2.922
1.93	15.93	1.69	kafka-001	1.85	15.93	2018-08-18T03:07:42.94251778Z	1.318	89.11	106	2.209
1.69	15.93	1.5	kafka-001	1.81	15.93	2018-08-18T03:07:49.956219493Z	1.052	89.11	107	1.865
1.5	15.93	1.61	kafka-001	1.8	15.93	2018-08-18T03:07:56.967582184Z	1.596	89.11	108	2.778
1.61	15.93	2.46	kafka-001	1.8	15.93	2018-08-18T03:08:03.98011908Z	1.612	89.11	109	2.895
2.46	15.93	1.96	kafka-001	1.93	15.93	2018-08-18T03:08:10.990892938Z	1.674	89.11	111	3.074
1.96	15.93	1.63	kafka-001	1.86	15.93	2018-08-18T03:08:18.002202767Z	1.516	89.11	112	2.407
1.63	15.93	1.84	kafka-001	1.81	15.93	2018-08-18T03:08:25.01469371Z	2.144	89.11	113	3.384
1.84	15.93	1.54	kafka-001	1.83	15.93	2018-08-18T03:08:32.025216576Z	1.448	89.11	114	2.261
1.54	15.93	2.38	kafka-001	1.84	15.93	2018-08-18T03:08:39.037435689Z	1.232	89.11	115	2.065
2.38	15.93	1.6	kafka-001	1.97	15.93	2018-08-18T03:08:46.048912539Z	1.839	89.11	116	3.098
1.6	15.93	1.59	kafka-001	1.82	15.93	2018-08-18T03:08:53.060265408Z	1.18	89.11	118	2.051
1.59	15.93	1.75	kafka-001	1.76	15.93	2018-08-18T03:09:00.071288175Z	1.424	89.11	119	2.49
1.75	15.93	1.58	kafka-001	1.78	15.93	2018-08-18T03:09:07.086925966Z	1.404	89.11	120	2.353
1.58	15.93	2.11	kafka-001	1.74	15.93	2018-08-18T03:09:14.098116628Z	1.31	89.11	121	2.231
2.11	15.93	1.73	kafka-001	1.83	15.93	2018-08-18T03:09:21.111482195Z	1.338	89.11	122	2.412
1.73	15.93	1.91	kafka-001	1.73	15.93	2018-08-18T03:09:28.12249726Z	1.396	89.11	123	2.209
1.91	15.93	1.81	kafka-001	1.78	15.93	2018-08-18T03:09:35.132612927Z	2.054	89.11	124	3.294
1.81	15.93	1.63	kafka-001	1.81	15.93	2018-08-18T03:09:42.146146295Z	1.514	89.1	125	2.327
1.63	15.93	2.1	kafka-001	1.79	15.93	2018-08-18T03:09:49.156865896Z	1.496	89.1	126	2.329
2.1	15.93	1.69	kafka-001	1.88	15.93	2018-08-18T03:09:56.17229285Z	1.682	89.1	127	2.922
1.69	15.93	1.43	kafka-001	1.81	15.93	2018-08-18T03:10:03.183336129Z	1.138	89.1	128	2.009
1.43	15.93	1.8	kafka-001	1.76	15.93	2018-08-18T03:10:10.194623371Z	1.424	89.1	129	2.49
