container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.21	21391.989	2	38.55	195871.24	0	nan	cassandra-001	38.55	2018-08-19T04:27:01.547540492Z	61.74
1.23	0.988	7	38.55	5.036	1.21	nan	cassandra-001	38.55	2018-08-19T04:27:08.555161982Z	61.74
5.76	2.791	10	38.55	20.54	1.23	nan	cassandra-001	38.55	2018-08-19T04:27:15.563716946Z	61.75
1.2	2.12	14	38.55	15.763	5.76	nan	cassandra-001	38.55	2018-08-19T04:27:22.570466272Z	61.75
1.2	2.436	18	38.55	18.689	1.2	nan	cassandra-001	38.55	2018-08-19T04:27:29.577617892Z	61.75
1.13	4.288	20	38.55	44.105	1.2	1.77	cassandra-001	38.55	2018-08-19T04:27:36.584462976Z	61.75
2.14	2.987	24	38.55	27.025	1.13	1.95	cassandra-001	38.55	2018-08-19T04:27:43.594153214Z	61.75
5.24	7.002	27	38.55	62.823	2.14	2.11	cassandra-001	38.55	2018-08-19T04:27:50.600277077Z	61.75
1.18	3.592	30	38.55	35.477	5.24	2.78	cassandra-001	38.55	2018-08-19T04:27:57.608393396Z	61.75
1.11	4.04	32	38.55	38.188	1.18	2.01	cassandra-001	38.55	2018-08-19T04:28:04.616834042Z	61.75
1.2	8.698	35	38.55	82.77	1.11	2.0	cassandra-001	38.55	2018-08-19T04:28:11.623647394Z	61.75
1.11	4.631	38	38.55	45.262	1.2	2.0	cassandra-001	38.55	2018-08-19T04:28:18.631106963Z	61.75
8.61	9.948	40	38.55	97.689	1.11	2.0	cassandra-001	38.55	2018-08-19T04:28:25.638383905Z	61.75
1.26	4.59	42	38.55	51.915	8.61	3.07	cassandra-001	38.55	2018-08-19T04:28:32.645585786Z	61.75
1.29	5.474	45	38.55	53.352	1.26	2.41	cassandra-001	38.55	2018-08-19T04:28:39.652712269Z	61.75
1.37	10.879	47	38.55	114.304	1.29	2.43	cassandra-001	38.55	2018-08-19T04:28:46.659580618Z	61.75
1.18	7.716	49	38.59	58.898	1.37	2.47	cassandra-001	38.59	2018-08-19T04:28:53.666004443Z	62.66
8.14	12.46	51	38.54	122.651	1.18	2.47	cassandra-001	38.54	2018-08-19T04:29:00.673042407Z	62.61
1.28	6.064	53	38.54	65.786	8.14	3.64	cassandra-001	38.54	2018-08-19T04:29:07.684295217Z	62.61
1.34	6.459	55	38.54	67.628	1.28	2.42	cassandra-001	38.54	2018-08-19T04:29:14.690976091Z	62.61
1.39	13.498	57	38.54	140.416	1.34	2.43	cassandra-001	38.54	2018-08-19T04:29:21.698006221Z	62.61
1.28	6.326	59	38.54	71.932	1.39	2.45	cassandra-001	38.54	2018-08-19T04:29:28.705230842Z	62.61
7.99	16.61	61	38.54	149.356	1.28	2.44	cassandra-001	38.54	2018-08-19T04:29:35.711547912Z	62.61
1.23	6.72	63	38.54	77.565	7.99	3.57	cassandra-001	38.54	2018-08-19T04:29:42.718444229Z	62.61
1.3	7.115	64	38.54	79.243	1.23	2.42	cassandra-001	38.54	2018-08-19T04:29:49.725635137Z	62.61
1.22	18.19	66	38.53	160.974	1.3	2.42	cassandra-001	38.53	2018-08-19T04:29:56.733240712Z	62.61
1.23	8.408	68	38.53	81.941	1.22	2.4	cassandra-001	38.53	2018-08-19T04:30:03.740369326Z	62.61
8.52	17.342	69	38.53	171.624	1.23	2.38	cassandra-001	38.53	2018-08-19T04:30:10.748640305Z	62.61
1.32	9.013	71	38.53	88.337	8.52	3.58	cassandra-001	38.53	2018-08-19T04:30:17.755360952Z	62.61
1.19	10.254	73	38.53	89.748	1.32	2.47	cassandra-001	38.53	2018-08-19T04:30:24.761857261Z	62.61
1.31	20.388	74	38.53	183.778	1.19	2.46	cassandra-001	38.53	2018-08-19T04:30:31.768954298Z	62.61
1.19	7.956	76	38.53	92.659	1.31	2.46	cassandra-001	38.53	2018-08-19T04:30:38.777440496Z	62.61
10.05	14.299	77	38.53	189.328	1.19	2.46	cassandra-001	38.53	2018-08-19T04:30:45.783768551Z	62.61
1.33	8.984	79	38.53	98.158	10.05	3.93	cassandra-001	38.53	2018-08-19T04:30:52.790902496Z	62.61
1.24	8.152	80	38.53	97.555	1.33	2.73	cassandra-001	38.53	2018-08-19T04:30:59.798071182Z	62.61
1.31	19.946	82	38.53	196.917	1.24	2.72	cassandra-001	38.53	2018-08-19T04:31:06.805207142Z	62.61
2.21	11.503	83	38.56	104.055	1.31	2.74	cassandra-001	38.56	2018-08-19T04:31:13.813653461Z	62.67
10.29	20.498	85	38.53	211.51	2.21	2.89	cassandra-001	38.53	2018-08-19T04:31:20.820760897Z	62.65
1.18	11.806	86	38.53	107.993	10.29	4.4	cassandra-001	38.53	2018-08-19T04:31:27.828045353Z	62.65
1.76	12.162	88	38.53	108.702	1.18	2.93	cassandra-001	38.53	2018-08-19T04:31:34.834347988Z	62.65
1.24	20.376	89	38.53	217.254	1.76	3.0	cassandra-001	38.53	2018-08-19T04:31:41.842796135Z	62.65
1.2	9.269	91	38.53	109.581	1.24	3.0	cassandra-001	38.53	2018-08-19T04:31:48.849077835Z	62.65
13.23	23.752	92	38.53	227.427	1.2	2.98	cassandra-001	38.53	2018-08-19T04:31:55.855504984Z	62.65
1.23	13.268	94	38.53	116.262	13.23	4.82	cassandra-001	38.53	2018-08-19T04:32:02.862865017Z	62.65
1.23	13.096	95	38.53	118.226	1.23	3.31	cassandra-001	38.53	2018-08-19T04:32:09.870176891Z	62.65
1.19	25.887	96	38.52	242.172	1.23	3.31	cassandra-001	38.52	2018-08-19T04:32:16.876708065Z	62.64
1.29	11.696	98	38.52	121.072	1.19	3.22	cassandra-001	38.52	2018-08-19T04:32:23.884205173Z	62.64
22.45	26.638	99	38.52	248.393	1.29	3.23	cassandra-001	38.52	2018-08-19T04:32:30.892188358Z	62.64
1.31	12.764	100	38.52	125.552	22.45	6.77	cassandra-001	38.52	2018-08-19T04:32:37.901014724Z	62.64
1.22	13.159	101	38.52	123.639	1.31	4.78	cassandra-001	38.52	2018-08-19T04:32:44.908957186Z	62.65
1.29	26.912	103	38.52	252.749	1.22	4.78	cassandra-001	38.52	2018-08-19T04:32:51.916783414Z	62.65
1.21	13.396	104	38.52	131.293	1.29	4.79	cassandra-001	38.52	2018-08-19T04:32:58.924502826Z	62.64
11.53	32.348	105	38.52	265.666	1.21	4.79	cassandra-001	38.52	2018-08-19T04:33:05.931240007Z	62.65
1.23	15.626	106	38.52	135.181	11.53	6.5	cassandra-001	38.52	2018-08-19T04:33:12.938639284Z	62.65
1.25	17.077	108	38.52	136.034	1.23	2.96	cassandra-001	38.52	2018-08-19T04:33:19.949701031Z	62.65
1.21	28.478	109	38.52	272.028	1.25	2.95	cassandra-001	38.52	2018-08-19T04:33:26.956517086Z	62.65
1.18	16.06	110	38.52	137.848	1.21	2.95	cassandra-001	38.52	2018-08-19T04:33:33.963560609Z	62.65
12.79	32.726	111	38.52	281.026	1.18	2.93	cassandra-001	38.52	2018-08-19T04:33:40.969809214Z	62.65
1.27	14.131	113	38.52	136.546	12.79	4.86	cassandra-001	38.52	2018-08-19T04:33:47.976285138Z	62.65
1.25	15.61	114	38.52	135.448	1.27	3.15	cassandra-001	38.52	2018-08-19T04:33:54.982744631Z	62.65
1.29	31.826	115	38.52	288.548	1.25	3.16	cassandra-001	38.52	2018-08-19T04:34:01.990062781Z	62.65
1.24	18.394	116	38.52	147.96	1.29	3.16	cassandra-001	38.52	2018-08-19T04:34:08.996580522Z	62.65
13.44	25.553	117	38.52	289.59	1.24	3.17	cassandra-001	38.52	2018-08-19T04:34:16.002740178Z	62.65
1.15	11.846	118	38.52	146.581	13.44	5.21	cassandra-001	38.52	2018-08-19T04:34:23.009537127Z	62.66
1.25	16.558	120	38.52	151.322	1.15	3.27	cassandra-001	38.52	2018-08-19T04:34:30.016346337Z	62.65
