container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.66	19137693.505	0	15.96	18642635.726	0	nan	kafka-001	15.96	2018-08-19T04:21:42.964506849Z	89.12
1.69	1.052	0	15.96	1.865	1.66	nan	kafka-001	15.96	2018-08-19T04:21:49.975806816Z	89.12
1.73	1.466	0	15.96	2.532	1.69	nan	kafka-001	15.96	2018-08-19T04:21:56.989130888Z	89.12
2.46	1.49	0	15.96	2.497	1.73	nan	kafka-001	15.96	2018-08-19T04:22:04.001611527Z	89.12
1.61	1.51	0	15.96	2.634	2.46	nan	kafka-001	15.96	2018-08-19T04:22:11.012396631Z	89.12
1.87	1.118	0	15.96	1.931	1.61	1.52	kafka-001	15.96	2018-08-19T04:22:18.024224519Z	89.12
1.86	2.28	0	15.96	3.482	1.87	1.84	kafka-001	15.96	2018-08-19T04:22:25.036207125Z	89.12
1.81	1.686	0	15.96	2.615	1.86	1.87	kafka-001	15.96	2018-08-19T04:22:32.047305301Z	89.12
2.36	1.298	0	15.96	2.131	1.81	1.89	kafka-001	15.96	2018-08-19T04:22:39.061350821Z	89.12
1.73	1.718	0	15.96	3.176	2.36	2.0	kafka-001	15.96	2018-08-19T04:22:46.075946932Z	89.12
1.82	1.74	0	15.96	3.081	1.73	1.87	kafka-001	15.96	2018-08-19T04:22:53.087832826Z	89.12
2.23	2.164	0	15.96	3.774	1.82	1.91	kafka-001	15.96	2018-08-19T04:23:00.098794611Z	89.12
