sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
3	15.97	19334984.802	19801653.753	2.95	2018-08-19T08:13:23.5422458Z	0	nan	15.97	kafka-001	89.41
7	15.97	30.413	27.55	3.69	2018-08-19T08:13:30.554450823Z	2.95	nan	15.97	kafka-001	89.41
12	15.97	49.013	33.765	3.99	2018-08-19T08:13:37.566223061Z	3.69	nan	15.97	kafka-001	89.41
16	15.97	67.147	45.813	4.09	2018-08-19T08:13:44.578956024Z	3.99	nan	15.97	kafka-001	89.41
20	15.97	85.18	90.18	6.46	2018-08-19T08:13:51.593068583Z	4.09	nan	15.97	kafka-001	89.41
23	15.97	98.301	72.831	6.98	2018-08-19T08:13:58.604606428Z	6.46	3.53	15.97	kafka-001	89.41
27	15.97	116.232	132.208	8.22	2018-08-19T08:14:05.618077614Z	6.98	4.69	15.97	kafka-001	89.41
30	15.97	128.625	96.476	7.92	2018-08-19T08:14:12.632373707Z	8.22	5.57	15.97	kafka-001	89.41
33	15.97	140.251	104.377	8.87	2018-08-19T08:14:19.644130815Z	7.92	6.28	15.97	kafka-001	89.42
35	15.97	154.54	173.8	9.24	2018-08-19T08:14:26.656125808Z	8.87	7.09	15.97	kafka-001	89.42
38	15.97	163.773	121.309	10.7	2018-08-19T08:14:33.66991291Z	9.24	7.95	15.97	kafka-001	89.42
41	15.97	175.432	203.578	11.51	2018-08-19T08:14:40.68572264Z	10.7	8.65	15.97	kafka-001	89.42
43	15.97	180.583	141.042	10.64	2018-08-19T08:14:47.69734884Z	11.51	9.41	15.97	kafka-001	89.42
45	15.97	189.509	148.908	11.14	2018-08-19T08:14:54.708073662Z	10.64	9.81	15.97	kafka-001	89.42
47	15.97	200.424	238.149	11.61	2018-08-19T08:15:01.720404376Z	11.14	10.35	15.97	kafka-001	89.42
49	15.97	198.149	159.867	11.47	2018-08-19T08:15:08.732332579Z	11.61	10.81	15.97	kafka-001	89.43
52	15.97	208.489	256.604	13.9	2018-08-19T08:15:15.744985859Z	11.47	11.18	15.97	kafka-001	89.43
54	15.97	219.332	168.624	10.81	2018-08-19T08:15:22.75926267Z	13.9	11.71	15.97	kafka-001	89.43
55	15.97	228.077	181.352	13.98	2018-08-19T08:15:29.769921204Z	10.81	11.6	15.97	kafka-001	89.43
57	15.97	238.084	287.36	14.06	2018-08-19T08:15:36.782482474Z	13.98	12.15	15.97	kafka-001	89.43
