host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	37.88	2018-08-19T23:52:29.115299485Z	cassandra-001	0	0	701559.131	1.32	149605.195	37.88	74.19
nan	37.88	2018-08-19T23:52:36.126637615Z	cassandra-001	0	1.32	2.965	1.37	59.613	37.88	74.19
nan	37.88	2018-08-19T23:52:43.133751683Z	cassandra-001	0	1.37	0.0	1.27	0.0	37.88	74.19
nan	37.88	2018-08-19T23:52:50.165685645Z	cassandra-001	0	1.27	2.833	4.91	59.547	37.88	74.19
nan	37.88	2018-08-19T23:52:57.175401682Z	cassandra-001	0	4.91	0.0	1.21	0.0	37.88	74.19
1.68	37.88	2018-08-19T23:53:04.184644153Z	cassandra-001	0	1.21	0.0	1.15	0.0	37.88	74.19
1.87	37.88	2018-08-19T23:53:11.192258769Z	cassandra-001	0	1.15	0.0	1.24	0.0	37.88	74.19
1.86	37.88	2018-08-19T23:53:18.199256183Z	cassandra-001	0	1.24	2.923	1.15	60.879	37.88	74.19
1.82	37.88	2018-08-19T23:53:25.209638771Z	cassandra-001	0	1.15	0.0	1.35	0.0	37.88	74.19
1.84	37.88	2018-08-19T23:53:32.216263326Z	cassandra-001	0	1.35	0.0	1.21	0.0	37.88	74.19
1.22	37.88	2018-08-19T23:53:39.225671271Z	cassandra-001	0	1.21	0.0	3.2	0.0	37.88	74.19
1.55	37.88	2018-08-19T23:53:46.234684852Z	cassandra-001	0	3.2	0.282	1.2	0.342	37.88	74.19
