host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	15.97	2018-08-20T01:03:17.815697115Z	kafka-001	2	0	20874035.879	2.18	21271256.65	15.97	89.8
nan	15.97	2018-08-20T01:03:24.828459399Z	kafka-001	7	2.18	27.302	2.72	15.097	15.97	89.8
nan	15.97	2018-08-20T01:03:31.844417145Z	kafka-001	12	2.72	48.946	4.18	46.266	15.97	89.8
nan	15.97	2018-08-20T01:03:38.859769885Z	kafka-001	16	4.18	66.885	5.98	47.659	15.97	89.8
nan	15.97	2018-08-20T01:03:45.881338267Z	kafka-001	19	5.98	85.102	6.63	90.226	15.97	89.8
3.62	15.97	2018-08-20T01:03:52.890819406Z	kafka-001	22	6.63	97.139	6.16	71.559	15.97	89.8
4.64	15.97	2018-08-20T01:03:59.901769678Z	kafka-001	26	6.16	110.717	6.7	80.916	15.97	89.8
5.4	15.97	2018-08-20T01:04:06.915325392Z	kafka-001	29	6.7	125.162	7.8	139.87	15.97	89.81
6.24	15.97	2018-08-20T01:04:13.92756276Z	kafka-001	32	7.8	133.713	9.53	101.354	15.97	89.81
7.13	15.97	2018-08-20T01:04:20.938836764Z	kafka-001	34	9.53	147.56	9.76	169.754	15.97	89.81
7.76	15.97	2018-08-20T01:04:27.950975962Z	kafka-001	37	9.76	157.647	9.99	120.638	15.97	89.81
8.32	15.97	2018-08-20T01:04:34.963022149Z	kafka-001	39	9.99	160.681	9.53	126.428	15.97	89.81
8.88	15.97	2018-08-20T01:04:41.976163775Z	kafka-001	42	9.53	178.032	10.57	205.286	15.97	89.81
9.53	15.97	2018-08-20T01:04:48.987823917Z	kafka-001	44	10.57	184.248	10.83	143.866	15.97	89.81
10.04	15.97	2018-08-20T01:04:55.999047544Z	kafka-001	46	10.83	196.747	12.7	233.408	15.97	89.81
10.56	15.97	2018-08-20T01:05:03.008013724Z	kafka-001	49	12.7	195.723	7.33	157.675	15.97	89.81
10.16	15.97	2018-08-20T01:05:10.017798734Z	kafka-001	51	7.33	210.55	11.17	162.352	15.97	89.81
10.36	15.97	2018-08-20T01:05:17.031956284Z	kafka-001	53	11.17	217.829	13.03	262.463	15.97	89.82
10.94	15.97	2018-08-20T01:05:24.048721954Z	kafka-001	55	13.03	228.261	14.13	178.841	15.97	89.82
11.53	15.97	2018-08-20T01:05:31.063600608Z	kafka-001	57	14.13	238.782	14.39	286.369	15.97	89.82
12.12	15.97	2018-08-20T01:05:38.07714489Z	kafka-001	59	14.39	245.643	15.21	196.118	15.97	89.82
12.54	15.97	2018-08-20T01:05:45.090723905Z	kafka-001	61	15.21	253.168	15.75	305.728	15.97	89.82
13.95	15.97	2018-08-20T01:05:52.104164866Z	kafka-001	63	15.75	253.848	15.94	206.63	15.97	89.83
