net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
793565.758	1.15	74.61	nan	0	346747.122	37.87	0	37.87	cassandra-001	2018-08-17T02:07:28.978787004Z
0.0	1.2	74.61	nan	0	0.0	37.87	1.15	37.87	cassandra-001	2018-08-17T02:07:35.986639075Z
0.141	1.12	74.61	nan	0	0.171	37.87	1.2	37.87	cassandra-001	2018-08-17T02:07:42.995789539Z
0.0	1.23	74.61	nan	0	0.0	37.87	1.12	37.87	cassandra-001	2018-08-17T02:07:50.005334404Z
0.141	1.22	74.61	nan	0	0.171	37.87	1.23	37.87	cassandra-001	2018-08-17T02:07:57.012185081Z
0.0	1.23	74.61	0.99	0	0.0	37.87	1.22	37.87	cassandra-001	2018-08-17T02:08:04.01955743Z
0.141	2.15	74.61	1.19	0	0.171	37.87	1.23	37.87	cassandra-001	2018-08-17T02:08:11.026803669Z
0.0	1.4	74.61	1.36	0	0.0	37.87	2.15	37.87	cassandra-001	2018-08-17T02:08:18.036879185Z
0.141	2.44	74.61	1.39	0	0.171	37.87	1.4	37.87	cassandra-001	2018-08-17T02:08:25.046914095Z
0.0	1.23	74.64	1.61	0	0.0	37.87	2.44	37.9	cassandra-001	2018-08-17T02:08:32.056555718Z
0.0	1.3	74.67	1.61	0	0.0	37.91	1.23	37.94	cassandra-001	2018-08-17T02:08:39.064284871Z
0.141	1.27	74.67	1.62	0	0.171	37.91	1.3	37.94	cassandra-001	2018-08-17T02:08:46.073273138Z
