net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
8298766.25	2.49	36.44	nan	0	9077232.281	15.93	0	15.93	kafka-001	2018-08-17T00:57:01.351743231Z
19.321	3.64	36.43	nan	0	30.036	15.93	2.49	15.93	kafka-001	2018-08-17T00:57:08.364612039Z
21.294	3.18	36.43	nan	0	31.642	15.93	3.64	15.93	kafka-001	2018-08-17T00:57:15.377897781Z
20.355	2.37	36.44	nan	0	28.588	15.93	3.18	15.93	kafka-001	2018-08-17T00:57:22.388262354Z
18.933	2.44	36.44	nan	0	28.478	15.93	2.37	15.93	kafka-001	2018-08-17T00:57:29.401447248Z
22.338	2.69	36.43	2.35	0	31.466	15.93	2.44	15.93	kafka-001	2018-08-17T00:57:36.412778312Z
17.219	3.23	36.43	2.8	0	25.934	15.93	2.69	15.93	kafka-001	2018-08-17T00:57:43.426236923Z
22.56	3.48	36.43	2.92	0	34.492	15.93	3.23	15.93	kafka-001	2018-08-17T00:57:50.437406708Z
16.853	2.27	36.44	2.9	0	25.28	15.93	3.48	15.93	kafka-001	2018-08-17T00:57:57.448314124Z
19.803	2.2	36.43	2.75	0	30.858	15.93	2.27	15.93	kafka-001	2018-08-17T00:58:04.457582634Z
21.834	2.32	36.44	2.72	0	31.72	15.93	2.2	15.93	kafka-001	2018-08-17T00:58:11.468405625Z
18.801	3.24	36.44	2.7	0	28.33	15.93	2.32	15.93	kafka-001	2018-08-17T00:58:18.477947967Z
