memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.05	nan	2.6	500521.457	2344147.965	38.05	0	2018-08-17T12:04:19.777244261Z	0	cassandra-001	76.2
38.05	nan	1.14	0.0	0.0	38.05	0	2018-08-17T12:04:26.784286106Z	2.6	cassandra-001	76.2
38.05	nan	1.08	0.171	0.141	38.05	0	2018-08-17T12:04:33.793365268Z	1.14	cassandra-001	76.2
38.05	nan	1.07	0.0	0.0	38.05	0	2018-08-17T12:04:40.80445694Z	1.08	cassandra-001	76.2
38.05	nan	1.16	0.0	0.0	38.05	0	2018-08-17T12:04:47.812058755Z	1.07	cassandra-001	76.2
38.05	1.18	1.11	0.171	0.141	38.05	0	2018-08-17T12:04:54.821099871Z	1.16	cassandra-001	76.2
38.05	1.36	1.4	0.171	0.141	38.05	0	2018-08-17T12:05:01.83050076Z	1.11	cassandra-001	76.2
38.05	1.16	1.0	0.0	0.0	38.05	0	2018-08-17T12:05:08.838389605Z	1.4	cassandra-001	76.2
38.05	1.14	3.75	0.0	0.0	38.05	0	2018-08-17T12:05:15.845741511Z	1.0	cassandra-001	76.2
38.06	1.58	1.14	0.171	0.141	38.03	0	2018-08-17T12:05:22.852693102Z	3.75	cassandra-001	76.21
38.06	1.59	1.21	0.0	0.0	38.06	0	2018-08-17T12:05:29.862860582Z	1.14	cassandra-001	76.21
38.06	1.6	1.19	0.171	0.141	38.06	0	2018-08-17T12:05:36.873217866Z	1.21	cassandra-001	76.21
