memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.32	11850458.28	11125797.056	15.93	0	2018-08-17T08:57:37.478226687Z	0	kafka-001	55.82
15.93	nan	2.22	23.568	15.869	15.93	0	2018-08-17T08:57:44.490594419Z	2.32	kafka-001	55.82
15.93	nan	2.24	25.672	17.094	15.93	0	2018-08-17T08:57:51.502767539Z	2.22	kafka-001	55.82
15.93	nan	3.29	24.048	17.005	15.93	0	2018-08-17T08:57:58.514477412Z	2.24	kafka-001	55.82
15.93	nan	2.99	25.758	18.162	15.93	0	2018-08-17T08:58:05.524995572Z	3.29	kafka-001	55.82
15.93	2.18	2.19	23.634	15.671	15.93	0	2018-08-17T08:58:12.536753337Z	2.99	kafka-001	55.82
15.93	2.54	2.09	24.382	16.885	15.93	0	2018-08-17T08:58:19.546965124Z	2.19	kafka-001	55.82
15.93	2.5	2.59	26.384	18.174	15.93	0	2018-08-17T08:58:26.559233903Z	2.09	kafka-001	55.82
15.93	2.56	3.23	23.676	15.779	15.93	0	2018-08-17T08:58:33.578769263Z	2.59	kafka-001	55.82
15.93	2.73	10.3	25.758	17.502	15.93	0	2018-08-17T08:58:40.594307066Z	3.23	kafka-001	55.82
15.93	3.9	2.26	24.006	16.831	15.93	0	2018-08-17T08:58:47.606937609Z	10.3	kafka-001	55.82
15.93	3.78	2.29	25.3	16.799	15.93	0	2018-08-17T08:58:54.619211715Z	2.26	kafka-001	55.82
