net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
2633140.008	0	2	2018-08-17T14:03:42.631355637Z	76.51	530138.508	38.1	1.19	nan	cassandra-001	38.1
3.575	1.19	6	2018-08-17T14:03:49.637768704Z	76.5	59.822	38.1	16.19	nan	cassandra-001	38.1
23.685	16.19	10	2018-08-17T14:03:56.643999252Z	76.5	62.119	38.1	5.9	nan	cassandra-001	38.1
13.895	5.9	14	2018-08-17T14:04:03.653117036Z	76.5	1.368	38.1	1.2	nan	cassandra-001	38.1
38.383	1.2	17	2018-08-17T14:04:10.659801995Z	76.51	4.528	38.1	4.58	nan	cassandra-001	38.1
23.605	4.58	21	2018-08-17T14:04:17.669752431Z	76.51	2.236	38.1	1.18	4.84	cassandra-001	38.1
26.973	1.18	24	2018-08-17T14:04:24.676811602Z	76.51	3.515	38.1	1.25	5.04	cassandra-001	38.1
62.366	1.25	27	2018-08-17T14:04:31.683822016Z	76.5	7.9	38.09	1.08	5.05	cassandra-001	38.09
35.218	1.08	29	2018-08-17T14:04:38.68977578Z	76.5	4.094	38.09	1.12	2.53	cassandra-001	38.09
76.558	1.12	32	2018-08-17T14:04:45.699385743Z	76.5	9.004	38.09	10.49	1.74	cassandra-001	38.09
41.956	10.49	35	2018-08-17T14:04:52.707545441Z	76.5	4.646	38.09	1.21	3.28	cassandra-001	38.09
45.333	1.21	37	2018-08-17T14:04:59.719312204Z	76.5	5.133	38.09	1.07	2.72	cassandra-001	38.09
96.835	1.07	40	2018-08-17T14:05:06.726101763Z	76.5	11.506	38.09	1.11	2.7	cassandra-001	38.09
50.414	1.11	42	2018-08-17T14:05:13.735134409Z	76.51	4.432	38.09	1.26	2.68	cassandra-001	38.09
109.684	1.26	44	2018-08-17T14:05:20.743413377Z	76.51	13.838	38.09	8.99	2.71	cassandra-001	38.09
57.955	8.99	47	2018-08-17T14:05:27.750363811Z	76.51	5.987	38.09	1.11	4.02	cassandra-001	38.09
59.877	1.11	49	2018-08-17T14:05:34.757200487Z	76.51	6.792	38.09	1.05	2.46	cassandra-001	38.09
125.499	1.05	51	2018-08-17T14:05:41.765161585Z	76.51	13.226	38.09	1.12	2.43	cassandra-001	38.09
64.84	1.12	53	2018-08-17T14:05:48.772398198Z	76.51	6.83	38.09	1.13	2.44	cassandra-001	38.09
135.723	1.13	55	2018-08-17T14:05:55.780096744Z	76.51	16.799	38.09	9.1	2.44	cassandra-001	38.09
68.159	9.1	57	2018-08-17T14:06:02.78854822Z	76.51	5.31	38.09	1.18	3.75	cassandra-001	38.09
68.257	1.18	59	2018-08-17T14:06:09.795338543Z	76.51	7.052	38.09	1.15	2.45	cassandra-001	38.09
150.076	1.15	61	2018-08-17T14:06:16.80239718Z	76.51	16.122	38.09	1.08	2.46	cassandra-001	38.09
77.957	1.08	62	2018-08-17T14:06:23.812197615Z	76.51	8.647	38.09	2.6	2.46	cassandra-001	38.09
160.631	2.6	64	2018-08-17T14:06:30.818326582Z	76.51	17.914	38.09	11.85	2.71	cassandra-001	38.09
81.681	11.85	66	2018-08-17T14:06:37.826745557Z	76.51	8.382	38.09	1.03	4.49	cassandra-001	38.09
82.643	1.03	68	2018-08-17T14:06:44.836666486Z	76.51	9.398	38.09	1.1	3.15	cassandra-001	38.09
175.251	1.1	70	2018-08-17T14:06:51.843302714Z	76.51	19.19	38.09	1.07	3.14	cassandra-001	38.09
87.795	1.07	71	2018-08-17T14:06:58.849724141Z	76.51	9.079	38.09	1.23	3.12	cassandra-001	38.09
180.795	1.23	73	2018-08-17T14:07:05.856649983Z	76.51	20.864	38.09	12.46	3.15	cassandra-001	38.09
94.227	12.46	75	2018-08-17T14:07:12.865538221Z	76.51	10.53	38.09	1.23	4.79	cassandra-001	38.09
94.421	1.23	76	2018-08-17T14:07:19.873974018Z	76.48	11.018	38.06	1.33	3.02	cassandra-001	38.06
198.365	1.33	78	2018-08-17T14:07:26.880760619Z	76.48	21.175	38.05	0.96	3.07	cassandra-001	38.05
100.271	0.96	80	2018-08-17T14:07:33.889664302Z	76.48	11.096	38.05	1.16	3.05	cassandra-001	38.05
205.118	1.16	81	2018-08-17T14:07:40.896042786Z	76.48	24.21	38.05	10.97	3.06	cassandra-001	38.05
104.954	10.97	83	2018-08-17T14:07:47.907473261Z	76.48	11.2	38.05	1.17	4.69	cassandra-001	38.05
104.447	1.17	84	2018-08-17T14:07:54.915088037Z	76.48	10.407	38.05	1.17	2.8	cassandra-001	38.05
211.723	1.17	86	2018-08-17T14:08:01.924184236Z	76.48	22.266	38.05	1.12	2.79	cassandra-001	38.05
109.862	1.12	87	2018-08-17T14:08:08.93186179Z	76.48	12.558	38.05	1.43	2.76	cassandra-001	38.05
224.942	1.43	89	2018-08-17T14:08:15.938374984Z	76.48	25.194	38.05	14.32	2.84	cassandra-001	38.05
112.911	14.32	90	2018-08-17T14:08:22.948867037Z	76.48	11.91	38.05	1.15	5.03	cassandra-001	38.05
114.322	1.15	92	2018-08-17T14:08:29.959493506Z	76.48	13.097	38.05	1.16	3.39	cassandra-001	38.05
234.599	1.16	93	2018-08-17T14:08:36.966176531Z	76.48	25.864	38.05	0.99	3.39	cassandra-001	38.05
119.314	0.99	94	2018-08-17T14:08:43.972761962Z	76.49	11.948	38.05	1.13	3.36	cassandra-001	38.05
243.175	1.13	96	2018-08-17T14:08:50.979762059Z	76.49	23.314	38.05	11.5	3.36	cassandra-001	38.05
124.276	11.5	97	2018-08-17T14:08:57.988170358Z	76.48	12.857	38.05	0.89	5.04	cassandra-001	38.05
124.78	0.89	99	2018-08-17T14:09:04.998478065Z	76.49	12.052	38.05	1.25	2.8	cassandra-001	38.05
250.651	1.25	100	2018-08-17T14:09:12.00593491Z	76.49	24.182	38.05	1.15	2.82	cassandra-001	38.05
124.547	1.15	101	2018-08-17T14:09:19.011828045Z	76.49	12.394	38.05	1.18	2.82	cassandra-001	38.05
260.144	1.18	102	2018-08-17T14:09:26.020320163Z	76.49	29.485	38.05	11.38	2.85	cassandra-001	38.05
128.719	11.38	104	2018-08-17T14:09:33.028318361Z	76.49	12.736	38.05	1.16	4.56	cassandra-001	38.05
131.616	1.16	105	2018-08-17T14:09:40.035297983Z	76.49	13.158	38.05	1.02	2.84	cassandra-001	38.05
263.047	1.02	106	2018-08-17T14:09:47.042161409Z	76.49	26.724	38.05	1.16	2.86	cassandra-001	38.05
134.264	1.16	108	2018-08-17T14:09:54.049393546Z	76.49	12.734	38.05	1.97	2.84	cassandra-001	38.05
274.745	1.97	109	2018-08-17T14:10:01.056150563Z	76.49	29.309	38.05	13.84	2.98	cassandra-001	38.05
139.212	13.84	110	2018-08-17T14:10:08.063282934Z	76.49	14.278	38.05	1.09	5.09	cassandra-001	38.05
138.29	1.09	111	2018-08-17T14:10:15.069317255Z	76.5	13.842	38.05	1.11	3.37	cassandra-001	38.05
280.138	1.11	112	2018-08-17T14:10:22.075637324Z	76.5	29.623	38.05	1.04	3.37	cassandra-001	38.05
139.994	1.04	114	2018-08-17T14:10:29.085361213Z	76.5	14.857	38.05	1.09	3.37	cassandra-001	38.05
287.895	1.09	115	2018-08-17T14:10:36.092710768Z	76.5	30.374	38.05	6.12	3.36	cassandra-001	38.05
146.483	6.12	116	2018-08-17T14:10:43.099201229Z	76.5	16.48	38.05	1.18	4.05	cassandra-001	38.05
275.864	1.18	117	2018-08-17T14:10:50.107015379Z	76.5	28.425	38.05	10.33	1.94	cassandra-001	38.05
164.235	10.33	118	2018-08-17T14:10:57.116315549Z	76.5	15.64	38.05	1.16	3.48	cassandra-001	38.05
145.273	1.16	119	2018-08-17T14:11:04.12429935Z	76.5	11.806	38.05	1.09	3.49	cassandra-001	38.05
301.777	1.09	121	2018-08-17T14:11:11.133705757Z	76.5	28.112	38.05	2.18	3.5	cassandra-001	38.05
151.192	2.18	122	2018-08-17T14:11:18.14167117Z	76.5	13.996	38.05	1.15	3.68	cassandra-001	38.05
304.576	1.15	123	2018-08-17T14:11:25.149401548Z	76.51	28.743	38.05	12.99	2.85	cassandra-001	38.05
156.127	12.99	124	2018-08-17T14:11:32.158565081Z	76.5	15.698	38.05	1.06	4.82	cassandra-001	38.05
154.869	1.06	125	2018-08-17T14:11:39.165327143Z	76.5	16.054	38.05	1.07	3.27	cassandra-001	38.05
318.795	1.07	126	2018-08-17T14:11:46.173173015Z	76.5	35.79	38.05	2.74	3.26	cassandra-001	38.05
158.933	2.74	127	2018-08-17T14:11:53.181156967Z	76.51	16.766	38.05	1.02	3.53	cassandra-001	38.05
325.964	1.02	128	2018-08-17T14:12:00.188863644Z	76.51	35.641	38.06	29.54	3.34	cassandra-001	38.06
159.323	29.54	129	2018-08-17T14:12:07.195239522Z	76.5	16.712	38.05	1.12	8.07	cassandra-001	38.05
163.454	1.12	130	2018-08-17T14:12:14.201648266Z	76.51	15.326	38.05	1.07	6.09	cassandra-001	38.05
333.033	1.07	132	2018-08-17T14:12:21.208169842Z	76.51	36.934	38.05	1.17	6.09	cassandra-001	38.05
166.478	1.17	133	2018-08-17T14:12:28.215040241Z	76.5	20.921	38.05	1.07	6.11	cassandra-001	38.05
341.969	1.07	134	2018-08-17T14:12:35.223228399Z	76.51	40.404	38.05	12.22	5.83	cassandra-001	38.05
171.073	12.22	135	2018-08-17T14:12:42.230788332Z	76.51	19.02	38.05	1.06	7.7	cassandra-001	38.05
167.828	1.06	136	2018-08-17T14:12:49.236413422Z	76.51	21.422	38.05	1.01	2.95	cassandra-001	38.05
341.035	1.01	137	2018-08-17T14:12:56.243845121Z	76.51	33.075	38.05	1.26	2.93	cassandra-001	38.05
173.138	1.26	138	2018-08-17T14:13:03.254035318Z	76.51	16.194	38.05	1.1	2.96	cassandra-001	38.05
345.282	1.1	139	2018-08-17T14:13:10.260947807Z	76.51	31.846	38.05	12.63	2.95	cassandra-001	38.05
175.785	12.63	140	2018-08-17T14:13:17.268245346Z	76.51	15.784	38.05	1.13	4.88	cassandra-001	38.05
177.046	1.13	141	2018-08-17T14:13:24.275279721Z	76.51	16.179	38.05	2.08	3.03	cassandra-001	38.05
353.328	2.08	142	2018-08-17T14:13:31.281199742Z	76.52	33.718	38.05	1.1	3.2	cassandra-001	38.05
181.04	1.1	143	2018-08-17T14:13:38.28968488Z	76.51	15.73	38.05	1.04	3.22	cassandra-001	38.05
350.803	1.04	144	2018-08-17T14:13:45.298922395Z	76.52	33.914	38.05	18.12	3.18	cassandra-001	38.05
