net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
14214907.607	0	0	2018-08-17T15:53:24.142193194Z	77.05	14863121.165	15.93	2.6	nan	kafka-001	15.93
16.482	2.6	0	2018-08-17T15:53:31.15486009Z	77.05	23.932	15.93	2.54	nan	kafka-001	15.93
16.237	2.54	0	2018-08-17T15:53:38.165666366Z	77.05	25.239	15.93	2.73	nan	kafka-001	15.93
17.394	2.73	0	2018-08-17T15:53:45.179909455Z	77.05	25.93	15.93	2.69	nan	kafka-001	15.93
15.397	2.69	0	2018-08-17T15:53:52.19149012Z	77.05	23.876	15.93	9.47	nan	kafka-001	15.93
16.457	9.47	0	2018-08-17T15:53:59.205251637Z	77.05	25.214	15.93	2.71	3.34	kafka-001	15.93
17.652	2.71	0	2018-08-17T15:54:06.217208646Z	77.05	24.66	15.93	2.38	3.79	kafka-001	15.93
17.551	2.38	0	2018-08-17T15:54:13.229348393Z	77.05	26.114	15.93	3.13	3.75	kafka-001	15.93
17.142	3.13	0	2018-08-17T15:54:20.244436801Z	77.05	23.986	15.93	2.58	3.85	kafka-001	15.93
16.157	2.58	0	2018-08-17T15:54:27.255710548Z	77.05	23.74	15.93	2.47	3.83	kafka-001	15.93
17.671	2.47	0	2018-08-17T15:54:34.266290516Z	77.05	25.78	15.93	2.21	3.79	kafka-001	15.93
16.428	2.21	0	2018-08-17T15:54:41.279529286Z	77.05	23.94	15.93	2.57	2.58	kafka-001	15.93
