----------------------------------------------------------------
host_cpu	net_receive	net_send	memory%	memory_active_anon%	host_moving_avg_cpu	timestamp	memory_rss%	sensor_count	name	container_cpu%
0	27.882	481.429	49.92	35.93	nan	2018-08-08T17:14:31.149417681Z	35.94	3	cassandra-001	18.28
18.28	0.0	0.0	49.92	35.91	nan	2018-08-08T17:14:38.160137204Z	35.91	9	cassandra-001	12.63
12.63	2.899	59.629	50.06	35.99	nan	2018-08-08T17:14:45.167910868Z	35.99	14	cassandra-001	48.55
48.55	0.0	0.0	50.08	35.92	nan	2018-08-08T17:14:52.175383032Z	35.92	19	cassandra-001	42.39
42.39	0.0	0.0	50.18	35.91	nan	2018-08-08T17:14:59.182701736Z	35.91	23	cassandra-001	40.91
40.91	0.0	0.0	50.3	35.91	27.13	2018-08-08T17:15:06.195535626Z	35.91	27	cassandra-001	45.78
45.78	0.282	0.342	50.47	35.93	34.76	2018-08-08T17:15:13.206798469Z	35.93	31	cassandra-001	50.79
50.79	0.0	0.0	50.66	35.94	40.17	2018-08-08T17:15:20.214137572Z	35.94	34	cassandra-001	51.04
51.04	0.0	0.0	50.84	35.94	46.58	2018-08-08T17:15:27.222038381Z	35.94	38	cassandra-001	63.04
63.04	0.0	0.0	51.05	35.94	48.99	2018-08-08T17:15:34.231695272Z	35.94	41	cassandra-001	56.97
56.97	3.229	59.563	51.27	35.94	51.42	2018-08-08T17:15:41.237861995Z	35.94	44	cassandra-001	53.34
53.34	0.0	0.0	51.5	35.93	53.49	2018-08-08T17:15:48.247380226Z	35.93	47	cassandra-001	63.72
63.72	0.0	0.0	51.75	35.94	56.48	2018-08-08T17:15:55.256105105Z	35.94	50	cassandra-001	67.25
67.25	0.0	0.0	51.74	35.95	59.23	2018-08-08T17:16:02.261927041Z	35.95	52	cassandra-001	74.79
74.79	2.965	59.761	52.0	35.94	63.19	2018-08-08T17:16:09.267379318Z	35.94	55	cassandra-001	60.44
60.44	0.0	0.0	52.32	35.97	62.75	2018-08-08T17:16:16.274252131Z	35.97	58	cassandra-001	66.16
66.16	0.0	0.0	52.59	35.93	64.28	2018-08-08T17:16:23.28058869Z	35.93	60	cassandra-001	53.58
53.58	0.0	0.0	52.95	35.98	64.32	2018-08-08T17:16:30.288165211Z	35.98	63	cassandra-001	71.08
71.08	0.282	0.342	53.25	35.95	65.55	2018-08-08T17:16:37.296170879Z	35.95	65	cassandra-001	77.81
77.81	0.0	0.0	53.61	35.97	67.31	2018-08-08T17:16:44.303186912Z	35.97	67	cassandra-001	84.28
84.28	0.0	0.0	53.27	35.98	68.89	2018-08-08T17:16:51.310086749Z	35.98	70	cassandra-001	80.28
80.28	0.0	0.0	53.59	35.94	72.2	2018-08-08T17:16:58.318072244Z	35.94	72	cassandra-001	79.51
79.51	0.282	0.342	53.96	35.93	74.42	2018-08-08T17:17:05.326024966Z	35.93	74	cassandra-001	86.08
86.08	0.0	0.0	54.34	35.93	79.84	2018-08-08T17:17:12.334265541Z	35.93	76	cassandra-001	83.09
83.09	0.0	0.0	54.74	35.93	81.84	2018-08-08T17:17:19.346368663Z	35.93	78	cassandra-001	89.06
89.06	0.0	0.0	55.0	36.09	83.72	2018-08-08T17:17:26.356834985Z	36.09	80	cassandra-001	91.77
91.77	0.0	0.0	55.28	35.96	84.97	2018-08-08T17:17:33.36408834Z	35.96	82	cassandra-001	96.15
96.15	2.767	59.695	55.71	35.96	87.61	2018-08-08T17:17:40.373773103Z	35.96	84	cassandra-001	102.32
102.32	0.0	0.0	56.13	35.96	91.41	2018-08-08T17:17:47.380864322Z	35.96	86	cassandra-001	93.14
93.14	0.0	0.0	56.57	35.95	92.59	2018-08-08T17:17:54.388979061Z	35.95	88	cassandra-001	77.16
77.16	0.0	0.0	57.79	35.97	91.6	2018-08-08T17:18:01.397298513Z	35.97	90	cassandra-001	132.28
132.28	2.701	59.629	59.64	35.96	98.8	2018-08-08T17:18:08.407051717Z	35.96	92	cassandra-001	115.66
115.66	2.899	59.563	61.61	36.04	102.79	2018-08-08T17:18:15.415397255Z	36.04	94	cassandra-001	136.94
136.94	0.0	0.0	63.31	35.97	109.58	2018-08-08T17:18:22.423012075Z	35.97	95	cassandra-001	123.44
123.44	0.0	0.0	58.3	35.99	113.1	2018-08-08T17:18:29.431675519Z	35.99	95	cassandra-001	90.34
90.34	2.899	59.695	58.79	35.99	112.64	2018-08-08T17:18:36.43840292Z	35.99	95	cassandra-001	106.32
106.32	0.0	0.0	59.27	35.99	117.5	2018-08-08T17:18:43.44541176Z	35.99	95	cassandra-001	98.61
98.61	0.0	0.0	59.76	35.99	111.89	2018-08-08T17:18:50.453288182Z	35.99	95	cassandra-001	97.79
97.79	0.0	0.0	60.31	35.99	108.91	2018-08-08T17:18:57.464088939Z	35.99	95	cassandra-001	95.1
95.1	0.0	0.0	60.8	35.99	101.93	2018-08-08T17:19:04.470370219Z	35.99	95	cassandra-001	79.0
79.0	0.282	0.342	61.28	35.98	94.53	2018-08-08T17:19:11.478648116Z	35.98	95	cassandra-001	99.13
99.13	2.767	59.497	61.75	35.98	95.99	2018-08-08T17:19:18.487404816Z	35.98	95	cassandra-001	93.01
93.01	0.0	0.0	62.34	36.0	93.77	2018-08-08T17:19:25.498267696Z	36.0	96	cassandra-001	88.49
88.49	2.899	59.563	62.83	36.01	92.09	2018-08-08T17:19:32.508170626Z	36.01	98	cassandra-001	98.16
98.16	0.0	0.0	63.18	35.99	92.15	2018-08-08T17:19:39.517464928Z	35.99	99	cassandra-001	4.44
4.44	2.701	59.563	63.65	35.99	77.04	2018-08-08T17:19:46.526334569Z	35.99	101	cassandra-001	82.9
82.9	0.0	0.0	64.76	35.99	77.69	2018-08-08T17:19:53.535243Z	35.99	103	cassandra-001	171.11
171.11	0.0	0.0	65.61	36.0	89.69	2018-08-08T17:20:00.541695267Z	36.0	104	cassandra-001	146.16
146.16	0.0	0.0	67.55	35.99	98.54	2018-08-08T17:20:07.551291881Z	35.99	105	cassandra-001	150.5
150.5	0.0	0.0	69.49	35.99	108.88	2018-08-08T17:20:14.55983978Z	35.99	105	cassandra-001	136.72
136.72	0.282	0.342	72.38	35.99	115.31	2018-08-08T17:20:21.566267181Z	35.99	105	cassandra-001	134.73
134.73	3.097	59.761	66.18	35.99	137.02	2018-08-08T17:20:28.575674106Z	35.99	105	cassandra-001	89.24
89.24	0.0	0.0	66.72	35.99	138.08	2018-08-08T17:20:35.583720829Z	35.99	105	cassandra-001	98.69
98.69	0.0	0.0	67.24	35.99	126.01	2018-08-08T17:20:42.591566492Z	35.99	105	cassandra-001	89.93
89.93	2.899	59.497	67.4	35.99	116.64	2018-08-08T17:20:49.605401288Z	35.99	105	cassandra-001	99.07
99.07	0.0	0.0	67.94	35.99	108.06	2018-08-08T17:20:56.614959322Z	35.99	105	cassandra-001	88.3
88.3	0.0	0.0	68.47	35.99	99.99	2018-08-08T17:21:03.623103737Z	35.99	105	cassandra-001	99.25
99.25	3.163	59.431	68.99	35.99	94.08	2018-08-08T17:21:10.62984369Z	35.99	106	cassandra-001	98.11
98.11	0.0	0.0	69.23	35.99	95.56	2018-08-08T17:21:17.639752151Z	35.99	108	cassandra-001	89.83
89.83	0.0	0.0	69.79	35.99	94.08	2018-08-08T17:21:24.64773942Z	35.99	109	cassandra-001	93.44
93.44	0.0	0.0	70.33	35.99	94.67	2018-08-08T17:21:31.656743079Z	35.99	111	cassandra-001	106.72
106.72	0.282	0.342	71.86	35.99	95.94	2018-08-08T17:21:38.666073903Z	35.99	113	cassandra-001	188.82
188.82	3.295	59.629	72.46	35.99	112.7	2018-08-08T17:21:45.675638582Z	35.99	114	cassandra-001	143.06
143.06	0.0	0.0	74.44	35.99	120.0	2018-08-08T17:21:52.683219622Z	35.99	115	cassandra-001	142.45
142.45	0.0	0.0	76.41	35.98	127.39	2018-08-08T17:21:59.695842963Z	35.98	115	cassandra-001	148.98
148.98	0.0	0.0	77.75	36.02	137.24	2018-08-08T17:22:06.703012659Z	36.02	115	cassandra-001	56.77
56.77	0.0	0.0	73.19	36.04	131.13	2018-08-08T17:22:13.710892823Z	36.04	115	cassandra-001	99.85
99.85	3.445	60.037	73.71	36.04	129.99	2018-08-08T17:22:20.719986948Z	36.04	115	cassandra-001	102.58
102.58	0.0	0.0	74.95	36.04	115.62	2018-08-08T17:22:27.727041251Z	36.04	115	cassandra-001	158.31
158.31	0.0	0.0	74.54	36.04	118.16	2018-08-08T17:22:34.734672717Z	36.04	115	cassandra-001	86.51
86.51	0.0	0.0	75.13	36.04	108.83	2018-08-08T17:22:41.740971757Z	36.04	115	cassandra-001	107.64
107.64	0.0	0.0	75.7	36.05	101.94	2018-08-08T17:22:48.749136261Z	36.05	115	cassandra-001	92.47
92.47	0.282	0.342	75.99	36.07	107.89	2018-08-08T17:22:55.761352031Z	36.07	116	cassandra-001	113.09
113.09	0.0	0.0	76.6	36.08	110.1	2018-08-08T17:23:02.769903565Z	36.08	117	cassandra-001	100.49
100.49	0.0	0.0	67.97	36.08	109.75	2018-08-08T17:23:09.778367719Z	36.08	119	cassandra-001	96.04
96.04	0.0	0.0	69.69	36.21	99.37	2018-08-08T17:23:16.785647292Z	36.21	120	cassandra-001	200.96
200.96	0.282	0.342	70.15	36.1	118.45	2018-08-08T17:23:23.795861162Z	36.1	122	cassandra-001	172.86
172.86	0.0	0.0	72.27	36.19	129.32	2018-08-08T17:23:30.801606057Z	36.19	123	cassandra-001	144.31
144.31	0.0	0.0	74.25	36.14	137.96	2018-08-08T17:23:37.809560622Z	36.14	125	cassandra-001	150.18
150.18	0.0	0.0	75.68	36.14	144.14	2018-08-08T17:23:44.817922588Z	36.14	125	cassandra-001	100.95
100.95	0.282	0.342	72.34	36.17	144.22	2018-08-08T17:23:51.826973167Z	36.17	125	cassandra-001	135.0
135.0	0.0	0.0	74.49	36.33	150.71	2018-08-08T17:23:58.834955021Z	36.33	125	cassandra-001	187.71
187.71	3.229	59.893	76.13	36.21	148.5	2018-08-08T17:24:05.841434997Z	36.21	125	cassandra-001	144.39
144.39	0.0	0.0	78.06	36.18	143.76	2018-08-08T17:24:12.850108324Z	36.18	125	cassandra-001	143.37
143.37	0.0	0.0	80.18	36.27	143.6	2018-08-08T17:24:19.856161919Z	36.27	125	cassandra-001	134.46
134.46	3.031	59.761	83.51	36.24	140.98	2018-08-08T17:24:26.862170691Z	36.24	125	cassandra-001	215.39
215.39	0.0	0.0	84.71	36.22	160.05	2018-08-08T17:24:33.870538237Z	36.22	125	cassandra-001	129.28
129.28	0.0	0.0	86.86	36.33	159.1	2018-08-08T17:24:40.881147363Z	36.33	125	cassandra-001	137.98
137.98	2.965	59.629	89.11	36.3	150.81	2018-08-08T17:24:47.888654047Z	36.3	125	cassandra-001	162.86
162.86	0.0	0.0	90.4	36.28	153.89	2018-08-08T17:24:54.896969262Z	36.28	125	cassandra-001	124.96
124.96	0.0	0.0	90.76	36.28	150.82	2018-08-08T17:25:01.906280394Z	36.28	125	cassandra-001	151.37
