host_cpu	net_receive	net_send	memory%	memory_active_anon%	host_moving_avg_cpu	timestamp	memory_rss%	sensor_count	name	container_cpu%
0	176.652	3350.809	77.28	37.34	nan	2018-08-08T17:38:22.119762077Z	37.34	0	cassandra-001	1.29
1.29	0.0	0.0	77.28	37.34	nan	2018-08-08T17:38:29.128043639Z	37.34	4	cassandra-001	1.28
1.28	0.0	0.0	77.28	37.34	nan	2018-08-08T17:38:36.136493608Z	37.34	7	cassandra-001	1.17
1.17	2.833	59.497	77.32	37.34	nan	2018-08-08T17:38:43.142977469Z	37.34	11	cassandra-001	18.98
18.98	0.0	0.0	77.38	37.34	nan	2018-08-08T17:38:50.148958564Z	37.34	15	cassandra-001	22.69
22.69	0.0	0.0	77.43	37.31	7.57	2018-08-08T17:38:57.158868626Z	37.31	18	cassandra-001	22.42
22.42	0.0	0.0	77.37	37.13	11.3	2018-08-08T17:39:04.168876259Z	37.13	22	cassandra-001	39.86
39.86	0.282	0.342	77.49	37.14	17.73	2018-08-08T17:39:11.177156233Z	37.14	25	cassandra-001	29.91
29.91	2.965	59.563	77.63	37.14	22.5	2018-08-08T17:39:18.184349288Z	37.14	28	cassandra-001	34.55
34.55	0.0	0.0	77.77	37.13	28.07	2018-08-08T17:39:25.191271881Z	37.13	31	cassandra-001	33.44
33.44	0.0	0.0	77.94	37.13	30.48	2018-08-08T17:39:32.199535416Z	37.13	34	cassandra-001	46.14
46.14	2.899	59.761	78.13	37.13	34.39	2018-08-08T17:39:39.20944746Z	37.13	36	cassandra-001	40.09
40.09	0.0	0.0	78.32	37.13	37.33	2018-08-08T17:39:46.216420855Z	37.13	39	cassandra-001	39.32
39.32	0.0	0.0	78.52	37.13	37.24	2018-08-08T17:39:53.224940789Z	37.13	41	cassandra-001	45.27
45.27	2.635	59.629	79.34	37.13	39.8	2018-08-08T17:40:00.235861473Z	37.13	44	cassandra-001	96.02
96.02	3.361	59.695	79.48	37.13	50.05	2018-08-08T17:40:07.244669643Z	37.13	46	cassandra-001	50.42
50.42	0.0	0.0	79.73	37.13	52.88	2018-08-08T17:40:14.25109059Z	37.13	49	cassandra-001	59.19
59.19	0.0	0.0	79.98	37.14	55.05	2018-08-08T17:40:21.258340361Z	37.14	51	cassandra-001	52.01
52.01	0.0	0.0	80.25	37.13	57.04	2018-08-08T17:40:28.267647689Z	37.13	52	cassandra-001	65.86
65.86	0.282	0.342	80.53	37.13	61.46	2018-08-08T17:40:35.274128768Z	37.13	55	cassandra-001	59.28
59.28	0.0	0.0	80.78	37.1	63.8	2018-08-08T17:40:42.282506301Z	37.1	57	cassandra-001	61.43
61.43	3.097	59.761	81.08	37.1	58.03	2018-08-08T17:40:49.293527434Z	37.1	59	cassandra-001	67.74
67.74	0.0	0.0	81.57	37.12	60.92	2018-08-08T17:40:56.301302977Z	37.12	61	cassandra-001	122.7
122.7	3.295	59.761	83.27	37.1	71.5	2018-08-08T17:41:03.308378052Z	37.1	62	cassandra-001	102.28
102.28	0.0	0.0	85.0	37.09	79.88	2018-08-08T17:41:10.319515436Z	37.09	64	cassandra-001	103.23
103.23	0.0	0.0	86.75	37.1	86.11	2018-08-08T17:41:17.334172203Z	37.1	66	cassandra-001	104.57
104.57	2.833	59.365	87.66	37.12	93.66	2018-08-08T17:41:24.340804162Z	37.12	68	cassandra-001	79.2
79.2	0.0	0.0	82.74	37.09	96.62	2018-08-08T17:41:31.351998498Z	37.09	70	cassandra-001	83.02
83.02	0.0	0.0	83.22	37.1	99.17	2018-08-08T17:41:38.364197677Z	37.1	72	cassandra-001	65.8
65.8	3.097	59.695	83.59	37.1	89.68	2018-08-08T17:41:45.371502508Z	37.1	74	cassandra-001	77.33
77.33	0.0	0.0	83.97	37.1	85.53	2018-08-08T17:41:52.381813251Z	37.1	76	cassandra-001	101.88
101.88	0.0	0.0	84.35	37.1	85.3	2018-08-08T17:41:59.390120485Z	37.1	77	cassandra-001	82.04
82.04	0.0	0.0	84.75	37.1	81.54	2018-08-08T17:42:06.399297896Z	37.1	79	cassandra-001	69.82
69.82	0.282	0.342	86.48	37.12	79.98	2018-08-08T17:42:13.406937129Z	37.12	81	cassandra-001	72.0
72.0	2.899	59.563	85.3	37.12	78.15	2018-08-08T17:42:20.414533429Z	37.12	83	cassandra-001	95.44
95.44	0.0	0.0	85.7	37.13	83.09	2018-08-08T17:42:27.423713342Z	37.13	84	cassandra-001	51.37
51.37	0.0	0.0	86.13	37.12	78.76	2018-08-08T17:42:34.43350361Z	37.12	86	cassandra-001	79.54
79.54	3.097	59.629	86.54	37.12	75.04	2018-08-08T17:42:41.440683285Z	37.12	87	cassandra-001	70.82
70.82	0.0	0.0	87.08	37.12	73.17	2018-08-08T17:42:48.447891126Z	37.12	89	cassandra-001	85.26
85.26	3.097	59.695	87.53	37.12	75.74	2018-08-08T17:42:55.45573538Z	37.12	90	cassandra-001	88.34
88.34	0.0	0.0	88.0	37.12	78.46	2018-08-08T17:43:02.466539803Z	37.12	92	cassandra-001	91.92
91.92	2.833	59.695	88.47	37.12	77.88	2018-08-08T17:43:09.47391804Z	37.12	94	cassandra-001	115.55
115.55	0.0	0.0	90.16	37.14	88.57	2018-08-08T17:43:16.48579383Z	37.14	95	cassandra-001	145.99
145.99	0.0	0.0	89.99	37.15	99.65	2018-08-08T17:43:23.493982121Z	37.15	96	cassandra-001	136.62
136.62	2.833	59.629	91.87	37.15	110.61	2018-08-08T17:43:30.50445538Z	37.15	97	cassandra-001	124.48
124.48	2.899	59.761	91.96	37.15	117.15	2018-08-08T17:43:37.511789015Z	37.15	99	cassandra-001	124.15
124.15	0.0	0.0	92.12	37.15	123.12	2018-08-08T17:43:44.519044264Z	37.15	100	cassandra-001	79.99
79.99	0.0	0.0	86.42	37.15	121.13	2018-08-08T17:43:51.525103364Z	37.15	100	cassandra-001	90.71
90.71	0.0	0.0	86.92	37.14	116.99	2018-08-08T17:43:58.537772418Z	37.14	100	cassandra-001	109.17
109.17	0.282	0.342	87.42	37.14	110.85	2018-08-08T17:44:05.545530603Z	37.14	100	cassandra-001	79.38
