----------------------------------------------------------------
memory%	memory_active_anon%	host_moving_avg_cpu	memory_rss%	sensor_count	timestamp	net_send	host_cpu	net_receive	container_cpu%	name
71.71	37.56	nan	37.56	1	2018-08-08T19:49:02.621780869Z	18647.861	0	971.584	1.34	cassandra-001
71.72	37.56	nan	37.56	5	2018-08-08T19:49:09.629329496Z	0.0	1.34	0.0	9.33	cassandra-001
71.76	37.56	nan	37.56	10	2018-08-08T19:49:16.636117835Z	0.342	9.33	0.282	15.82	cassandra-001
71.82	37.56	nan	37.56	14	2018-08-08T19:49:23.64317791Z	0.042	15.82	0.042	28.51	cassandra-001
71.9	37.56	nan	37.56	18	2018-08-08T19:49:30.65184299Z	0.0	28.51	0.0	27.65	cassandra-001
72.01	37.56	13.78	37.56	21	2018-08-08T19:49:37.661114326Z	0.0	27.65	0.0	28.53	cassandra-001
72.13	37.57	18.53	37.57	25	2018-08-08T19:49:44.668827175Z	0.0	28.53	0.0	36.91	cassandra-001
72.29	37.59	24.46	37.59	29	2018-08-08T19:49:51.676027172Z	0.384	36.91	0.324	38.94	cassandra-001
72.42	37.56	29.39	37.56	32	2018-08-08T19:49:58.682755041Z	0.0	38.94	0.0	45.01	cassandra-001
72.6	37.56	34.26	37.56	35	2018-08-08T19:50:05.690294792Z	0.0	45.01	0.0	50.77	cassandra-001
72.77	37.56	37.97	37.56	37	2018-08-08T19:50:12.704090784Z	0.0	50.77	0.0	31.28	cassandra-001
72.97	37.56	38.57	37.56	40	2018-08-08T19:50:19.710390032Z	0.342	31.28	0.282	48.45	cassandra-001
73.2	37.56	41.89	37.56	43	2018-08-08T19:50:26.716741554Z	0.0	48.45	0.0	51.58	cassandra-001
73.42	37.56	44.34	37.56	45	2018-08-08T19:50:33.724362463Z	0.0	51.58	0.0	45.29	cassandra-001
74.97	37.57	45.4	37.57	48	2018-08-08T19:50:40.731757276Z	0.0	45.29	0.0	102.36	cassandra-001
73.62	37.56	54.96	37.56	50	2018-08-08T19:50:47.740405584Z	0.342	102.36	0.282	49.39	cassandra-001
73.9	37.56	54.73	37.56	53	2018-08-08T19:50:54.747667628Z	0.0	49.39	0.0	49.45	cassandra-001
74.17	37.56	57.75	37.56	55	2018-08-08T19:51:01.757005453Z	0.0	49.45	0.0	67.19	cassandra-001
74.45	37.57	60.88	37.57	57	2018-08-08T19:51:08.764839077Z	0.0	67.19	0.0	57.07	cassandra-001
74.75	37.57	61.79	37.57	60	2018-08-08T19:51:15.776432362Z	0.342	57.07	0.282	69.03	cassandra-001
75.06	37.56	65.75	37.56	62	2018-08-08T19:51:22.786853764Z	0.0	69.03	0.0	60.05	cassandra-001
76.68	37.57	58.7	37.57	64	2018-08-08T19:51:29.793615542Z	0.0	60.05	0.0	119.67	cassandra-001
75.02	37.58	70.41	37.58	65	2018-08-08T19:51:36.802390277Z	59.695	119.67	2.965	74.49	cassandra-001
75.36	37.57	74.58	37.57	66	2018-08-08T19:51:43.81100976Z	0.0	74.49	0.0	66.23	cassandra-001
75.69	37.57	74.42	37.57	67	2018-08-08T19:51:50.817300024Z	59.563	66.23	2.965	64.31	cassandra-001
76.04	37.57	75.63	37.57	68	2018-08-08T19:51:57.823559579Z	0.0	64.31	0.0	63.9	cassandra-001
76.4	37.57	74.78	37.57	70	2018-08-08T19:52:04.8348657Z	0.0	63.9	0.0	71.32	cassandra-001
78.06	37.58	76.65	37.58	72	2018-08-08T19:52:11.843446444Z	0.0	71.32	0.0	63.23	cassandra-001
78.4	37.58	67.25	37.58	74	2018-08-08T19:52:18.850638239Z	0.0	63.23	0.0	106.68	cassandra-001
80.18	37.58	72.61	37.58	75	2018-08-08T19:52:25.860513695Z	0.342	106.68	0.282	107.37	cassandra-001
81.96	37.57	79.47	37.57	76	2018-08-08T19:52:32.866882288Z	0.0	107.37	0.0	106.08	cassandra-001
83.16	37.57	86.43	37.57	78	2018-08-08T19:52:39.873781537Z	0.0	106.08	0.0	92.53	cassandra-001
79.19	37.58	91.2	37.58	79	2018-08-08T19:52:46.880759517Z	0.0	92.53	0.0	157.02	cassandra-001
79.67	37.58	105.49	37.58	80	2018-08-08T19:52:53.888979585Z	0.342	157.02	0.282	80.11	cassandra-001
80.08	37.58	108.3	37.58	80	2018-08-08T19:53:00.898501898Z	59.695	80.11	2.701	70.28	cassandra-001
80.5	37.58	102.23	37.58	80	2018-08-08T19:53:07.906294521Z	0.0	70.28	0.0	71.42	cassandra-001
80.89	37.58	96.24	37.58	80	2018-08-08T19:53:14.91253338Z	0.0	71.42	0.0	78.92	cassandra-001
82.51	37.58	91.71	37.58	80	2018-08-08T19:53:21.919654294Z	0.0	78.92	0.0	149.57	cassandra-001
81.41	37.58	101.22	37.58	80	2018-08-08T19:53:28.926995905Z	0.0	149.57	0.0	75.32	cassandra-001
81.81	37.58	87.6	37.58	80	2018-08-08T19:53:35.935835583Z	0.342	75.32	0.282	91.57	cassandra-001
82.22	37.58	89.51	37.58	80	2018-08-08T19:53:42.94842495Z	0.0	91.57	0.0	66.03	cassandra-001
82.63	37.58	88.8	37.58	80	2018-08-08T19:53:49.957368862Z	0.0	66.03	0.0	90.41	cassandra-001
84.33	37.58	91.97	37.58	82	2018-08-08T19:53:56.963891547Z	0.0	90.41	0.0	106.06	cassandra-001
83.15	37.58	96.49	37.58	84	2018-08-08T19:54:03.972218031Z	0.342	106.06	0.282	91.11	cassandra-001
83.58	37.58	86.75	37.58	86	2018-08-08T19:54:10.978934439Z	59.431	91.11	3.031	92.05	cassandra-001
84.01	37.58	89.54	37.58	87	2018-08-08T19:54:17.986070764Z	0.0	92.05	0.0	94.82	cassandra-001
84.44	37.58	90.08	37.58	88	2018-08-08T19:54:24.996637806Z	0.0	94.82	0.0	68.02	cassandra-001
85.93	37.58	90.41	37.58	89	2018-08-08T19:54:32.004857922Z	0.0	68.02	0.0	119.08	cassandra-001
87.77	37.58	95.19	37.58	90	2018-08-08T19:54:39.012020511Z	59.431	119.08	3.097	124.81	cassandra-001
89.57	37.58	98.32	37.58	91	2018-08-08T19:54:46.018788768Z	0.0	124.81	0.0	96.9	cassandra-001
91.44	37.58	99.28	37.58	92	2018-08-08T19:54:53.026864845Z	0.0	96.9	0.0	114.47	cassandra-001
87.67	37.58	103.02	37.58	93	2018-08-08T19:55:00.034668478Z	0.0	114.47	0.0	146.97	cassandra-001
86.93	37.59	111.71	37.59	95	2018-08-08T19:55:07.04224688Z	0.342	146.97	0.282	100.42	cassandra-001
87.4	37.59	117.11	37.59	95	2018-08-08T19:55:14.048678243Z	0.0	100.42	0.0	87.82	cassandra-001
87.88	37.59	111.9	37.59	95	2018-08-08T19:55:21.054844972Z	0.0	87.82	0.0	86.34	cassandra-001
88.36	37.59	105.49	37.59	95	2018-08-08T19:55:28.06292806Z	0.0	86.34	0.0	98.33	cassandra-001
88.53	37.58	105.73	37.58	95	2018-08-08T19:55:35.069947048Z	0.0	98.33	0.0	85.06	cassandra-001
89.02	37.59	100.82	37.59	95	2018-08-08T19:55:42.07846021Z	0.342	85.06	0.282	86.96	cassandra-001
89.5	37.58	90.82	37.58	95	2018-08-08T19:55:49.088648875Z	0.0	86.96	0.0	85.94	cassandra-001
89.98	37.58	88.41	37.58	95	2018-08-08T19:55:56.095105301Z	59.761	85.94	2.965	91.11	cassandra-001
90.15	37.58	88.96	37.58	95	2018-08-08T19:56:03.101495441Z	0.0	91.11	0.0	84.83	cassandra-001
90.62	37.58	88.71	37.58	95	2018-08-08T19:56:10.11187213Z	0.0	84.83	0.0	69.15	cassandra-001
91.11	37.58	83.84	37.58	97	2018-08-08T19:56:17.118259072Z	0.0	69.15	0.0	92.08	cassandra-001
91.6	37.58	85.01	37.58	98	2018-08-08T19:56:24.125258626Z	0.0	92.08	0.0	77.41	cassandra-001
91.5	37.59	83.42	37.59	99	2018-08-08T19:56:31.133920125Z	0.342	77.41	0.282	145.25	cassandra-001
92.72	37.59	93.31	37.59	100	2018-08-08T19:56:38.141964724Z	0.0	145.25	0.0	131.86	cassandra-001
92.52	37.59	100.1	37.59	100	2018-08-08T19:56:45.14999918Z	59.629	131.86	3.163	117.91	cassandra-001
92.7	37.59	105.61	37.59	100	2018-08-08T19:56:52.157947018Z	0.0	117.91	0.0	126.99	cassandra-001
92.52	37.59	115.25	37.59	100	2018-08-08T19:56:59.16737642Z	0.0	126.99	0.0	101.42	cassandra-001
85.86	37.59	116.81	37.59	100	2018-08-08T19:57:06.17474794Z	59.761	101.42	2.965	75.08	cassandra-001
86.38	37.58	116.42	37.58	100	2018-08-08T19:57:13.181587137Z	0.0	75.08	0.0	80.42	cassandra-001
86.88	37.58	105.61	37.58	100	2018-08-08T19:57:20.188390051Z	0.0	80.42	0.0	87.58	cassandra-001
87.87	37.58	98.23	37.58	100	2018-08-08T19:57:27.195679153Z	0.0	87.58	0.0	77.31	cassandra-001
88.23	37.58	91.47	37.58	100	2018-08-08T19:57:34.203310707Z	59.431	77.31	2.701	85.66	cassandra-001
88.72	37.58	84.58	37.58	101	2018-08-08T19:57:41.209836758Z	0.0	85.66	0.0	95.5	cassandra-001
89.2	37.58	83.59	37.58	103	2018-08-08T19:57:48.219558847Z	0.0	95.5	0.0	77.68	cassandra-001
90.6	37.58	84.03	37.58	104	2018-08-08T19:57:55.227838059Z	0.0	77.68	0.0	151.26	cassandra-001
89.81	37.57	95.83	37.57	105	2018-08-08T19:58:02.2334836Z	59.563	151.26	3.031	87.45	cassandra-001
90.33	37.58	95.81	37.58	105	2018-08-08T19:58:09.241818852Z	0.0	87.45	0.0	100.75	cassandra-001
90.88	37.58	99.72	37.58	105	2018-08-08T19:58:16.250400144Z	0.0	100.75	0.0	85.17	cassandra-001
92.68	37.58	99.64	37.58	105	2018-08-08T19:58:23.256177577Z	0.0	85.17	0.0	122.75	cassandra-001
92.44	37.58	104.18	37.58	105	2018-08-08T19:58:30.262422969Z	0.342	122.75	0.282	116.82	cassandra-001
92.67	37.62	110.7	37.62	105	2018-08-08T19:58:37.270382932Z	0.0	116.82	0.0	120.15	cassandra-001
92.48	37.58	105.52	37.58	105	2018-08-08T19:58:44.277415033Z	0.0	120.15	0.0	118.37	cassandra-001
92.46	37.58	110.67	37.58	105	2018-08-08T19:58:51.283882656Z	0.0	118.37	0.0	85.92	cassandra-001
86.71	37.58	108.2	37.58	105	2018-08-08T19:58:58.292002021Z	0.0	85.92	0.0	114.84	cassandra-001
88.66	37.58	113.14	37.58	107	2018-08-08T19:59:05.298920682Z	0.342	114.84	0.282	122.61	cassandra-001
90.53	37.58	113.12	37.58	108	2018-08-08T19:59:12.307004025Z	0.0	122.61	0.0	114.66	cassandra-001
91.95	37.58	112.76	37.58	110	2018-08-08T19:59:19.318748187Z	0.0	114.66	0.0	138.53	cassandra-001
92.54	37.58	115.82	37.58	111	2018-08-08T19:59:26.325111254Z	0.0	138.53	0.0	127.16	cassandra-001
92.44	37.58	117.29	37.58	112	2018-08-08T19:59:33.331733157Z	0.342	127.16	0.282	143.31	cassandra-001
92.66	37.61	126.85	37.61	114	2018-08-08T19:59:40.339780743Z	59.695	143.31	2.833	123.26	cassandra-001
92.33	37.61	128.26	37.61	115	2018-08-08T19:59:47.346860876Z	0.0	123.26	0.0	109.64	cassandra-001
92.53	37.63	126.09	37.63	115	2018-08-08T19:59:54.353846924Z	0.0	109.64	0.0	131.06	cassandra-001
92.51	37.64	128.83	37.64	115	2018-08-08T20:00:01.362910955Z	59.695	131.06	3.031	94.54	cassandra-001
