memory%	memory_active_anon%	host_moving_avg_cpu	memory_rss%	sensor_count	timestamp	net_send	host_cpu	net_receive	container_cpu%	name
92.37	38.0	nan	38.0	1	2018-08-08T20:48:32.742573899Z	23024.406	0	1210.529	45.83	cassandra-001
92.57	38.0	nan	38.0	4	2018-08-08T20:48:39.750918842Z	0.0	45.83	0.0	18.0	cassandra-001
92.31	38.0	nan	38.0	9	2018-08-08T20:48:46.758348074Z	0.0	18.0	0.0	50.36	cassandra-001
92.4	38.0	nan	38.0	13	2018-08-08T20:48:53.766877185Z	59.497	50.36	2.965	63.01	cassandra-001
92.68	38.0	nan	38.0	17	2018-08-08T20:49:00.776942894Z	0.0	63.01	0.0	68.21	cassandra-001
92.64	38.0	40.9	38.0	21	2018-08-08T20:49:07.784111273Z	0.0	68.21	0.0	61.68	cassandra-001
92.5	38.0	51.18	38.0	24	2018-08-08T20:49:14.790873359Z	0.0	61.68	0.0	64.37	cassandra-001
92.51	38.0	54.27	38.0	28	2018-08-08T20:49:21.798200449Z	59.629	64.37	2.965	44.26	cassandra-001
92.52	38.0	58.65	38.0	31	2018-08-08T20:49:28.804468307Z	0.0	44.26	0.0	75.95	cassandra-001
92.68	38.0	62.91	38.0	33	2018-08-08T20:49:35.813277017Z	59.761	75.95	2.899	60.65	cassandra-001
92.37	38.0	62.52	38.0	36	2018-08-08T20:49:42.820210088Z	0.0	60.65	0.0	80.38	cassandra-001
92.54	38.0	64.55	38.0	39	2018-08-08T20:49:49.829069113Z	0.0	80.38	0.0	81.01	cassandra-001
92.5	38.0	67.77	38.0	42	2018-08-08T20:49:56.838444718Z	0.0	81.01	0.0	51.51	cassandra-001
92.44	38.0	65.63	38.0	44	2018-08-08T20:50:03.846285842Z	0.0	51.51	0.0	112.25	cassandra-001
92.37	38.01	76.96	38.01	46	2018-08-08T20:50:10.853652702Z	59.563	112.25	2.899	87.51	cassandra-001
92.5	38.02	78.89	38.02	49	2018-08-08T20:50:17.860400261Z	0.0	87.51	0.0	105.86	cassandra-001
92.41	38.02	86.42	38.02	51	2018-08-08T20:50:24.870349634Z	0.0	105.86	0.0	97.58	cassandra-001
92.51	38.02	89.29	38.02	53	2018-08-08T20:50:31.876538716Z	59.563	97.58	2.767	100.28	cassandra-001
92.54	38.02	92.5	38.02	55	2018-08-08T20:50:38.885239701Z	0.0	100.28	0.0	72.56	cassandra-001
62.96	38.02	96.01	38.02	58	2018-08-08T20:50:45.892037257Z	0.0	72.56	0.0	89.98	cassandra-001
65.62	38.02	92.3	38.02	60	2018-08-08T20:50:52.900330525Z	59.497	89.98	2.833	96.77	cassandra-001
68.74	38.04	93.84	38.04	62	2018-08-08T20:50:59.908799951Z	0.0	96.77	0.0	114.51	cassandra-001
71.43	38.02	95.28	38.02	64	2018-08-08T20:51:06.915862476Z	0.0	114.51	0.0	104.04	cassandra-001
73.45	38.02	96.36	38.02	66	2018-08-08T20:51:13.9230804Z	0.0	104.04	0.0	70.72	cassandra-001
74.89	38.02	91.43	38.02	67	2018-08-08T20:51:20.929314383Z	59.497	70.72	3.097	100.38	cassandra-001
77.68	38.02	96.07	38.02	69	2018-08-08T20:51:27.935865915Z	0.0	100.38	0.0	88.46	cassandra-001
80.48	38.02	95.81	38.02	71	2018-08-08T20:51:34.943364697Z	0.0	88.46	0.0	108.23	cassandra-001
82.81	38.02	97.72	38.02	72	2018-08-08T20:51:41.953530621Z	0.0	108.23	0.0	108.08	cassandra-001
84.45	38.02	96.65	38.02	74	2018-08-08T20:51:48.960527015Z	59.431	108.08	2.767	74.98	cassandra-001
87.43	38.03	91.81	38.03	76	2018-08-08T20:51:55.966963444Z	0.0	74.98	0.0	96.23	cassandra-001
90.2	38.02	96.06	38.02	77	2018-08-08T20:52:02.974483814Z	0.0	96.23	0.0	102.97	cassandra-001
92.62	38.02	96.49	38.02	79	2018-08-08T20:52:09.984146131Z	0.0	102.97	0.0	104.95	cassandra-001
92.61	38.02	99.24	38.02	80	2018-08-08T20:52:16.991173564Z	0.342	104.95	0.282	95.79	cassandra-001
