memory%	memory_active_anon%	host_moving_avg_cpu	memory_rss%	sensor_count	timestamp	net_send	host_cpu	net_receive	container_cpu%	name
87.02	37.96	nan	37.96	0	2018-08-08T21:08:08.638794961Z	25002.687	0	1314.008	1.28	cassandra-001
87.02	37.96	nan	37.96	3	2018-08-08T21:08:15.647205621Z	0.0	1.28	0.0	1.36	cassandra-001
87.02	37.96	nan	37.96	6	2018-08-08T21:08:22.658183262Z	0.0	1.36	0.0	1.82	cassandra-001
87.05	37.96	nan	37.96	9	2018-08-08T21:08:29.668320377Z	0.0	1.82	0.0	9.43	cassandra-001
87.1	37.96	nan	37.96	12	2018-08-08T21:08:36.678048237Z	0.342	9.43	0.282	16.86	cassandra-001
87.19	37.97	5.12	37.97	15	2018-08-08T21:08:43.685342957Z	0.0	16.86	0.0	23.21	cassandra-001
87.27	37.96	8.99	37.96	19	2018-08-08T21:08:50.692585355Z	0.0	23.21	0.0	27.51	cassandra-001
87.37	37.95	13.36	37.95	22	2018-08-08T21:08:57.702699402Z	0.0	27.51	0.0	28.19	cassandra-001
87.5	37.96	17.84	37.96	25	2018-08-08T21:09:04.70999545Z	0.342	28.19	0.282	26.13	cassandra-001
87.66	37.96	21.89	37.96	28	2018-08-08T21:09:11.716670174Z	0.0	26.13	0.0	30.56	cassandra-001
88.28	37.96	25.41	37.96	31	2018-08-08T21:09:18.728887398Z	0.0	30.56	0.0	37.66	cassandra-001
88.45	37.96	28.88	37.96	34	2018-08-08T21:09:25.736034327Z	0.0	37.66	0.0	47.86	cassandra-001
88.64	37.97	32.98	37.97	37	2018-08-08T21:09:32.744265881Z	0.342	47.86	0.282	48.95	cassandra-001
88.82	37.97	36.56	37.97	39	2018-08-08T21:09:39.764515605Z	0.0	48.95	0.0	32.0	cassandra-001
89.03	37.97	37.19	37.97	41	2018-08-08T21:09:46.772134124Z	0.0	32.0	0.0	44.27	cassandra-001
