container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
1.24	3	nan	90.13	37.64	0	37.64	2018-08-07T17:27:24.531931997Z	277091.121	cassandra-001	30250.997
4.06	8	nan	90.14	37.64	1.24	37.64	2018-08-07T17:27:31.542579716Z	6.425	cassandra-001	0.644
8.11	14	nan	90.16	37.64	4.06	37.64	2018-08-07T17:27:38.551414892Z	8.94	cassandra-001	1.132
13.41	18	nan	90.19	37.64	8.11	37.64	2018-08-07T17:27:45.559793353Z	26.055	cassandra-001	2.618
13.08	23	nan	90.22	37.64	13.41	37.64	2018-08-07T17:27:52.570884376Z	17.579	cassandra-001	2.251
23.33	27	6.65	90.26	37.64	13.08	37.64	2018-08-07T17:27:59.579567533Z	19.516	cassandra-001	2.0
19.49	31	10.54	90.32	37.64	23.33	37.64	2018-08-07T17:28:06.58997983Z	46.668	cassandra-001	4.882
22.03	34	13.58	90.37	37.64	19.49	37.64	2018-08-07T17:28:13.598825974Z	27.4	cassandra-001	3.344
28.93	38	16.58	90.43	37.64	22.03	37.64	2018-08-07T17:28:20.607883976Z	59.211	cassandra-001	6.685
19.31	41	20.04	90.5	37.64	28.93	37.64	2018-08-07T17:28:27.615054416Z	33.03	cassandra-001	3.276
25.84	44	21.03	90.57	37.64	19.31	37.64	2018-08-07T17:28:34.623457122Z	35.536	cassandra-001	3.896
30.31	47	23.15	90.65	37.64	25.84	37.64	2018-08-07T17:28:41.62976203Z	76.337	cassandra-001	8.08
27.37	50	24.32	90.73	37.64	30.31	37.64	2018-08-07T17:28:48.637795694Z	40.659	cassandra-001	3.933
34.02	53	25.63	90.82	37.64	27.37	37.64	2018-08-07T17:28:55.645155011Z	86.167	cassandra-001	9.278
24.92	56	27.63	90.92	37.64	34.02	37.64	2018-08-07T17:29:02.653688314Z	45.928	cassandra-001	4.658
32.21	58	26.96	91.1	37.64	24.92	37.64	2018-08-07T17:29:09.660063344Z	48.71	cassandra-001	6.268
28.4	61	29.11	91.94	37.65	32.21	37.65	2018-08-07T17:29:16.668710174Z	99.45	cassandra-001	10.593
38.83	64	29.54	92.04	37.65	28.4	37.65	2018-08-07T17:29:23.679541864Z	52.998	cassandra-001	5.844
42.09	66	30.96	92.15	37.65	38.83	37.65	2018-08-07T17:29:30.688795564Z	108.189	cassandra-001	9.456
