----------------------------------------------------------------
container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
61.06	3	nan	92.83	37.8	0	37.8	2018-08-07T18:42:18.748317605Z	343877.241	cassandra-001	37308.754
46.66	10	nan	92.71	37.8	61.06	37.8	2018-08-07T18:42:25.757743567Z	9.908	cassandra-001	1.421
53.68	15	nan	92.79	37.79	46.66	37.79	2018-08-07T18:42:32.766936687Z	10.06	cassandra-001	1.158
70.84	20	nan	92.7	37.8	53.68	37.8	2018-08-07T18:42:39.777894109Z	13.616	cassandra-001	1.698
61.79	24	nan	92.57	37.8	70.84	37.8	2018-08-07T18:42:46.78744872Z	37.254	cassandra-001	4.872
72.51	28	49.0	92.9	37.8	61.79	37.8	2018-08-07T18:42:53.795248342Z	23.133	cassandra-001	3.411
53.15	32	61.09	92.85	37.79	72.51	37.79	2018-08-07T18:43:00.80445464Z	50.952	cassandra-001	7.428
76.54	35	59.77	92.7	37.8	53.15	37.8	2018-08-07T18:43:07.812983945Z	28.28	cassandra-001	2.644
46.48	39	64.75	92.58	37.8	76.54	37.8	2018-08-07T18:43:14.82012637Z	30.172	cassandra-001	2.63
24.05	42	63.55	60.14	37.79	46.48	37.79	2018-08-07T18:43:21.829124528Z	68.171	cassandra-001	8.505
70.0	45	55.75	62.68	37.79	24.05	37.79	2018-08-07T18:43:28.839005519Z	36.462	cassandra-001	4.542
78.6	48	57.12	65.13	37.8	70.0	37.8	2018-08-07T18:43:35.848333984Z	78.329	cassandra-001	8.964
40.43	51	58.14	63.44	37.8	78.6	37.8	2018-08-07T18:43:42.856652584Z	41.569	cassandra-001	4.646
30.19	54	56.02	63.53	37.8	40.43	37.8	2018-08-07T18:43:49.866088485Z	43.001	cassandra-001	4.117
37.51	56	48.29	63.63	37.8	30.19	37.8	2018-08-07T18:43:56.875190069Z	93.704	cassandra-001	11.428
28.0	59	46.8	63.72	37.8	37.51	37.8	2018-08-07T18:44:03.883766299Z	48.441	cassandra-001	5.37
36.01	62	47.45	63.83	37.8	28.0	37.8	2018-08-07T18:44:10.897278827Z	101.155	cassandra-001	10.844
33.97	64	41.79	63.94	37.8	36.01	37.8	2018-08-07T18:44:17.904817426Z	53.467	cassandra-001	6.002
32.74	67	34.35	64.03	37.79	33.97	37.79	2018-08-07T18:44:24.911369978Z	54.228	cassandra-001	6.265
28.87	69	33.07	64.14	37.78	32.74	37.78	2018-08-07T18:44:31.919712889Z	113.892	cassandra-001	10.88
34.25	72	32.85	64.27	37.78	28.87	37.78	2018-08-07T18:44:38.928518221Z	59.427	cassandra-001	6.924
39.44	74	32.31	64.39	37.78	34.25	37.78	2018-08-07T18:44:45.936329719Z	122.363	cassandra-001	11.854
34.05	76	34.21	65.33	37.78	39.44	37.78	2018-08-07T18:44:52.956008414Z	64.043	cassandra-001	7.503
45.81	79	33.89	65.46	37.79	34.05	37.79	2018-08-07T18:44:59.965322716Z	60.638	cassandra-001	7.424
40.46	81	35.86	65.6	37.79	45.81	37.79	2018-08-07T18:45:06.976606147Z	134.396	cassandra-001	15.322
43.12	83	37.15	65.74	37.79	40.46	37.79	2018-08-07T18:45:13.988774567Z	67.018	cassandra-001	5.126
