memory_rss%	host_moving_avg_cpu	name	sensor_count	host_cpu	container_cpu%	net_receive	memory%	timestamp	net_send	memory_active_anon%
30.37	nan	kafka-001	2	0	6.6	208501988.817	87.68	2019-04-23T11:01:45.956072363Z	1857463.423	30.37
30.37	nan	kafka-001	6	6.6	4.98	44.869	87.68	2019-04-23T11:01:52.968859943Z	45.893	30.37
30.37	nan	kafka-001	10	4.98	6.47	59.997	87.69	2019-04-23T11:01:59.981576767Z	54.545	30.37
30.37	nan	kafka-001	14	6.47	22.09	8399.318	87.88	2019-04-23T11:02:06.994870708Z	130.093	30.37
30.37	nan	kafka-001	17	22.09	13.78	12614.343	87.3	2019-04-23T11:02:14.005968096Z	113.207	30.37
30.37	8.99	kafka-001	20	13.78	22.43	12309.404	87.59	2019-04-23T11:02:21.018306706Z	159.096	30.37
30.37	12.72	kafka-001	23	22.43	19.12	16669.897	87.98	2019-04-23T11:02:28.031301977Z	146.381	30.37
30.37	14.81	kafka-001	26	19.12	24.1	24347.13	87.67	2019-04-23T11:02:35.044788798Z	183.185	30.37
30.37	18.0	kafka-001	28	24.1	23.06	23558.543	87.34	2019-04-23T11:02:42.05616246Z	225.658	30.37
30.37	20.76	kafka-001	31	23.06	22.3	24483.145	87.92	2019-04-23T11:02:49.068876356Z	196.146	30.37
30.37	20.8	kafka-001	33	22.3	29.68	26648.013	87.66	2019-04-23T11:02:56.08306501Z	268.59	30.37
30.37	23.45	kafka-001	36	29.68	20.19	34755.702	87.61	2019-04-23T11:03:03.099789673Z	241.15	30.37
30.37	23.08	kafka-001	38	20.19	33.64	34297.281	87.53	2019-04-23T11:03:10.112412395Z	317.748	30.37
30.37	25.49	kafka-001	40	33.64	28.52	35636.593	87.49	2019-04-23T11:03:17.146318791Z	258.336	30.37
30.37	26.23	kafka-001	42	28.52	31.77	34560.382	87.42	2019-04-23T11:03:24.160342065Z	253.963	30.37
30.37	27.68	kafka-001	45	31.77	28.85	38370.56	87.45	2019-04-23T11:03:31.175199674Z	350.26	30.37
30.37	28.77	kafka-001	47	28.85	35.93	44381.668	87.61	2019-04-23T11:03:38.188101537Z	301.014	30.37
30.37	29.82	kafka-001	49	35.93	40.97	45127.517	87.8	2019-04-23T11:03:45.200528756Z	397.627	30.37
30.37	33.28	kafka-001	51	40.97	41.86	44847.029	87.36	2019-04-23T11:03:52.212679524Z	317.632	30.37
30.37	34.65	kafka-001	53	41.86	36.34	45189.064	87.27	2019-04-23T11:03:59.229674237Z	322.283	30.37
30.37	35.95	kafka-001	55	36.34	34.97	44220.526	87.43	2019-04-23T11:04:06.240804013Z	420.788	30.37
30.37	36.49	kafka-001	56	34.97	41.19	51867.947	87.67	2019-04-23T11:04:13.25338325Z	359.926	30.37
30.37	38.54	kafka-001	58	41.19	47.03	55162.584	87.1	2019-04-23T11:04:20.26624686Z	465.891	30.37
30.37	40.39	kafka-001	60	47.03	42.94	54629.501	87.41	2019-04-23T11:04:27.278411881Z	379.24	30.37
30.37	40.72	kafka-001	62	42.94	40.78	54714.794	87.6	2019-04-23T11:04:34.290662627Z	378.487	30.37
30.37	40.54	kafka-001	63	40.78	46.78	53823.387	87.78	2019-04-23T11:04:41.31177203Z	489.41	30.37
30.37	42.28	kafka-001	65	46.78	47.34	54779.095	87.29	2019-04-23T11:04:48.328407991Z	393.193	30.37
30.37	44.34	kafka-001	67	47.34	53.15	58086.361	87.69	2019-04-23T11:04:55.34106381Z	515.639	30.37
30.37	46.34	kafka-001	68	53.15	53.28	67193.064	87.39	2019-04-23T11:05:02.353717985Z	436.25	30.37
30.37	47.38	kafka-001	70	53.28	43.71	67958.492	87.13	2019-04-23T11:05:09.37012241Z	442.577	30.37
30.37	47.51	kafka-001	72	43.71	54.03	72251.494	87.97	2019-04-23T11:05:16.388260424Z	589.522	30.37
30.37	49.72	kafka-001	73	54.03	53.66	72958.057	87.82	2019-04-23T11:05:23.402489812Z	471.473	30.37
30.37	50.86	kafka-001	75	53.66	61.7	73711.463	87.81	2019-04-23T11:05:30.414085474Z	599.692	30.37
30.37	53.26	kafka-001	76	61.7	55.12	72552.633	87.75	2019-04-23T11:05:37.426062871Z	476.204	30.37
30.37	53.58	kafka-001	78	55.12	59.83	76722.739	87.64	2019-04-23T11:05:44.439614572Z	498.72	30.37
30.37	54.67	kafka-001	79	59.83	58.63	74579.734	87.64	2019-04-23T11:05:51.453863258Z	625.051	30.37
30.37	57.16	kafka-001	81	58.63	59.89	76938.692	87.68	2019-04-23T11:05:58.474990388Z	505.916	30.37
30.37	58.14	kafka-001	82	59.89	59.33	75639.786	87.7	2019-04-23T11:06:05.489331679Z	643.582	30.37
30.37	59.08	kafka-001	84	59.33	62.7	76834.33	87.65	2019-04-23T11:06:12.503330176Z	510.517	30.37
30.37	59.25	kafka-001	85	62.7	51.33	75747.837	87.4	2019-04-23T11:06:19.511594912Z	515.457	30.37
30.37	58.62	kafka-001	87	51.33	62.72	76644.109	87.44	2019-04-23T11:06:26.527740319Z	664.567	30.37
30.37	59.1	kafka-001	88	62.72	56.12	75135.689	87.38	2019-04-23T11:06:33.541616838Z	525.84	30.37
30.37	58.68	kafka-001	89	56.12	71.67	77639.909	87.45	2019-04-23T11:06:40.587190986Z	679.081	30.37
30.37	60.64	kafka-001	91	71.67	57.52	75707.592	87.15	2019-04-23T11:06:47.599192828Z	537.217	30.37
30.37	60.34	kafka-001	92	57.52	62.62	75943.808	87.17	2019-04-23T11:06:54.61057671Z	529.718	30.37
30.37	60.33	kafka-001	94	62.62	61.06	78225.178	87.92	2019-04-23T11:07:01.619807794Z	698.478	30.37
30.37	61.95	kafka-001	95	61.06	65.18	77958.799	87.99	2019-04-23T11:07:08.634557475Z	549.479	30.37
30.37	62.36	kafka-001	96	65.18	60.15	74777.984	87.99	2019-04-23T11:07:15.649850982Z	707.06	30.37
30.37	63.03	kafka-001	97	60.15	59.58	78016.556	87.16	2019-04-23T11:07:22.668196406Z	563.335	30.37
30.37	61.02	kafka-001	99	59.58	61.96	75584.284	87.18	2019-04-23T11:07:29.680464622Z	559.976	30.37
30.37	61.76	kafka-001	100	61.96	64.11	78019.287	87.26	2019-04-23T11:07:36.692636905Z	731.148	30.37
30.37	62.01	kafka-001	101	64.11	65.4	77060.225	87.31	2019-04-23T11:07:43.703480803Z	562.686	30.37
30.37	62.73	kafka-001	103	65.4	68.71	78185.864	87.38	2019-04-23T11:07:50.717184677Z	742.69	30.37
30.37	63.32	kafka-001	104	68.71	67.32	76483.245	87.42	2019-04-23T11:07:57.72883873Z	587.78	30.37
30.37	64.51	kafka-001	105	67.32	63.49	77911.693	87.34	2019-04-23T11:08:04.743397609Z	571.742	30.37
30.37	65.16	kafka-001	106	63.49	62.75	77465.412	87.3	2019-04-23T11:08:11.752803766Z	760.942	30.37
30.37	65.3	kafka-001	107	62.75	65.44	78892.34	87.39	2019-04-23T11:08:18.763072899Z	593.305	30.37
30.37	65.52	kafka-001	109	65.44	69.1	78484.405	87.48	2019-04-23T11:08:25.773240504Z	779.687	30.37
30.37	66.13	kafka-001	110	69.1	64.37	77248.317	87.53	2019-04-23T11:08:32.784458007Z	595.368	30.37
30.37	65.41	kafka-001	111	64.37	68.5	77860.135	87.59	2019-04-23T11:08:39.804076861Z	592.56	30.37
30.37	65.61	kafka-001	112	68.5	60.0	78561.718	87.64	2019-04-23T11:08:46.81581681Z	792.565	30.37
30.37	65.03	kafka-001	113	60.0	70.43	78788.63	87.75	2019-04-23T11:08:53.824260244Z	606.185	30.37
30.37	66.31	kafka-001	114	70.43	64.42	78810.818	87.84	2019-04-23T11:09:00.836082573Z	796.847	30.37
30.37	66.14	kafka-001	116	64.42	72.27	79068.048	87.83	2019-04-23T11:09:07.856020347Z	614.045	30.37
30.37	66.67	kafka-001	117	72.27	64.08	73183.798	87.57	2019-04-23T11:09:14.86837657Z	602.253	30.37
30.37	66.62	kafka-001	118	64.08	70.06	79676.878	87.57	2019-04-23T11:09:21.876406968Z	813.105	30.37
30.37	66.88	kafka-001	119	70.06	68.45	77870.45	87.63	2019-04-23T11:09:28.888428567Z	622.46	30.37
30.37	68.28	kafka-001	120	68.45	72.07	77944.607	87.71	2019-04-23T11:09:35.897878729Z	824.988	30.37
30.37	68.56	kafka-001	121	72.07	65.7	77524.773	87.76	2019-04-23T11:09:42.909754626Z	626.958	30.37
30.37	68.77	kafka-001	122	65.7	75.15	78851.852	87.86	2019-04-23T11:09:49.923149809Z	631.198	30.37
30.37	69.25	kafka-001	123	75.15	71.29	79038.852	87.96	2019-04-23T11:09:56.937427979Z	834.729	30.37
30.37	70.45	kafka-001	124	71.29	71.6	77001.844	88.0	2019-04-23T11:10:03.949144655Z	646.824	30.37
30.37	70.71	kafka-001	126	71.6	71.02	79032.201	87.88	2019-04-23T11:10:10.963895811Z	860.671	30.37
30.37	71.14	kafka-001	127	71.02	75.71	78878.595	87.91	2019-04-23T11:10:17.976445191Z	648.276	30.37
30.37	71.74	kafka-001	128	75.71	66.3	78181.981	87.99	2019-04-23T11:10:24.988654243Z	646.312	30.37
30.37	71.85	kafka-001	129	66.3	73.95	78629.416	88.08	2019-04-23T11:10:32.002138948Z	867.237	30.37
30.37	71.64	kafka-001	130	73.95	70.31	78746.191	87.26	2019-04-23T11:10:39.016187558Z	661.885	30.37
30.37	71.48	kafka-001	131	70.31	65.98	76817.588	87.3	2019-04-23T11:10:46.03366373Z	909.346	30.37
30.37	70.54	kafka-001	132	65.98	67.23	77600.793	88.02	2019-04-23T11:10:53.048298249Z	687.865	30.37
30.37	69.91	kafka-001	133	67.23	76.05	78292.652	87.99	2019-04-23T11:11:00.060399184Z	667.458	30.37
30.37	69.97	kafka-001	134	76.05	66.33	79709.12	88.09	2019-04-23T11:11:07.072572895Z	888.784	30.37
30.35	69.98	kafka-001	135	66.33	75.92	77287.389	88.13	2019-04-23T11:11:14.085733378Z	673.973	30.35
30.35	70.3	kafka-001	136	75.92	70.86	78152.369	88.18	2019-04-23T11:11:21.10531921Z	892.124	30.35
30.35	70.4	kafka-001	137	70.86	74.33	79243.128	87.38	2019-04-23T11:11:28.116410754Z	676.853	30.35
30.35	71.79	kafka-001	138	74.33	75.87	78599.14	87.39	2019-04-23T11:11:35.131465114Z	913.095	30.35
30.35	73.23	kafka-001	139	75.87	71.81	78416.827	87.47	2019-04-23T11:11:42.144671548Z	685.838	30.35
30.35	72.52	kafka-001	140	71.81	73.16	76908.112	87.51	2019-04-23T11:11:49.158059184Z	684.0	30.35
30.35	73.66	kafka-001	141	73.16	69.4	78815.544	87.59	2019-04-23T11:11:56.172816669Z	919.529	30.35
30.37	72.57	kafka-001	142	69.4	69.52	78054.73	87.5	2019-04-23T11:12:03.189800487Z	691.226	30.37
30.37	72.35	kafka-001	143	69.52	66.15	78308.999	87.58	2019-04-23T11:12:10.20234666Z	932.253	30.37
30.37	70.98	kafka-001	144	66.15	64.52	79080.84	87.62	2019-04-23T11:12:17.216084485Z	701.323	30.37
30.37	69.09	kafka-001	145	64.52	65.09	77708.805	87.68	2019-04-23T11:12:24.226362957Z	708.451	30.37
30.37	67.97	kafka-001	146	65.09	70.72	79254.134	87.78	2019-04-23T11:12:31.240888072Z	945.443	30.37
30.37	67.57	kafka-001	147	70.72	80.19	78957.64	87.77	2019-04-23T11:12:38.256482684Z	709.156	30.37
30.37	69.36	kafka-001	148	80.19	74.19	79427.544	87.85	2019-04-23T11:12:45.270097929Z	960.512	30.37
30.37	70.14	kafka-001	149	74.19	78.47	79150.467	87.84	2019-04-23T11:12:52.285525545Z	709.346	30.37
30.37	72.2	kafka-001	150	78.47	77.27	78044.77	87.9	2019-04-23T11:12:59.300395521Z	717.458	30.37
30.37	74.32	kafka-001	151	77.27	79.31	78379.906	87.98	2019-04-23T11:13:06.313680851Z	963.911	30.37
30.37	76.69	kafka-001	152	79.31	70.72	78753.141	88.07	2019-04-23T11:13:13.326551515Z	722.711	30.37
30.37	76.69	kafka-001	153	70.72	82.7	75844.03	88.03	2019-04-23T11:13:20.339332679Z	986.543	30.37
30.38	77.11	kafka-001	153	82.7	82.27	76998.319	87.87	2019-04-23T11:13:27.354947272Z	732.864	30.38
30.38	78.46	kafka-001	154	82.27	76.78	78699.859	87.95	2019-04-23T11:13:34.370052191Z	722.074	30.38
30.38	78.18	kafka-001	155	76.78	76.28	78340.496	88.02	2019-04-23T11:13:41.381087451Z	975.205	30.38
30.38	78.01	kafka-001	156	76.28	78.58	78495.384	88.1	2019-04-23T11:13:48.392729447Z	733.991	30.38
30.37	77.89	kafka-001	157	78.58	55.98	75986.952	88.11	2019-04-23T11:13:55.405859883Z	976.965	30.37
30.37	75.43	kafka-001	158	55.98	74.75	78706.995	88.2	2019-04-23T11:14:02.416073639Z	750.353	30.37
30.37	74.11	kafka-001	159	74.75	72.1	78802.141	88.13	2019-04-23T11:14:09.427742252Z	747.833	30.37
30.37	72.41	kafka-001	160	72.1	77.49	78302.579	88.2	2019-04-23T11:14:16.439528545Z	1021.702	30.37
30.37	72.53	kafka-001	161	77.49	56.05	77812.502	87.36	2019-04-23T11:14:23.45478372Z	746.233	30.37
30.37	69.16	kafka-001	162	56.05	81.04	78658.832	87.45	2019-04-23T11:14:30.467870596Z	1017.533	30.37
30.37	69.57	kafka-001	163	81.04	68.83	77681.987	87.51	2019-04-23T11:14:37.48047357Z	748.872	30.37
30.37	71.71	kafka-001	163	68.83	77.95	78183.021	87.53	2019-04-23T11:14:44.493415703Z	750.675	30.37
30.37	72.24	kafka-001	164	77.95	67.8	76011.619	87.55	2019-04-23T11:14:51.512356553Z	1029.266	30.37
30.37	71.53	kafka-001	165	67.8	75.54	77702.18	87.61	2019-04-23T11:14:58.521965135Z	771.636	30.37
