container_cpu%	timestamp	memory%	net_send	host_moving_avg_cpu	net_receive	host_cpu	memory_active_anon%	name	memory_rss%	sensor_count
7.21	2019-04-23T20:08:26.581092963Z	15.12	1351.954	nan	943.494	0	15.09	kafka-001	15.09	2
10.78	2019-04-23T20:08:33.591544779Z	15.13	35.957	nan	38.343	7.21	15.09	kafka-001	15.09	6
15.15	2019-04-23T20:08:40.599931041Z	15.13	66.77	nan	57.762	10.78	15.1	kafka-001	15.1	10
29.9	2019-04-23T20:08:47.61047751Z	15.35	95.371	nan	5755.858	15.15	15.17	kafka-001	15.17	13
26.13	2019-04-23T20:08:54.618580361Z	15.67	113.473	nan	12349.862	29.9	15.19	kafka-001	15.19	16
21.82	2019-04-23T20:09:01.631469032Z	15.97	159.595	14.86	12329.098	26.13	15.2	kafka-001	15.2	19
50.3	2019-04-23T20:09:08.639325237Z	16.32	142.593	18.5	14563.282	21.82	15.21	kafka-001	15.21	22
55.43	2019-04-23T20:09:15.647608416Z	16.9	224.342	25.68	23793.321	50.3	15.21	kafka-001	15.21	25
25.65	2019-04-23T20:09:22.655875662Z	17.47	180.036	33.12	23639.391	55.43	15.22	kafka-001	15.22	28
29.46	2019-04-23T20:09:29.668358641Z	18.04	189.79	34.87	23870.337	25.65	15.22	kafka-001	15.22	30
52.53	2019-04-23T20:09:36.67707564Z	18.79	259.084	34.8	24015.654	29.46	15.4	kafka-001	15.4	33
115.99	2019-04-23T20:09:43.685497993Z	19.85	234.416	39.2	34273.051	52.53	15.63	kafka-001	15.63	35
81.94	2019-04-23T20:09:50.694927844Z	21.64	314.502	54.89	34795.293	115.99	16.58	kafka-001	16.58	37
29.75	2019-04-23T20:09:57.705639615Z	23.45	254.117	60.17	35743.308	81.94	17.54	kafka-001	17.54	40
28.94	2019-04-23T20:10:04.716346116Z	24.28	261.188	55.89	34837.544	29.75	17.54	kafka-001	17.54	42
32.48	2019-04-23T20:10:11.727519349Z	25.15	338.043	56.44	36011.166	28.94	17.54	kafka-001	17.54	44
36.51	2019-04-23T20:10:18.734784213Z	27.47	297.221	56.94	44323.464	32.48	18.81	kafka-001	18.81	46
35.53	2019-04-23T20:10:25.742885839Z	29.52	378.677	54.27	45109.424	36.51	19.77	kafka-001	19.77	48
33.9	2019-04-23T20:10:32.74894414Z	30.61	316.087	40.86	45713.857	35.53	19.77	kafka-001	19.77	50
38.59	2019-04-23T20:10:39.758854799Z	31.66	308.17	32.85	43845.917	33.9	19.77	kafka-001	19.77	52
35.52	2019-04-23T20:10:46.768273472Z	32.75	414.442	34.33	45286.015	38.59	19.77	kafka-001	19.77	53
