host_moving_avg_cpu	memory_rss%	name	net_send	timestamp	host_cpu	memory_active_anon%	net_receive	sensor_count	memory%	container_cpu%
nan	11.82	kafka-001	296263.537	2019-04-23T03:40:03.907764084Z	0	11.82	513125.835	2	17.72	1.77
nan	11.82	kafka-001	31.193	2019-04-23T03:40:10.919514968Z	1.77	11.82	8040.802	6	17.82	7.38
nan	11.82	kafka-001	79.256	2019-04-23T03:40:17.930721295Z	7.38	11.82	22652.112	10	18.09	14.82
nan	11.82	kafka-001	105.862	2019-04-23T03:40:24.943230597Z	14.82	11.82	30548.903	13	18.45	17.09
nan	11.82	kafka-001	127.511	2019-04-23T03:40:31.9558186Z	17.09	11.82	37239.939	17	18.9	20.14
10.2	11.82	kafka-001	137.166	2019-04-23T03:40:38.9667413Z	20.14	11.82	38953.835	20	19.36	21.16
13.73	11.82	kafka-001	142.263	2019-04-23T03:40:45.977918025Z	21.16	11.82	39462.951	23	19.83	23.49
17.35	11.82	kafka-001	145.243	2019-04-23T03:40:52.988809942Z	23.49	11.82	39342.878	26	20.3	22.38
19.85	11.82	kafka-001	147.127	2019-04-23T03:41:00.000714043Z	22.38	11.82	39356.5	28	20.77	21.97
21.04	11.82	kafka-001	153.395	2019-04-23T03:41:07.012771313Z	21.97	11.82	39109.42	31	21.23	24.43
22.26	11.82	kafka-001	160.873	2019-04-23T03:41:14.025176426Z	24.43	11.82	39589.297	33	21.71	21.33
22.46	11.82	kafka-001	165.06	2019-04-23T03:41:21.036765444Z	21.33	11.82	40246.555	36	22.18	23.64
22.87	11.82	kafka-001	169.006	2019-04-23T03:41:28.048173987Z	23.64	11.82	40446.5	38	22.66	24.71
23.08	11.82	kafka-001	167.064	2019-04-23T03:41:35.06635245Z	24.71	11.82	39203.732	40	23.13	23.77
23.31	11.82	kafka-001	167.603	2019-04-23T03:41:42.077425234Z	23.77	11.82	38816.714	42	23.59	20.87
23.13	11.82	kafka-001	179.929	2019-04-23T03:41:49.088612822Z	20.87	11.82	40599.113	44	24.08	24.26
23.1	11.82	kafka-001	180.365	2019-04-23T03:41:56.097079024Z	24.26	11.82	39594.218	46	24.55	22.57
23.3	11.82	kafka-001	180.969	2019-04-23T03:42:03.10899749Z	22.57	11.82	39482.629	48	25.01	25.89
23.68	11.82	kafka-001	187.001	2019-04-23T03:42:10.122341446Z	25.89	11.82	40750.433	50	25.5	24.08
23.57	11.82	kafka-001	187.999	2019-04-23T03:42:17.133902457Z	24.08	11.82	39431.277	52	25.97	28.03
24.28	11.82	kafka-001	193.032	2019-04-23T03:42:24.151041609Z	28.03	11.82	40005.261	54	26.44	23.64
24.75	11.82	kafka-001	197.775	2019-04-23T03:42:31.186827335Z	23.64	11.82	40787.355	55	26.93	29.06
25.55	11.82	kafka-001	196.045	2019-04-23T03:42:38.22154029Z	29.06	11.82	39053.375	57	27.39	24.04
25.79	11.82	kafka-001	207.14	2019-04-23T03:42:45.260367999Z	24.04	11.82	41222.025	59	27.88	29.12
26.33	11.82	kafka-001	205.978	2019-04-23T03:42:52.293056747Z	29.12	11.82	39640.85	60	28.35	27.21
26.85	11.82	kafka-001	210.42	2019-04-23T03:42:59.324536994Z	27.21	11.82	40851.538	62	28.84	26.9
26.66	11.82	kafka-001	209.062	2019-04-23T03:43:06.356083052Z	26.9	11.82	38888.391	64	29.3	31.02
27.89	11.82	kafka-001	222.71	2019-04-23T03:43:13.389262509Z	31.02	11.82	41193.443	65	29.79	29.22
27.92	11.82	kafka-001	244.522	2019-04-23T03:43:20.422649758Z	29.22	11.82	40035.099	67	30.26	28.19
28.61	11.82	kafka-001	4509.859	2019-04-23T03:43:27.459199905Z	28.19	11.82	40737.375	68	30.75	30.46
28.83	11.83	kafka-001	4511.173	2019-04-23T03:43:34.507825212Z	30.46	11.83	40319.06	70	31.22	30.13
29.32	11.83	kafka-001	225.629	2019-04-23T03:43:41.539373749Z	30.13	11.83	40002.559	71	31.7	31.79
