container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
10.0	3	nan	59.45	37.68	0	37.68	2018-08-07T17:56:02.08561926Z	296955.272	cassandra-001	32374.114
13.39	9	nan	59.46	37.68	10.0	37.68	2018-08-07T17:56:09.094618759Z	4.007	cassandra-001	0.764
10.97	15	nan	59.48	37.68	13.39	37.68	2018-08-07T17:56:16.101051687Z	20.19	cassandra-001	2.752
13.73	19	nan	59.51	37.68	10.97	37.68	2018-08-07T17:56:23.107465141Z	15.024	cassandra-001	2.265
23.11	24	nan	59.55	37.69	13.73	37.69	2018-08-07T17:56:30.113598651Z	37.826	cassandra-001	4.872
14.45	28	11.87	59.58	37.68	23.11	37.68	2018-08-07T17:56:37.122222276Z	23.046	cassandra-001	2.712
14.29	32	14.28	59.63	37.68	14.45	37.68	2018-08-07T17:56:44.12949649Z	25.955	cassandra-001	3.556
16.45	35	14.99	59.69	37.68	14.29	37.68	2018-08-07T17:56:51.139116541Z	58.507	cassandra-001	7.703
20.72	39	15.5	59.76	37.68	16.45	37.68	2018-08-07T17:56:58.147685926Z	32.411	cassandra-001	4.108
32.89	42	17.12	59.83	37.68	20.72	37.68	2018-08-07T17:57:05.155235674Z	68.724	cassandra-001	8.096
27.16	45	20.32	59.9	37.68	32.89	37.68	2018-08-07T17:57:12.172604014Z	36.357	cassandra-001	3.024
29.38	48	20.99	59.98	37.68	27.16	37.68	2018-08-07T17:57:19.180637923Z	39.94	cassandra-001	5.267
35.28	51	23.48	60.07	37.68	29.38	37.68	2018-08-07T17:57:26.187678085Z	83.493	cassandra-001	8.646
31.85	53	26.98	60.15	37.68	35.28	37.68	2018-08-07T17:57:33.196583536Z	42.949	cassandra-001	4.276
29.7	56	29.55	60.25	37.68	31.85	37.68	2018-08-07T17:57:40.205359646Z	92.561	cassandra-001	10.042
31.59	59	31.04	60.35	37.68	29.7	37.68	2018-08-07T17:57:47.21197844Z	48.534	cassandra-001	4.776
32.44	61	30.83	60.45	37.68	31.59	37.68	2018-08-07T17:57:54.220557845Z	49.702	cassandra-001	4.181
93.57	64	31.71	61.45	37.69	32.44	37.69	2018-08-07T17:58:01.228123412Z	104.103	cassandra-001	9.668
67.64	66	42.41	64.13	37.68	93.57	37.68	2018-08-07T17:58:08.235485105Z	52.821	cassandra-001	4.444
88.2	69	47.8	66.6	37.67	67.64	37.67	2018-08-07T17:58:15.24363287Z	112.769	cassandra-001	10.616
38.61	71	57.19	64.23	37.67	88.2	37.67	2018-08-07T17:58:22.250877517Z	58.962	cassandra-001	5.709
26.0	73	58.68	64.35	37.67	38.61	37.67	2018-08-07T17:58:29.263921949Z	61.344	cassandra-001	7.914
